,regulon,coef,pval,fdr,log_fdr,significance
0,BACH1(+),0.0005541075079880396,0.6432616612758907,0.9779943876432378,0.009663637464511057,Not Significant
1,BCL6(+),-0.0010707197522867576,0.7633675351855049,0.9779943876432378,0.009663637464511057,Not Significant
2,BHLHE41(+),0.00012276435694404459,0.8121935899364479,0.9779943876432378,0.009663637464511057,Not Significant
3,CEBPA(+),-0.00014243171477272063,0.3701255212631165,0.9779943876432378,0.009663637464511057,Not Significant
4,CEBPB(+),0.0016154429774959743,0.39841081664430356,0.9779943876432378,0.009663637464511057,Not Significant
5,CEBPD(+),0.002416032671025352,0.5384970788771023,0.9779943876432378,0.009663637464511057,Not Significant
8,EGR1(+),-0.00036438272203677814,0.43158651350125543,0.9779943876432378,0.009663637464511057,Not Significant
9,ELF1(+),-0.00025327797870103275,0.9326496952559988,0.9779943876432378,0.009663637464511057,Not Significant
10,ELK3(+),0.0027567084321698126,0.41498055460859684,0.9779943876432378,0.009663637464511057,Not Significant
11,ETS2(+),-0.0002155678079117464,0.48080537030602044,0.9779943876432378,0.009663637464511057,Not Significant
12,ETV1(+),-0.001228799546697564,0.5662165476931635,0.9779943876432378,0.009663637464511057,Not Significant
13,ETV5(+),0.0007867920353196549,0.6824099821520031,0.9779943876432378,0.009663637464511057,Not Significant
14,ETV6(+),0.0005310321409322125,0.9242450325726568,0.9779943876432378,0.009663637464511057,Not Significant
15,FOS(+),0.0005690649439890664,0.3222939241772175,0.9779943876432378,0.009663637464511057,Not Significant
16,FOSL2(+),0.0004612083480466795,0.8622128548544091,0.9779943876432378,0.009663637464511057,Not Significant
17,FOXO1(+),-0.000919990433734353,0.7142546340788916,0.9779943876432378,0.009663637464511057,Not Significant
18,FOXP2(+),0.00015561085367243052,0.966554943231146,0.9779943876432378,0.009663637464511057,Not Significant
19,IKZF2(+),-0.0004627873138957744,0.8936379128285997,0.9779943876432378,0.009663637464511057,Not Significant
20,IRF2(+),8.364699235279688e-05,0.9747090910755188,0.9779943876432378,0.009663637464511057,Not Significant
21,IRF7(+),-0.011303596285319665,0.32807137003590636,0.9779943876432378,0.009663637464511057,Not Significant
22,IRF9(+),-0.00011226744143924478,0.9563032784290958,0.9779943876432378,0.009663637464511057,Not Significant
23,JUN(+),-0.0013948153573030606,0.4314304631109177,0.9779943876432378,0.009663637464511057,Not Significant
24,JUNB(+),0.0008905311181527069,0.6045930707675891,0.9779943876432378,0.009663637464511057,Not Significant
25,KLF15(+),0.011836179958816058,0.20824523652508212,0.9779943876432378,0.009663637464511057,Not Significant
27,MAF(+),0.0005245900168453923,0.5541110698481925,0.9779943876432378,0.009663637464511057,Not Significant
29,MITF(+),0.003229057683633704,0.5462380005246703,0.9779943876432378,0.009663637464511057,Not Significant
30,NFATC1(+),0.00031538897344695103,0.896526671666387,0.9779943876432378,0.009663637464511057,Not Significant
31,NFE2L2(+),-0.0003310343502313616,0.8726530342852387,0.9779943876432378,0.009663637464511057,Not Significant
32,NFKB2(+),0.0007778190947641592,0.7042559067580112,0.9779943876432378,0.009663637464511057,Not Significant
38,RB1(+),-0.004179165450822363,0.4071101719504212,0.9779943876432378,0.009663637464511057,Not Significant
39,RFX2(+),-0.0004502357795453495,0.9776323430375544,0.9779943876432378,0.009663637464511057,Not Significant
40,RFX4(+),-0.00037319536940646635,0.9415715239090958,0.9779943876432378,0.009663637464511057,Not Significant
41,SOX21(+),0.0005242412084054738,0.873076469489172,0.9779943876432378,0.009663637464511057,Not Significant
42,SOX9(+),0.0008384214041628566,0.7656056683252783,0.9779943876432378,0.009663637464511057,Not Significant
43,STAT3(+),0.00010462878472876499,0.9721473575991822,0.9779943876432378,0.009663637464511057,Not Significant
44,TCF12(+),-0.0008706771567855332,0.3060580972114128,0.9779943876432378,0.009663637464511057,Not Significant
45,TCF7L1(+),-0.0019691080619596082,0.49379337999956163,0.9779943876432378,0.009663637464511057,Not Significant
46,TCF7L2(+),0.0006889508847125288,0.7992570498387381,0.9779943876432378,0.009663637464511057,Not Significant
47,VEZF1(+),0.0013785519394588206,0.7682574377935454,0.9779943876432378,0.009663637464511057,Not Significant
48,ZBTB37(+),0.00011601471868730981,0.9779943876432378,0.9779943876432378,0.009663637464511057,Not Significant
49,ZFHX3(+),0.00018820251111611934,0.8744613139441425,0.9779943876432378,0.009663637464511057,Not Significant
50,ZNF331(+),0.00025256563352066123,0.7653833241728241,0.9779943876432378,0.009663637464511057,Not Significant
51,ZNF521(+),-0.0008015695056209152,0.9295776400418247,0.9779943876432378,0.009663637464511057,Not Significant
52,ZNF652(+),-0.0004881510811048694,0.5558294418876337,0.9779943876432378,0.009663637464511057,Not Significant
