,regulon,coef,pval,fdr,log_fdr,significance
0,ATF3(+),-0.0037331845680323933,0.047557155964484406,0.1397713679722973,0.8545817842782581,Not Significant
1,BHLHE41(+),-0.005197487249112099,0.05958848942942991,0.1444371960501877,0.8403209510936663,Not Significant
2,CEBPA(+),-0.0014222232834856267,0.010043455121901098,0.06628680380454725,1.1785729211470934,Not Significant
3,CEBPB(+),-0.002871143462030906,0.06718547297141389,0.14780804053711055,0.8303019403260496,Not Significant
4,CEBPD(+),-0.002562157001323964,0.031199082116378004,0.10962933354776198,0.9600732260210499,Not Significant
8,ERG(+),-0.00015891676427119046,0.5791706226818835,0.7078752055000798,0.15004329928731067,Not Significant
9,ETS2(+),-0.003930810432337772,0.0022535167096802396,0.037183025709723955,1.4296552731017433,Down
10,ETV6(+),0.0007260821987527515,0.29938475031324385,0.5314851673346253,0.2745088512434338,Not Significant
11,FOS(+),-0.0035205140571026973,0.0182326151650939,0.07520953755601234,1.1237270816783167,Not Significant
12,FOSL2(+),-0.005157383605021414,0.0041410198027669945,0.04555121783043694,1.3415000074951882,Down
13,FOXN2(+),0.003082200669766097,0.2001900676536239,0.4061048910059838,0.3913617799654705,Not Significant
14,FOXO1(+),0.0007102048351213077,0.03322101016598848,0.10962933354776198,0.9600732260210499,Not Significant
15,FOXP2(+),0.0014838144159049463,0.610446194284215,0.719454443263539,0.14299670091521724,Not Significant
21,IRF9(+),0.00017779939998238616,0.33821783375839787,0.5314851673346253,0.2745088512434338,Not Significant
22,JUN(+),-0.0015894971252457422,0.050825951989926295,0.1397713679722973,0.8545817842782581,Not Significant
23,JUNB(+),-0.0035829788060457238,0.013338174920868544,0.07335996206477699,1.1345409019163106,Not Significant
25,KLF6(+),-0.003115562886661916,0.00017199371150664316,0.005675792479719224,2.2459734917488117,Down
27,MAFB(+),-0.00013588484388587317,0.4597009051278673,0.6320887445508175,0.19922194297866408,Not Significant
28,NFE2L2(+),0.001145434077762544,0.20920554991217347,0.4061048910059838,0.3913617799654705,Not Significant
30,NR2F2(+),0.0007467423923793235,0.39066775744602666,0.58600163616904,0.2321011713911354,Not Significant
31,PDLIM5(+),0.0003247828161021145,0.8762379680495533,0.9036204045511018,0.04401397088591844,Not Significant
32,RBPJ(+),0.00897745205192161,0.017168533023076925,0.07520953755601234,1.1237270816783167,Not Significant
33,REL(+),0.0009134399960452912,0.7482774629500084,0.798633711220113,0.09765236170006972,Not Significant
34,RELB(+),-0.008589398011426424,0.06127638620310994,0.1444371960501877,0.8403209510936663,Not Significant
35,RFX2(+),0.0016174736562801903,0.5499689240987119,0.6980374805868267,0.15612125764184956,Not Significant
38,SOX2(+),3.2190789612151e-06,0.4548587055845653,0.6320887445508175,0.19922194297866408,Not Significant
40,SREBF2(+),-9.96495415950974e-05,0.7502316681158637,0.798633711220113,0.09765236170006972,Not Significant
41,STAT5A(+),-0.0004251550723399595,0.30946531595647914,0.5314851673346253,0.2745088512434338,Not Significant
42,STAT6(+),1.071404919011821e-07,0.9783923944936466,0.9783923944936466,0.009486931934852868,Not Significant
43,TCF12(+),0.014579137385477628,0.009562388718288607,0.06628680380454725,1.1785729211470934,Not Significant
45,VEZF1(+),-0.00020146879484097212,0.6823390497837792,0.7764547807884384,0.10988383166227228,Not Significant
48,ZNF354C(+),0.00019754866528141302,0.33821783375839787,0.5314851673346253,0.2745088512434338,Not Significant
51,ZNF98(+),0.00011174210032034226,0.5392644970685636,0.6980374805868267,0.15612125764184956,Not Significant
