,regulon,coef,pval,fdr,log_fdr,significance
0,ATF3(+),-0.005116101624010836,0.08873881006639993,0.1893094614749865,0.7228276799416848,Not Significant
2,BCL6(+),-0.008085459569583491,0.00450776612798263,0.05829587702226161,1.2343621596457706,Not Significant
4,CEBPB(+),-0.00225246976324425,0.08288144865194855,0.1893094614749865,0.7228276799416848,Not Significant
5,CEBPD(+),-9.452395638000727e-05,0.13811762234678554,0.23261915342616513,0.6333545291396856,Not Significant
6,CREM(+),-5.844585878153575e-05,0.9697939030581721,0.9697939030581721,0.013320550553053381,Not Significant
7,ERF(+),-0.0018914960204149413,0.28728095629326517,0.38304127505768687,0.4167544256032681,Not Significant
9,ETS1(+),-0.0032795787993103427,0.024539829241349793,0.09815931696539917,1.0080684722776918,Not Significant
10,ETS2(+),0.00012570174008391763,0.6543986501709173,0.7220950622575638,0.14140562473474252,Not Significant
11,ETV1(+),-0.00011341717705215407,0.8378977836330201,0.8649267443953756,0.06302067386708776,Not Significant
12,FOS(+),-0.0035803347529770988,0.05689913806249573,0.1627870271788936,0.7883802078565754,Not Significant
13,FOSL2(+),-0.0024125988744902764,0.24178718285092515,0.36843761196331454,0.433636041248451,Not Significant
14,FOXN3(+),-0.009037567147505168,0.013838841139653226,0.08856858329378064,1.0527203020605362,Not Significant
17,IKZF2(+),0.0019780188755748242,0.06613222979142552,0.1627870271788936,0.7883802078565754,Not Significant
18,JUN(+),-0.001512702044165621,0.06329414945091998,0.1627870271788936,0.7883802078565754,Not Significant
19,JUNB(+),-0.0021137704407284083,0.023704138778628113,0.09815931696539917,1.0080684722776918,Not Significant
20,KLF3(+),0.004049410113389232,0.005465238470837026,0.05829587702226161,1.2343621596457706,Not Significant
21,KLF4(+),-0.0004813198461486956,0.28059772953373474,0.38304127505768687,0.4167544256032681,Not Significant
22,KLF6(+),-0.0020283409838905268,0.18579530596801316,0.2972724895488211,0.5268452797959333,Not Significant
23,MAF(+),0.0018593525420907333,0.34392495447698,0.4402239417305344,0.3563263418855553,Not Significant
24,MEIS1(+),-0.005435173883708492,0.12764487577285533,0.22692422359618725,0.6441191417852501,Not Significant
25,MITF(+),0.00883549479199405,0.06149419668110647,0.1627870271788936,0.7883802078565754,Not Significant
26,NFATC2(+),-0.00060680417987649,0.28059772953373474,0.38304127505768687,0.4167544256032681,Not Significant
27,NFE2L2(+),0.001479196228946303,0.022676762957069364,0.09815931696539917,1.0080684722776918,Not Significant
30,PPARG(+),0.018110392658779038,0.012934051339763402,0.08856858329378064,1.0527203020605362,Not Significant
31,RB1(+),0.0007785687099136854,0.5365541235817274,0.6359159983190843,0.19660024893634415,Not Significant
32,SOX2(+),-0.0005455895494654216,0.3795951175787631,0.4671939908661699,0.33050275183411326,Not Significant
34,SOX9(+),-1.769453500262309e-05,0.6208895425632339,0.709588048643696,0.1489937077927393,Not Significant
36,SREBF2(+),-0.002120500039299077,0.11588647525872697,0.21813924754583902,0.6612661892625227,Not Significant
38,TAL1(+),-0.0014929813429574292,0.10132716179958294,0.20265432359916588,0.6932441262167408,Not Significant
39,TCF12(+),0.01120733898088705,0.000740050224174145,0.02368160717357264,1.6255888271632741,Up
40,TFEB(+),0.00017917051591559885,0.7738024096992462,0.8253892370125293,0.08334119857532614,Not Significant
42,TRPS1(+),0.010979967414183084,0.052029479705136154,0.1627870271788936,0.7883802078565754,Not Significant
