,regulon,coef,pval,fdr,log_fdr,significance
0,AEBP2(+),0.0021529775530720156,0.2007295745770363,0.6386850100178428,0.19471327664447302,Not Significant
1,ARID3A(+),-0.0002804771956488218,0.9249950975438864,0.9997020716538763,0.00012940791482446724,Not Significant
2,ARID5A(+),0.021956925184341333,0.1940850309221547,0.63684150771332,0.19596863813568968,Not Significant
3,ATF2(+),0.0062644625946765035,0.20788203083625767,0.641988624641384,0.19247266710130936,Not Significant
5,ATF5(+),-0.0027586429517316327,0.5560398994176874,0.8585910211596643,0.06621365753046911,Not Significant
6,ATF6(+),0.006370433746239432,0.046369951687418434,0.34777463765563826,0.4587020932011414,Not Significant
7,ATF7(+),-0.0075645338010063255,0.4843832032193768,0.8585910211596643,0.06621365753046911,Not Significant
8,BCL11A(+),0.00016819648603150043,0.35437726461740815,0.7155694766313049,0.14534819299750484,Not Significant
9,BCL6(+),0.009983544983386229,0.11678119468313997,0.5109177267387374,0.2916490288282886,Not Significant
10,BCLAF1(+),0.006103535208339127,0.10245748291168777,0.5109177267387374,0.2916490288282886,Not Significant
11,BPTF(+),-0.005007091703496607,0.028756874180272785,0.2691995880100762,0.5699256091029175,Not Significant
12,CHD2(+),0.0008556846519644197,0.6834124797833618,0.9697702634599785,0.013331137000491043,Not Significant
13,CHURC1(+),-1.941102530196798e-05,0.9819469620192787,0.9997020716538763,0.00012940791482446724,Not Significant
14,CLOCK(+),0.001430632595801556,0.11244795222205221,0.5109177267387374,0.2916490288282886,Not Significant
15,CREB1(+),0.0011840090203467908,0.5259257283814831,0.8585910211596643,0.06621365753046911,Not Significant
16,CREB3(+),-5.267885070906511e-05,0.8607624355866593,0.9958051462484915,0.001825633652498222,Not Significant
17,CTCF(+),-0.0021109245820263075,0.2801639877552186,0.680382188928556,0.16724706388852634,Not Significant
18,CUX1(+),-0.011019979763979488,0.05948515883330792,0.3903713548435832,0.4085220580386161,Not Significant
20,E2F6(+),-0.001581613010314193,0.9132700011834076,0.9997020716538763,0.00012940791482446724,Not Significant
21,ELF1(+),0.002811531801412845,0.3447302420426833,0.7097387336172892,0.14890149273190753,Not Significant
22,ELF2(+),0.011213712395143714,0.029054320642868826,0.2691995880100762,0.5699256091029175,Not Significant
23,ELK1(+),8.783455507550646e-05,0.6834571380575087,0.9697702634599785,0.013331137000491043,Not Significant
24,ELK4(+),0.000997728809212297,0.1423925407662602,0.5272903704906395,0.27795015979117044,Not Significant
25,EP300(+),0.0017780558432969346,0.5523599080902724,0.8585910211596643,0.06621365753046911,Not Significant
26,ERF(+),-6.80155423851414e-05,0.9888842618360931,0.9997020716538763,0.00012940791482446724,Not Significant
27,ETS1(+),-8.798501159839722e-07,0.9997020716538763,0.9997020716538763,0.00012940791482446724,Not Significant
28,ETS2(+),0.0009356342980105083,0.28833630221971085,0.680382188928556,0.16724706388852634,Not Significant
29,ETV6(+),0.0375648982209159,0.016828014051907897,0.2691995880100762,0.5699256091029175,Not Significant
31,FOSL2(+),0.013683113378966966,0.26409804703427586,0.672548516629714,0.17227638085038718,Not Significant
32,FOXJ2(+),0.0017366513059842432,0.07975065158517647,0.44072728507597525,0.35583006183153276,Not Significant
33,FOXJ3(+),0.00843069816491724,0.030765667201151564,0.2691995880100762,0.5699256091029175,Not Significant
34,FOXO3(+),0.002748596881836436,0.7368264117525423,0.9902877227566281,0.004238605148855693,Not Significant
35,FOXO4(+),0.0010072753414985202,0.5052933262014795,0.8585910211596643,0.06621365753046911,Not Significant
38,GTF2I(+),0.0055998987985272294,0.3176915480332705,0.7097387336172892,0.14890149273190753,Not Significant
39,HIVEP1(+),0.01609986507482919,0.10769373922543583,0.5109177267387374,0.2916490288282886,Not Significant
40,HLTF(+),-0.0018013913643826751,0.47831905228676497,0.8585910211596643,0.06621365753046911,Not Significant
42,IKZF1(+),7.97594402675281e-05,0.5271097185120174,0.8585910211596643,0.06621365753046911,Not Significant
43,IKZF2(+),0.0025188679537316867,0.7885296669789881,0.9958051462484915,0.001825633652498222,Not Significant
44,ILF2(+),0.00012922059398921403,0.2542053283780557,0.672548516629714,0.17227638085038718,Not Significant
45,IRF1(+),0.005140041513250007,0.46752802987646647,0.8585910211596643,0.06621365753046911,Not Significant
46,IRF2(+),0.0018655872266677316,0.004472977074229595,0.15655419759803582,0.8053352834017479,Not Significant
47,IRF7(+),0.01256173832057255,0.17809424751850653,0.6032224512723608,0.21952250287726602,Not Significant
48,KLF13(+),-9.972153972481035e-05,0.8241533236037059,0.9958051462484915,0.001825633652498222,Not Significant
49,KLF7(+),0.008257093485257836,0.29159236668366684,0.680382188928556,0.16724706388852634,Not Significant
50,LHX6(+),-2.563385028406806e-06,0.8607624355866594,0.9958051462484915,0.001825633652498222,Not Significant
51,MAFB(+),-6.749135651244199e-05,0.9241765238516461,0.9997020716538763,0.00012940791482446724,Not Significant
52,MAFK(+),-0.0002548528983084856,0.8819988438200924,0.9958051462484915,0.001825633652498222,Not Significant
53,MAZ(+),0.0004917873720886399,0.22966198916931937,0.6517434827777981,0.18592330294105436,Not Significant
54,MECP2(+),0.009824245335386984,0.016396586270163497,0.2691995880100762,0.5699256091029175,Not Significant
55,MEIS1(+),-0.0015057311436536527,0.7291522113433635,0.9902877227566281,0.004238605148855693,Not Significant
56,MESP1(+),0.00029124468139314207,0.14563257851646236,0.5272903704906395,0.27795015979117044,Not Significant
57,MGA(+),0.00024099895368914531,0.9713966147864226,0.9997020716538763,0.00012940791482446724,Not Significant
60,MXI1(+),-0.0025496125246634374,0.6006687554218498,0.9054173831321726,0.04315117172953423,Not Significant
61,NFATC3(+),-0.002299735911656435,0.03724429421198801,0.3008192994045185,0.5216943045298159,Not Significant
62,NFE2L1(+),-8.961100292352382e-05,0.8129583917911384,0.9958051462484915,0.001825633652498222,Not Significant
63,NFE2L2(+),0.0038712399755724564,0.2665178077346189,0.672548516629714,0.17227638085038718,Not Significant
64,NFIA(+),0.00482962744338737,0.31837798382196825,0.7097387336172892,0.14890149273190753,Not Significant
65,NFIB(+),-1.424333679031324e-06,0.9996417559527918,0.9997020716538763,0.00012940791482446724,Not Significant
66,NFIC(+),4.624361276817481e-05,0.9891123810449916,0.9997020716538763,0.00012940791482446724,Not Significant
67,NKX6-2(+),0.0015230398260669053,0.13456254894112576,0.5272903704906395,0.27795015979117044,Not Significant
68,NR1D1(+),-0.003303352693407532,0.32810382995961573,0.7097387336172892,0.14890149273190753,Not Significant
69,NR2C2(+),-0.00023302732431850306,0.8765714060184537,0.9958051462484915,0.001825633652498222,Not Significant
70,NR2F6(+),-0.0009981228480963895,0.778521613139326,0.9958051462484915,0.001825633652498222,Not Significant
71,NR3C1(+),0.0006819751729431533,0.027696095814085973,0.2691995880100762,0.5699256091029175,Not Significant
72,NR3C2(+),-0.0006428452042194382,0.8608775587282523,0.9958051462484915,0.001825633652498222,Not Significant
73,NRF1(+),0.0017557398258081403,0.7020147629152915,0.9828206680814081,0.007525719164559136,Not Significant
74,PBX1(+),-0.011877380150258597,0.11240968071452229,0.5109177267387374,0.2916490288282886,Not Significant
75,POU2F1(+),-0.00415677882843001,0.2283006215841321,0.6517434827777981,0.18592330294105436,Not Significant
76,POU2F2(+),0.004509504733683497,0.0029565614017336155,0.1552194735910148,0.8090537937570811,Not Significant
78,POU6F1(+),0.0009050734182004042,0.3327337547240302,0.7097387336172892,0.14890149273190753,Not Significant
79,PPARD(+),-0.0033590411313941656,0.6130191878200444,0.9065776721282346,0.04259498127436417,Not Significant
80,PPARG(+),-6.619412213953401e-08,0.9996556211113345,0.9997020716538763,0.00012940791482446724,Not Significant
81,PURA(+),-0.00013738930526333536,0.8293457349747593,0.9958051462484915,0.001825633652498222,Not Significant
82,RFX3(+),-0.0038994905907992674,0.34060881546360544,0.7097387336172892,0.14890149273190753,Not Significant
83,RFX7(+),-0.0028340618772615535,0.22427392305605814,0.6517434827777981,0.18592330294105436,Not Significant
86,SETDB1(+),-0.0008159992175913562,0.14352391673372042,0.5272903704906395,0.27795015979117044,Not Significant
87,SMAD1(+),0.02132634614925075,0.05007928059834806,0.35055496418843646,0.4552438784896754,Not Significant
88,SMAD3(+),0.003987405340001163,0.4660287470796257,0.8585910211596643,0.06621365753046911,Not Significant
89,SMARCC1(+),0.004311459678247602,0.6036115887547817,0.9054173831321726,0.04315117172953423,Not Significant
90,SMARCC2(+),-0.0029517462008756116,0.029429398969521733,0.2691995880100762,0.5699256091029175,Not Significant
91,SOX10(+),-0.0001042381018498943,0.8042903052515464,0.9958051462484915,0.001825633652498222,Not Significant
92,SOX15(+),-1.0660292265000978e-05,0.5394424502225112,0.8585910211596643,0.06621365753046911,Not Significant
93,SOX9(+),-0.0015236070849455165,0.41583936841109037,0.8200113805997515,0.08618012018046013,Not Significant
94,SP3(+),0.003277599930473837,0.5338212302106948,0.8585910211596643,0.06621365753046911,Not Significant
96,STAT1(+),0.00650976116938964,0.008096259561495537,0.21252681348925784,0.6725862693040199,Not Significant
97,STAT2(+),0.0011701147096844235,0.0014497218767906851,0.15222079706302194,0.8175260083231116,Not Significant
99,TAF1(+),0.004353113856536275,0.06668722752223623,0.4118916994020473,0.38521696002272987,Not Significant
100,TCF12(+),0.0030966777741701142,0.4217201385941579,0.8200113805997515,0.08618012018046013,Not Significant
101,TCF4(+),-0.0019579397964861554,0.7184371564167171,0.9902877227566281,0.004238605148855693,Not Significant
102,TCF7L2(+),-0.00036772806421145506,0.9462476895431448,0.9997020716538763,0.00012940791482446724,Not Significant
104,THRB(+),-0.010524025088485219,0.2589001369191656,0.672548516629714,0.17227638085038718,Not Significant
105,UBP1(+),0.0003166121894338711,0.8417990948858993,0.9958051462484915,0.001825633652498222,Not Significant
106,YBX1(+),0.0035784423011450826,0.172782668847895,0.6032224512723608,0.21952250287726602,Not Significant
107,YY1(+),0.0030681720771941977,0.02717412754437072,0.2691995880100762,0.5699256091029175,Not Significant
108,ZBTB11(+),0.0028538747306848275,0.07089387137001271,0.4135475829917408,0.3834745130961129,Not Significant
109,ZBTB20(+),-0.009183200348077488,0.2690194066518856,0.672548516629714,0.17227638085038718,Not Significant
110,ZBTB25(+),-0.0007117420295702629,0.4933348093491179,0.8585910211596643,0.06621365753046911,Not Significant
111,ZBTB7A(+),-9.610316588963044e-05,0.8749951142742425,0.9958051462484915,0.001825633652498222,Not Significant
112,ZEB1(+),0.002320674137242384,0.8266840975390475,0.9958051462484915,0.001825633652498222,Not Significant
113,ZFP69B(+),-7.532187308210644e-07,0.9997020716538763,0.9997020716538763,0.00012940791482446724,Not Significant
114,ZNF264(+),-0.0013169853866566352,0.7450736199787964,0.9902877227566281,0.004238605148855693,Not Significant
115,ZNF37A(+),-0.0011378290683555117,0.6364943969090469,0.92822099549236,0.032348612470152874,Not Significant
116,ZNF407(+),0.0019094613557931184,0.5427643575677035,0.8585910211596643,0.06621365753046911,Not Significant
119,ZNF785(+),-0.00031591598615943,0.42975057740866984,0.8204329205074605,0.08595692155100833,Not Significant
120,ZNF83(+),-0.0009702287433635891,0.13712588874353,0.5272903704906395,0.27795015979117044,Not Significant
