,regulon,coef,pval,fdr,log_fdr,significance
1,ARID5B(+),-0.003775378734392021,0.45475877322990854,0.7903574095943071,0.1021764708451984,Not Significant
2,ARNTL(+),-0.0017825314337766415,0.07958701270076368,0.27549350550264357,0.559888634770853,Not Significant
3,ATF2(+),0.001983566117882681,0.26486645747171195,0.5415966677577992,0.26632401636658287,Not Significant
4,ATF4(+),0.0021739921564349345,0.0002868258600507528,0.003687761057795393,2.4332372260790165,Up
5,ATF7(+),-0.004605761795250848,0.032994870095256326,0.18289661177986008,0.7377943398977769,Not Significant
6,BCL11A(+),-0.002592745994800407,0.07841259668584963,0.27549350550264357,0.559888634770853,Not Significant
7,BCLAF1(+),0.0019024702304189234,0.21846088845330114,0.5313913502918136,0.27458551908477136,Not Significant
9,BPTF(+),-0.0010699013678213663,0.17179877991671488,0.44489209382963485,0.3517453120237507,Not Significant
10,CCNT2(+),0.0005347329704468826,0.7019040630637363,0.9024480810819466,0.04457777418486857,Not Significant
11,CEBPD(+),-1.4691108313037007e-05,0.8500030123055194,0.9444477914505772,0.024822044636388818,Not Significant
13,CHD1(+),-9.343614246091331e-05,0.9698738143644522,0.9841457294089948,0.00694058775556281,Not Significant
14,CHD2(+),-0.0015911131375866711,0.49166137561447254,0.8070617541594856,0.09309323297979337,Not Significant
15,CLOCK(+),0.001255337416108968,0.572615993431183,0.8380858016160742,0.07671151685794729,Not Significant
16,CREB1(+),-0.002176429903429849,0.465432696761092,0.7903574095943071,0.1021764708451984,Not Significant
17,CREBL2(+),0.0012270064439205831,1.0831342478290028e-05,0.00024370520576152561,3.6131351937969836,Up
18,CREM(+),-4.5491018510912924e-05,0.9806014800964452,0.9841457294089948,0.00694058775556281,Not Significant
19,CUX1(+),0.0005942778196274003,0.8994654053427367,0.9573983970019321,0.018907304004475725,Not Significant
23,E2F3(+),-0.004861723329094946,0.41501272718546767,0.7622682744222876,0.11789215517429025,Not Significant
24,ELF2(+),0.0010481928284719957,0.8100143837718762,0.9444477914505772,0.024822044636388818,Not Significant
25,ELK4(+),4.2675433741029035e-05,0.958730200970304,0.9841457294089948,0.00694058775556281,Not Significant
26,EMX1(+),-0.00011164404566856237,0.8500030123055196,0.9444477914505772,0.024822044636388818,Not Significant
27,EP300(+),-0.003837009406517823,0.05160180301520453,0.2322081135684204,0.6341226096774084,Not Significant
28,ETS2(+),0.01174108665262833,0.03454713778064024,0.18289661177986008,0.7377943398977769,Not Significant
29,FOXG1(+),0.001118455908661764,0.038321215241118,0.19160607620558998,0.7175907227067624,Not Significant
30,FOXK1(+),-0.008995132967231348,0.07437883588384517,0.27549350550264357,0.559888634770853,Not Significant
31,FOXO3(+),-0.00626010205163483,0.2703011834609111,0.5415966677577992,0.26632401636658287,Not Significant
32,FOXP1(+),-0.004315056552141422,0.15317510879239388,0.4447019287521113,0.35193098693383496,Not Significant
33,GTF2B(+),-0.0004896696035141973,0.5773479966688511,0.8380858016160742,0.07671151685794729,Not Significant
35,HDAC2(+),0.0009722048332153131,0.5111391109676742,0.8070617541594856,0.09309323297979337,Not Significant
37,HIF1A(+),0.0018811151873627655,0.25195320287286427,0.5415966677577992,0.26632401636658287,Not Significant
39,HSF1(+),0.0006438680053715972,0.055521448486574844,0.23794906494246362,0.6235159974889943,Not Significant
40,ILF2(+),0.0013447409731320436,0.0006090432980944018,0.00685173710356202,2.1641993089672824,Up
41,ING4(+),0.000297518964896296,0.09972423373726484,0.3324141124575495,0.4783205467641687,Not Significant
42,JUN(+),0.0027813061858443762,5.757949661256733e-07,2.5910773475655297e-05,4.586519622475575,Up
43,JUND(+),0.001707331736230688,0.22606638575469262,0.5354203873137456,0.2713050961126858,Not Significant
44,KLF12(+),-0.0030216095265210153,0.3177893648893318,0.6217618008704319,0.20637596318826548,Not Significant
45,KLF9(+),0.0020892752633116726,0.247126357552623,0.5415966677577992,0.26632401636658287,Not Significant
46,LHX6(+),-0.001528167321151124,0.1588490751580331,0.44489209382963485,0.3517453120237507,Not Significant
47,MAFG(+),0.0002687675395085427,0.691593282376809,0.9020781944045333,0.04475581508941193,Not Significant
48,MAFK(+),0.00016442432277147912,0.5497276416887116,0.8245914625330674,0.08376116601049415,Not Significant
49,MAZ(+),0.004282075382731081,0.0017692046555997608,0.01769204655599761,1.7522219264702916,Up
50,MBD2(+),-0.0018747785133837428,0.0648635861322246,0.26535103417728245,0.5761792154149918,Not Significant
51,MECP2(+),-0.00321440351820829,0.40282740911927806,0.7553013920986463,0.12187971485241118,Not Significant
52,MEF2C(+),-0.0012858102484139653,0.7974308389532219,0.9444477914505772,0.024822044636388818,Not Significant
53,MEF2D(+),0.003933273754606651,0.008429778123990903,0.052510507401028306,1.279753785171293,Not Significant
54,MGA(+),-0.0006045579608859387,0.6285827341672608,0.853591223091282,0.06875005912086538,Not Significant
56,MXD1(+),0.004611779452435016,0.05154968548095849,0.2322081135684204,0.6341226096774084,Not Significant
57,MXI1(+),0.0025106014910846143,0.33708305918690384,0.6454781984430074,0.1901184218031329,Not Significant
58,NFAT5(+),-0.005696752218206108,0.5007604823593825,0.8070617541594856,0.09309323297979337,Not Significant
59,NFE2L1(+),0.006755578751004389,0.004992638315820555,0.03456441910952692,1.4613707374839036,Up
60,NFIB(+),-0.012531286854245205,0.25931319894774724,0.5415966677577992,0.26632401636658287,Not Significant
61,NFYB(+),0.00010554943307208842,0.2707983338788996,0.5415966677577992,0.26632401636658287,Not Significant
62,NFYC(+),-0.0014391862635863193,0.5053047299409659,0.8070617541594856,0.09309323297979337,Not Significant
65,NR2C2(+),2.780993328249903e-05,0.9841457294089948,0.9841457294089948,0.00694058775556281,Not Significant
66,NR3C1(+),-0.005261785640139209,0.23277167286721115,0.5371653989243333,0.26989196983094216,Not Significant
67,OLIG2(+),-5.835387775773097e-05,0.8500030123055194,0.9444477914505772,0.024822044636388818,Not Significant
68,PBX1(+),-0.0009697284882131925,0.7493171422647464,0.936646427830933,0.028424318846227273,Not Significant
69,PBX2(+),0.0019074909898175254,0.004862678783154182,0.03456441910952692,1.4613707374839036,Up
70,POU2F1(+),-0.0014149762460911575,0.6047271483155934,0.853591223091282,0.06875005912086538,Not Significant
71,POU3F3(+),0.0014045525460669507,0.10385738558174507,0.3338273107984663,0.47647813606935785,Not Significant
73,PURA(+),0.004062323092199589,0.008751751233504718,0.052510507401028306,1.279753785171293,Not Significant
