"","description","FDR","enrich","cellType","logFDR"
"1","response to temperature stimulus",0.00107614144689526,-2.02930183612158,"Exc",2.96813064170978
"2","response to topologically incorrect protein",0.00789170394389858,-1.87347765821908,"Exc",2.10282921560724
"3","translational initiation",0.00925481644329924,-1.87438508280909,"Exc",2.03363219046621
"4","response to oxidative stress",0.0109151489613662,-1.8441985167424,"Exc",1.96197033300496
"5","gliogenesis",0.0110304498306764,-1.878611609634,"Exc",1.95740677631801
"6","necrotic cell death",0.0139898388096384,-1.88431836247472,"Exc",1.85418728940295
"7","ensheathment of neurons",0.0150659802565337,-1.90248549546161,"Exc",1.82200260603154
"8","response to fibroblast growth factor",0.0221206852972915,-1.80067154292398,"Exc",1.65520142274609
"9","protein localization to endoplasmic reticulum",0.0221954173422148,-1.80342140613065,"Exc",1.65373668448782
"10","response to axon injury",0.0234598835423167,-1.79435779649797,"Exc",1.62967414810518
"11","response to toxic substance",0.0252404084817252,-1.78636287192815,"Exc",1.59790362090478
"12","mitochondrial membrane organization",0.029055819066172,-1.75633249711856,"Exc",1.53676687755079
"13","protein import",0.0297015039343092,-1.75891892635255,"Exc",1.52722155964456
"14","regulation of mRNA metabolic process",0.0311312347137558,-1.76017186553504,"Exc",1.50680365417335
"15","RNA catabolic process",0.0330292644085545,-1.7616670415317,"Exc",1.48110109832987
"16","negative regulation of growth",0.0338087771232928,-1.76505947493354,"Exc",1.47097053755161
"17","vasculogenesis",0.0376649506413341,-1.71824400441883,"Exc",1.42406259735951
"18","adult behavior",0.0384878823360187,-1.73484978067213,"Exc",1.41467598381532
"19","cellular response to external stimulus",0.0385539370539867,-1.71323472651008,"Exc",1.41393126603026
"20","protein folding",0.0389066523108287,-1.70427485342718,"Exc",1.4099761360809
"21","response to mechanical stimulus",0.0389204489960453,-1.73033175515339,"Exc",1.4098221582449
"22","response to fluid shear stress",0.0391510507346657,-1.71865302984634,"Exc",1.40725657786801
"23","myeloid cell differentiation",0.0393867769563666,-1.72187843656362,"Exc",1.40464955631537
"24","membrane raft organization",0.0399766618976277,-1.69945003937597,"Exc",1.39819347284835
"25","regeneration",0.0400324618245037,-1.70539141046635,"Exc",1.39758770182788
"26","regulation of plasma lipoprotein particle levels",0.0404402627938535,-1.7234727429226,"Exc",1.39318603088644
"27","negative regulation of mitotic cell cycle",0.0404819091346776,-1.68143528088021,"Exc",1.39273901427338
"28","response to metal ion",0.0405346611663882,-1.68409695052386,"Exc",1.39217345294602
"29","post-embryonic development",0.0411287809235283,-1.68538075738161,"Exc",1.3858541629934
