"","description","FDR","enrich","cellType","logFDR"
"1","ribosome",0.0040656730659531,-1.92504085925298,"Exc",2.39086754733131
"2","microtubule associated complex",0.036923674877326,1.90187053943001,"Exc",1.43269508176528
"3","axon part",0.0096707565622991,-1.80062139039484,"Ast",2.01453954887677
"4","postsynaptic specialization",0.012951906110222,-1.8095022767654,"Ast",1.88766631249127
"5","neuron to neuron synapse",0.0134699823546309,-1.84338206879871,"Ast",1.87063297319249
"6","synaptic membrane",0.0150242110878575,-1.73481658010492,"Ast",1.82320832326435
"7","ribosome",0.0151537301489597,-1.71555471944078,"Ast",1.81948045074511
"8","neuron spine",0.0155422873322664,-1.7214053060758,"Ast",1.80848506644365
"9","phagocytic cup",0.0159567483277935,-1.74117591220707,"Ast",1.79705560466286
"10","mitochondrial membrane part",0.0160027995495187,-1.70391651026922,"Ast",1.79580403468456
"11","glutamatergic synapse",0.0189097829209241,-1.74390829794222,"Ast",1.72331345670683
"12","polysome",1e-07,-2.03415316562254,"Inh",7
"13","cytosolic part",1e-07,-2.53341786343404,"Inh",7
"14","ribosome",1e-07,-2.61873001050426,"Inh",7
"15","mitochondrial inner membrane",0.048204235282577,-1.70151284252638,"Inh",1.31691480244484
"16","DNA packaging complex",0.0457697642163662,1.91232954787078,"Oli",1.33942132484154
"17","polysome",1e-07,-2.07041883862936,"Opc",7
"18","cytosolic part",1e-07,-2.19805304804814,"Opc",7
"19","ribosome",1e-07,-2.32104145123925,"Opc",7
"20","cell-substrate junction",0.000864283675346506,-1.88270379322306,"Opc",3.06334368990851
"21","neuron to neuron synapse",0.00184380517407255,-1.8096030992066,"Opc",2.73428497064428
"22","protein-lipid complex",0.00768252155863561,-1.72923919742422,"Opc",2.11449621235589
"23","postsynaptic specialization",0.0240719008837249,-1.65669668049367,"Opc",1.61848961347585
"24","axon part",0.0241999429097022,-1.66245259621147,"Opc",1.61618565856629
"25","cell projection membrane",0.025023070219556,-1.667609538524,"Opc",1.60165940536969
"26","glutamatergic synapse",0.0380284817152463,-1.61554918052312,"Opc",1.41989101342232
