"","description","FDR","enrich","cellType","logFDR"
"1","Ribosome",0.00545019774801253,-1.89405462400937,"Exc",2.26358774005131
"2","Protein processing in endoplasmic reticulum",0.00763027684721755,-1.89787623575006,"Exc",2.11745970437308
"3","Longevity regulating pathway",0.00981035594642256,-1.93095936421522,"Exc",2.00831523494801
"4","Influenza A",0.0154785616043556,-1.81117202617607,"Exc",1.81026940000428
"5","Leishmaniasis",0.017258959535373,-1.7971355815709,"Exc",1.76298538948213
"6","Toxoplasmosis",0.0185306723432426,-1.81374971124879,"Exc",1.73210882300906
"7","Cholesterol metabolism",0.0235137102842826,-1.772042910923,"Exc",1.62867883710842
"8","MAPK signaling pathway",0.0358722106323734,-1.71178237721673,"Exc",1.44524185901239
"9","Toll-like receptor signaling pathway",0.0362438150242833,-1.70475615215892,"Exc",1.44076609474821
"10","Legionellosis",0.036952340731525,-1.71773302846213,"Exc",1.43235804618425
"11","Salmonella infection",0.0376063644612865,-1.73530875644937,"Exc",1.42473864931406
"12","Antigen processing and presentation",0.0389991927746675,-1.72131492043227,"Exc",1.40894438213083
"13","Systemic lupus erythematosus",0.0472909466135241,-1.67942218128307,"Exc",1.32522199271083
"14","Measles",0.0485748874291617,-1.66326318733162,"Exc",1.31358819719139
"15","Th1 and Th2 cell differentiation",0.0496288594936671,-1.65742985984471,"Exc",1.30426570508271
"16","Type I diabetes mellitus",0.0499601460234482,-1.6527763875325,"Exc",1.30137630094071
"17","Mineral absorption",0.0056085507412941,2.22837237022549,"Ast",2.25114934665319
"18","Ribosome",1e-07,-2.62277541238448,"Inh",7
"19","Th17 cell differentiation",0.0270476679665588,-1.80773801913496,"Inh",1.56787017354872
"20","Systemic lupus erythematosus",0.027855989078203,-1.79224459182078,"Inh",1.55508141650521
"21","Antigen processing and presentation",0.036063557288745,-1.80920732596089,"Inh",1.44293143694042
"22","Arginine and proline metabolism",0.0377216518767333,-1.73768360451908,"Inh",1.42340929723795
"23","Protein processing in endoplasmic reticulum",0.0379289137002318,-1.83079239855365,"Inh",1.42102959549259
"24","Oxytocin signaling pathway",0.0380532707943309,-1.7293615330844,"Inh",1.4196080083578
"25","Leishmaniasis",0.038211543459548,-1.72449109999943,"Inh",1.41780541971995
"26","Th1 and Th2 cell differentiation",0.0396388237440947,-1.74336692210394,"Inh",1.40187924139737
"27","MAPK signaling pathway",0.041866888346704,-1.75702410870203,"Inh",1.3781293157764
"28","Rheumatoid arthritis",0.0433473299431221,-1.74496267049238,"Inh",1.3630376485149
"29","Viral myocarditis",0.043421352022943,-1.70935477121526,"Inh",1.36229665792071
"30","Hematopoietic cell lineage",0.0467227367829553,-1.69288729458225,"Inh",1.33047172636388
"31","Colorectal cancer",0.04808474305166,-1.68515796790438,"Inh",1.31799270033212
"32","Estrogen signaling pathway",0.0499341562459546,-1.6940459195747,"Inh",1.30160228414395
"33","Type I diabetes mellitus",0.00280050518917138,-1.9287595409756,"Oli",2.55276361827237
"34","Allograft rejection",0.00336060622700566,-1.89206343802465,"Oli",2.47358237222474
"35","Autoimmune thyroid disease",0.00448080830267421,-1.86918176278841,"Oli",2.34864363561644
"36","Graft-versus-host disease",0.00448080830267421,-1.93277264222905,"Oli",2.34864363561644
"37","Herpes simplex infection",0.00985777826588326,-1.80912313440925,"Oli",2.00622095479424
"38","Staphylococcus aureus infection",0.010828620064796,-1.79468719366607,"Oli",1.96542688376511
"39","Asthma",0.0272049075519505,-1.73988417036071,"Oli",1.56535274558039
"40","Circadian entrainment",0.0485887650321234,-1.69510462044826,"Oli",1.31346413914547
"41","Ribosome",1e-07,-2.34697723586834,"Opc",7
