"","description","FDR","enrich","cellType","logFDR"
"1","Photodynamic therapy-induced AP-1 survival signaling.",0.00235582528625669,-1.94870783102184,"Exc",2.62785692102763
"2","Spinal Cord Injury",0.0278415715648518,-1.74964042526754,"Exc",1.55530625387902
"3","IL-18 signaling pathway",0.0281521121707674,-1.75437247553023,"Exc",1.55048901574347
"4","Statin Pathway",0.0290060988370355,-1.76228473389488,"Exc",1.53751067752196
"5","Endochondral Ossification",0.0294478160782086,-1.74112454968973,"Exc",1.53094690801957
"6","Metabolic pathway of LDL, HDL and TG, including diseases",0.0302330911736275,-1.75552302092937,"Exc",1.51951744623879
"7","Neural Crest Differentiation",0.030897554715905,-1.73332888978337,"Exc",1.51007589000595
"8","MAPK Signaling Pathway",0.0316353681297327,-1.7682692498314,"Exc",1.49982710744219
"9","Parkin-Ubiquitin Proteasomal System pathway",0.0318036413644653,-1.72278393432631,"Exc",1.49752315253262
"10","Chromosomal and microsatellite instability in colorectal cancer",0.0318036413644653,-1.80485726777961,"Exc",1.49752315253262
"11","Apoptosis Modulation and Signaling",0.0325608709207621,-1.72612233403143,"Exc",1.48730398735094
"12","Corticotropin-releasing hormone signaling pathway",0.0338649884899399,-1.71302143171119,"Exc",1.47024906766596
"13","Nuclear Receptors Meta-Pathway",0.034866214236599,-1.78401127657507,"Exc",1.45759520563267
"14","NRF2 pathway",0.0351410605199956,-1.77294872688357,"Exc",1.45418513609536
"15","Primary Focal Segmental Glomerulosclerosis FSGS",0.0416195800572015,-1.80737437989155,"Exc",1.3807023061465
"16","Zinc homeostasis",0.0031333480627473,2.15706305678284,"Ast",2.50399135955991
"17","Cytoplasmic Ribosomal Proteins",1e-07,-2.54717079975859,"Inh",7
"18","MAPK Signaling Pathway",0.0291553323568389,-1.86743347234678,"Inh",1.53528200346542
"19","MECP2 and Associated Rett Syndrome",0.0308118853316593,-1.82181849354995,"Inh",1.51128172706165
"20","Wnt Signaling",0.0386970774918044,-1.79559921738378,"Inh",1.41232183283921
"21","Vitamin D Receptor Pathway",0.0387633396107972,-1.76483002470051,"Inh",1.41157881386943
"22","Hair Follicle Development: Cytodifferentiation (Part 3 of 3)",0.0406407663155937,-1.82361897860998,"Inh",1.39103811166173
"23","Heart Development",0.0416504747954842,-1.76826490778213,"Inh",1.38038004347968
"24","Chromosomal and microsatellite instability in colorectal cancer",0.04196600869545,-1.77894257160937,"Inh",1.37710233371844
"25","Cholesterol Biosynthesis Pathway",0.00863282052903695,-1.81169060486583,"Mic",2.06384728770683
"26","Sterol Regulatory Element-Binding Proteins (SREBP) signalling",0.0105512250910452,-1.7454864872706,"Mic",1.97669711198793
"27","Triacylglyceride Synthesis",0.0158268376365677,-1.7493184463703,"Mic",1.80060585293225
"28","Allograft Rejection",0.00107578293091083,-1.95833169258198,"Oli",2.96827535080529
"29","Cytoplasmic Ribosomal Proteins",1e-07,-2.32029204683961,"Opc",7
