"","description","FDR","enrich","cellType","logFDR"
"1","protein localization to endoplasmic reticulum",1e-07,0.919879118772749,"Exc",7
"2","translational initiation",1e-07,0.915285889502025,"Exc",7
"3","RNA catabolic process",1e-07,0.867507282736296,"Exc",7
"4","establishment of protein localization to membrane",1e-07,0.838352047322865,"Exc",7
"5","protein targeting",1e-07,0.826696493669465,"Exc",7
"6","ribonucleoprotein complex biogenesis",1e-07,0.869929080606092,"Exc",7
"7","cytoplasmic translation",1e-07,0.898617488204655,"Exc",7
"8","ncRNA processing",1e-07,0.873139770846087,"Exc",7
"9","rRNA metabolic process",1e-07,0.869239355852783,"Exc",7
"10","ribonucleoprotein complex subunit organization",1e-07,0.869209597280756,"Exc",7
"11","regulation of mRNA metabolic process",8.58932997562896e-05,0.738619311984274,"Exc",4.06604071268055
"12","isoprenoid metabolic process",0.00121477666798181,0.723743600668577,"Exc",2.91550355809725
"13","regulation of protein modification by small protein conjugation or removal",0.00130822102705733,0.692773912862895,"Exc",2.88331887472585
"14","response to topologically incorrect protein",0.00133850392120218,0.744273482315637,"Exc",2.87338035219167
"15","protein folding",0.00620042257615715,0.750770803334138,"Exc",2.20757871110831
"16","posttranscriptional regulation of gene expression",0.00636183040194918,0.628391389275983,"Exc",2.19641791279536
"17","intrinsic apoptotic signaling pathway",0.00766976641353221,0.617069436811779,"Exc",2.11521786249936
"18","coenzyme metabolic process",0.0125976839642558,0.599913287809416,"Exc",1.89970929091402
"19","response to interleukin-4",0.0157785991652304,0.809603303337632,"Exc",1.80193155637474
"20","regulation of cellular amide metabolic process",0.0166090517528741,0.611971755946434,"Exc",1.77965516166359
"21","regulation of small molecule metabolic process",0.0429221089353573,0.564870717976138,"Exc",1.36731894755215
"22","protein-DNA complex subunit organization",0.0477753471209657,0.674187634358451,"Exc",1.32079614881147
"23","regulation of protein stability",0.048264876688055,0.5880352533522,"Exc",1.31636879905153
"24","regulation of DNA-templated transcription in response to stress",0.0492598074102321,0.649144023485389,"Exc",1.30750729044326
"25","fat cell differentiation",1e-07,0.710446063653838,"Ast",7
"26","RNA catabolic process",1e-07,0.654670635491675,"Ast",7
"27","response to purine-containing compound",1e-07,0.713289369840964,"Ast",7
