"","description","FDR","enrich","cellType","logFDR"
"1","ribosome",1e-07,0.903038265914717,"Exc",7
"2","cytosolic part",1e-07,0.864672218680343,"Exc",7
"3","polysome",1e-07,0.905378378435408,"Exc",7
"4","intrinsic component of endoplasmic reticulum membrane",0.00979690640034103,0.671464335641494,"Exc",2.00891104118145
"5","cell-substrate junction",0.0348334449789903,0.544836743779808,"Exc",1.45800357230087
"6","microbody",0.0351683819499421,0.71710199821616,"Exc",1.45384761252971
"7","DNA packaging complex",0.0355990151983088,0.79463298128568,"Exc",1.44856201606802
"8","ribonucleoprotein granule",0.0428414834662932,0.651996618824909,"Exc",1.36813549932313
"9","mitochondrial membrane part",0.0449931997645292,0.699961042923727,"Exc",1.3468531201782
"10","postsynaptic specialization",0.0466232263564947,0.566148757451394,"Exc",1.3313976763251
"11","Golgi-associated vesicle",0.0494869374581329,0.649515470565133,"Exc",1.30550942204635
"12","ribosome",1e-07,0.673106246658048,"Ast",7
"13","transcription factor complex",0.000612339260944002,0.661304955393065,"Ast",3.21300789430475
"14","cell-substrate junction",0.0077562973052907,0.551140987285005,"Ast",2.1103455524076
"15","ribonucleoprotein granule",0.00906262106197123,0.723899147264191,"Ast",2.04274617890979
"16","blood microparticle",0.00949125854463203,0.680809082937011,"Ast",2.02267619613445
"17","cytosolic part",0.0185742909153014,0.575086852882354,"Ast",1.73108775670331
"18","Golgi-associated vesicle",0.0188950400519864,0.704600418974959,"Ast",1.72365218316807
"19","platelet alpha granule",0.0220442133939841,0.631830885772484,"Ast",1.65670539353746
"20","nuclear periphery",0.0280315306121032,0.772271237110138,"Ast",1.55235318771094
"21","vacuolar membrane",0.0331683766344668,0.537620404271611,"Ast",1.47927578370951
"22","intrinsic component of endoplasmic reticulum membrane",0.0331776545020568,0.635407325068022,"Ast",1.47915431972273
"23","pigment granule",0.0339235950562977,0.656308888378757,"Ast",1.46949812957632
"24","extracellular matrix",0.0443508578998013,0.474958301561507,"Ast",1.35309797498567
"25","membrane region",0.0445782981967234,0.50044608242726,"Ast",1.35087651499171
"26","microbody",0.0471972261127608,0.684551228474696,"Ast",1.32608352508036
"27","ribosome",1e-07,0.841160104359405,"Inh",7
"28","cytosolic part",1e-07,0.786824115591001,"Inh",7
"29","polysome",1e-07,0.802125496424117,"Inh",7
"30","pigment granule",0.0180028621055046,0.642350000875982,"Inh",1.74465844501803
"31","inclusion body",0.0184273401301837,0.724322783625086,"Inh",1.73453734791442
"32","mitochondrial membrane part",0.0186146098469538,0.71289308746205,"Inh",1.73014606194845
"33","intrinsic component of endoplasmic reticulum membrane",0.0203449820299101,0.625113049391355,"Inh",1.69154268940934
"34","microbody",0.0205809418730405,0.681228625780325,"Inh",1.68653475392227
"35","cell-substrate junction",0.022605535588789,0.494060981199153,"Inh",1.64578519884866
"36","ribonucleoprotein granule",0.0439409663429501,0.62812175412608,"Inh",1.35713039637327
"37","ribosome",1e-07,0.833800682808036,"Mic",7
"38","cytosolic part",1e-07,0.722046058613583,"Mic",7
"39","transcription factor complex",0.000847949301557549,0.657718917506506,"Mic",3.07163011320556
"40","polysome",0.00254384790467265,0.773968928531728,"Mic",2.5945088584859
"41","Golgi-associated vesicle",0.0117017003614942,0.736774517796883,"Mic",1.93175102680432
"42","cell-substrate junction",0.0122952648725845,0.551190297361918,"Mic",1.91026211097059
"43","ficolin-1-rich granule",0.0279823269513991,0.620950378675065,"Mic",1.55311617332767
"44","MHC protein complex",0.0386346900522158,0.799690206276267,"Mic",1.41302256754351
"45","blood microparticle",0.00863191865777553,0.657997362112508,"Oli",2.06389266084666
"46","Golgi stack",0.0203315894635694,-0.708036293572797,"Oli",1.69182866817583
"47","GABA-ergic synapse",0.0400073212025075,-0.716143583625317,"Oli",1.39786052699934
"48","cytosolic part",1e-07,-0.562453313692223,"Opc",7
"49","ribosome",1e-07,-0.695751513592135,"Opc",7
"50","polysome",0.0326695706285003,-0.590619556439859,"Opc",1.48585657335739
