"","description","FDR","enrich","cellType","logFDR"
"1","Ribosome",1e-07,0.915536367903881,"Exc",7
"2","Protein processing in endoplasmic reticulum",0.00844800799023416,0.802539046049529,"Exc",2.07324568404879
"3","Thyroid cancer",0.0262826915251729,0.804837334574839,"Exc",1.58033016214589
"4","Endometrial cancer",0.030412828764843,0.765647962369484,"Exc",1.5169431832815
"5","Steroid biosynthesis",0.0312576295638664,0.850893195924146,"Exc",1.50504395998179
"6","Fatty acid metabolism",0.0335667517478637,0.802816926928734,"Exc",1.47409068336423
"7","Basal cell carcinoma",0.0395849517256686,0.727833064029222,"Exc",1.40246988035136
"8","Ribosome",0.0042637920972227,0.665195621764545,"Ast",2.37020397969214
"9","Aldosterone synthesis and secretion",0.00994884822685296,0.781038552656651,"Ast",2.00222719439754
"10","Herpes simplex infection",0.0104226029043222,0.67639844701074,"Ast",1.98202380830925
"11","Epstein-Barr virus infection",0.0145679563321776,0.625959736597941,"Ast",1.83660136902002
"12","Antigen processing and presentation",0.0162024099694463,0.695113857779277,"Ast",1.79042038307533
"13","Parathyroid hormone synthesis, secretion and action",0.0177658004050946,0.682984165403861,"Ast",1.75041522140374
"14","TNF signaling pathway",0.0213189604861135,0.667253610590027,"Ast",1.67123397535612
"15","Hematopoietic cell lineage",0.0225371867996057,0.656145383579924,"Ast",1.6471002956394
"16","MAPK signaling pathway",0.0238456520992825,0.571101908175405,"Ast",1.62259079655795
"17","Allograft rejection",0.037947749665282,0.766835675012582,"Ast",1.42081397304722
"18","Kaposi sarcoma-associated herpesvirus infection",0.042637920972227,0.58543438637725,"Ast",1.37020397969214
"19","Graft-versus-host disease",0.0483229771018573,0.749388581612848,"Ast",1.31584631736954
"20","Ribosome",1e-07,0.853332165912352,"Inh",7
"21","Metabolic pathways",0.0310220401209387,0.5044908054872,"Inh",1.50832964481604
"22","Human immunodeficiency virus 1 infection",0.0330901761290013,0.583732635521472,"Inh",1.4803009212158
"23","Steroid biosynthesis",0.0356507254723169,0.815443763161705,"Inh",1.44793162807247
"24","Non-alcoholic fatty liver disease (NAFLD)",0.0370294828110253,0.706040537283737,"Inh",1.43145235367798
"25","Endometrial cancer",0.0372264481451265,0.748677478055509,"Inh",1.42914839876841
"26","Kaposi sarcoma-associated herpesvirus infection",0.0379861715766596,0.570958225767666,"Inh",1.42037447446091
"27","AMPK signaling pathway",0.0469762321831358,0.640752613459987,"Inh",1.32812181956553
"28","Ribosome",1e-07,0.834212390151014,"Mic",7
"29","PPAR signaling pathway",0.00459840588595953,0.801678682564656,"Mic",2.33739269764858
"30","Antigen processing and presentation",0.00569326443023561,0.772326050838043,"Mic",2.24463864441168
"31","Central carbon metabolism in cancer",0.0142644427482826,0.785977863625914,"Mic",1.84574518973232
"32","Protein processing in endoplasmic reticulum",0.0164228781641412,0.81554497976624,"Mic",1.7845507289908
"33","Graft-versus-host disease",0.0187690036161614,0.81232400970281,"Mic",1.72655878201311
"34","Type I diabetes mellitus",0.0189191556450907,0.803086722142512,"Mic",1.7230982499036
"35","Human T-cell leukemia virus 1 infection",0.0192147674520452,0.612564976742654,"Mic",1.71636486724463
"36","Phagosome",0.0201117092594714,0.63526341877562,"Mic",1.69655101789598
"37","Th17 cell differentiation",0.0202548830691075,0.688904049624136,"Mic",1.69347025964346
"38","MAPK signaling pathway",0.0202913783539167,0.597555609704181,"Mic",1.69268845118408
"39","Epstein-Barr virus infection",0.0212601622779428,0.621088906136857,"Mic",1.67243342484818
"40","Mineral absorption",0.0220066567399492,0.792868463679858,"Mic",1.65744593062599
"41","Viral myocarditis",0.0233861785057371,0.748171919343565,"Mic",1.63104073968996
"42","Toxoplasmosis",0.0234737671892791,0.62918229967333,"Mic",1.62941720702574
"43","Renal cell carcinoma",0.0347127782669426,0.726103960621073,"Mic",1.45951062580666
"44","HIF-1 signaling pathway",0.0349624828472161,0.65951643405739,"Mic",1.45639773368759
"45","Autoimmune thyroid disease",0.0362124463519313,0.764669544658046,"Mic",1.44114213518694
"46","Allograft rejection",0.0364781105575277,0.783239904485078,"Mic",1.43796766474304
"47","Necroptosis",0.0414513444862924,0.653267765641912,"Mic",1.3824613784187
"48","Tuberculosis",0.0457338054780465,0.596661171604446,"Mic",1.33976265977491
"49","Arginine and proline metabolism",0.0483261040934381,0.739656930355051,"Mic",1.31581821497742
"50","Herpes simplex infection",0.0488505975937,0.624855530318159,"Mic",1.31113011914973
"51","Ribosome",1e-07,-0.694573507008459,"Opc",7
