"","description","FDR","enrich","cellType","logFDR"
"1","Cytoplasmic Ribosomal Proteins",1e-07,0.917658131795049,"Exc",7
"2","Cholesterol Biosynthesis Pathway",1e-07,0.912198554612278,"Exc",7
"3","Cholesterol metabolism (includes both Bloch and Kandutsch-Russell pathways)",0.00109909281228193,0.748991266150806,"Exc",2.95896563227173
"4","Sterol Regulatory Element-Binding Proteins (SREBP) signalling",0.00146545708304257,0.788725529715172,"Exc",2.83402689566343
"5","Parkin-Ubiquitin Proteasomal System pathway",0.00970865317515701,0.83705766485629,"Exc",2.01284101305458
"6","Melanoma",0.0116503838101884,0.744231278887684,"Exc",1.93365976700695
"7","Endometrial cancer",0.0199210572226099,0.720477659534267,"Exc",1.70068761702869
"8","Oncostatin M Signaling Pathway",0.0219818562456385,0.695283673608394,"Exc",1.65793563660774
"9","Cholesterol metabolism (includes both Bloch and Kandutsch-Russell pathways)",0.00046655336085046,0.765468971197632,"Ast",3.33109867775328
"10","Adipogenesis",0.00069983004127569,0.712864249680935,"Ast",3.15500741869759
"11","Sterol Regulatory Element-Binding Proteins (SREBP) signalling",0.0011197280660411,0.810048810814236,"Ast",2.95088743604167
"12","Cytoplasmic Ribosomal Proteins",0.00139966008255138,0.662179782211714,"Ast",2.85397742303361
"13","Senescence and Autophagy in Cancer",0.00139966008255138,0.731764403881309,"Ast",2.85397742303361
"14","Corticotropin-releasing hormone signaling pathway",0.0023327668042523,0.767268505027397,"Ast",2.63212867341726
"15","IL-18 signaling pathway",0.00519873744947656,0.611797729265982,"Ast",2.28410211507705
"16","Gastrin Signaling Pathway",0.00577359784052444,0.683431387311586,"Ast",2.23855347014767
"17","Oncostatin M Signaling Pathway",0.012177042718197,0.725316796186305,"Ast",1.91445817041499
"18","MAPK Signaling Pathway",0.0135300474646633,0.612370459126131,"Ast",1.86870067985432
"19","VEGFA-VEGFR2 Signaling Pathway",0.0166686791649301,0.55665576972839,"Ast",1.77809881253607
"20","White fat cell differentiation",0.0170958481511633,0.803913242781065,"Ast",1.7671093483197
"21","Parkin-Ubiquitin Proteasomal System pathway",0.0175495841119904,0.829278591254578,"Ast",1.75573317093649
"22","Allograft Rejection",0.0176123893721049,0.6779512556828,"Ast",1.75418172178807
"23","Prolactin Signaling Pathway",0.0209015905661006,0.729331592397907,"Ast",1.67982066375513
"24","Vitamin D Receptor Pathway",0.0224820400759815,0.593005011756767,"Ast",1.64816428235824
"25","Spinal Cord Injury",0.0255232132700546,0.604729515230227,"Ast",1.59306465057761
"26","IL-6 signaling pathway",0.0271092058094162,0.745771749497066,"Ast",1.56688320531292
"27","Apoptosis-related network due to altered Notch3 in ovarian cancer",0.0272933716097519,0.698858104005673,"Ast",1.5639428116711
"28","Kit receptor signaling pathway",0.0348515360555294,0.705017400571612,"Ast",1.45777807593788
"29","Selenium Metabolism and Selenoproteins",0.0381907251096162,0.823227957997881,"Ast",1.41804209580014
"30","Human Complement System",0.039007917952845,0.614219331489093,"Ast",1.40884722953239
"31","Genotoxicity pathway",0.0402720378297738,0.729618997007698,"Ast",1.39499639383846
"32","Preimplantation Embryo",0.0438560159199433,0.786661425658066,"Ast",1.35797082415358
"33","Cytoplasmic Ribosomal Proteins",1e-07,0.853267601329617,"Inh",7
"34","Cholesterol Biosynthesis Pathway",0.00090302818570876,0.881316874067827,"Inh",3.04429869408655
"35","Sterol Regulatory Element-Binding Proteins (SREBP) signalling",0.00120403758094501,0.804355687084327,"Inh",2.91935995747825
