Cell,BACH1(+),BCL6(+),BHLHE41(+),CEBPA(+),CEBPB(+),CEBPD(+),DLX1(+),EBF4(+),EGR1(+),ELF1(+),ELK3(+),ETS2(+),ETV1(+),ETV5(+),ETV6(+),FOS(+),FOSL2(+),FOXO1(+),FOXP2(+),IKZF2(+),IRF2(+),IRF7(+),IRF9(+),JUN(+),JUNB(+),KLF15(+),LEF1(+),MAF(+),MAFB(+),MITF(+),NFATC1(+),NFE2L2(+),NFKB2(+),NHLH2(+),NKX6-2(+),POU2F2(+),PPARG(+),PRDM1(+),RB1(+),RFX2(+),RFX4(+),SOX21(+),SOX9(+),STAT3(+),TCF12(+),TCF7L1(+),TCF7L2(+),VEZF1(+),ZBTB37(+),ZFHX3(+),ZNF331(+),ZNF521(+),ZNF652(+)
87779516_pool0,0.00969918133657491,0.013091443674147812,0.0,0.0,0.012786882735252933,0.009483194873878685,0.0,0.0,0.005059918367734939,0.06542115830603895,0.0,0.002299766783906699,0.0695920607149787,0.0724597493061758,0.013759989540701891,0.009412958754567468,0.03752581267259166,0.16011505812296425,0.0,0.10608322461750382,0.09855036125956895,0.0,0.0019300081598255126,0.0172573670701464,0.00497510235740281,0.07931662585990361,0.0,0.0,0.0,0.045764977738050584,0.0,0.07105762245342613,0.014956461043765102,0.0,0.0,0.0,0.0,0.0,0.11068905617296541,0.09984293995766573,0.07767551728468927,0.003618156292674987,0.1063461654124561,0.034870646051076676,0.06332588667470758,0.008580639023587555,0.11625304039576623,0.0,0.09947063430615333,0.0,0.0,0.4323778964106953,0.0
87779516_pool1,0.010174873318374456,0.012522915413962794,0.0,0.0,0.014310652532767976,0.010460566809438115,0.0,0.0,0.005419976308413914,0.06167431007287479,0.0,0.0023005288564851927,0.07296802115281116,0.07519870865473328,0.014183082086825775,0.009537909534495355,0.036797820125614576,0.16126988108807078,0.0,0.10263760002090061,0.09851425824031429,0.0,0.006464545794604253,0.018020123625732985,0.00458868664032298,0.09972645623706917,0.0,0.0,0.0,0.054536598471176936,0.0,0.06974410262928307,0.02041354818135507,0.0,0.0,0.0,0.0,0.0,0.10670525270305348,0.08124744357920612,0.08447172297810202,0.010613258458513295,0.10634201923008424,0.035440749933347226,0.06190531233036539,0.00419497907819836,0.11563719559274636,0.0,0.0941001409436438,0.009766119488036455,0.0,0.41938610948518124,0.0
50100770_pool0,0.008317829065219065,0.014959734954770064,0.0,0.0,0.012571574254038823,0.01456885278485502,0.0,0.0,0.006034722978776549,0.053414070618562445,0.0,0.0024650485561900004,0.07136153817766532,0.07690942533503864,0.027290761868966767,0.009288007974639582,0.0402377723932566,0.15360045535945832,0.0,0.11280609397500271,0.09656421272538857,0.0,0.005597023663493987,0.016971333361801434,0.008259635952581364,0.07617088091352388,0.0,0.0009566354791778945,0.0,0.05301109921324192,0.0,0.07215555428105354,0.005052858460731453,0.0,0.0,0.0,0.0,0.0,0.12476901433453788,0.0837980053949483,0.07795143041666487,0.02964788770506322,0.08752108779655841,0.04224805681343122,0.06219324401562291,0.004957702546961699,0.10820442270923256,0.0,0.09702307593094378,0.0,0.0,0.431518676945128,0.0
50300408_pool0,0.019410156785041932,0.027443428519553607,0.0,0.0,0.02389911793499652,0.013930097329105296,0.0,0.0,0.005208691559785864,0.05901475413924549,0.0,0.0021879136500763817,0.07957364486320533,0.0735614805912518,0.02606471638756108,0.015957102673051265,0.05323791187407301,0.14534487383882183,0.0,0.09847262908059348,0.08671308135443917,0.0,0.009399156631514619,0.018782880181319565,0.018923904118247153,0.12929835486067745,0.0,0.010174600094494035,0.0,0.06216409476085204,0.0,0.0669738700640833,0.013541660674760293,0.0,0.0,0.0,0.0,0.0,0.1057501536325165,0.09595866841317381,0.08695006686293609,0.04249323796148904,0.06779908274658461,0.04653208021089093,0.0685277410912882,0.018305363250320117,0.11021616888379854,0.051846376906053405,0.11145037724878765,0.0,0.0,0.4081093986044595,0.0
50300408_pool1,0.019375928357804516,0.026613986353984057,0.0,0.0,0.026812331589976864,0.009915984118201967,0.0,0.0,0.005221770071034393,0.065206117981446,0.0,0.0023369584283894863,0.07899750615707976,0.07757537970408718,0.025592440806053073,0.013511195769826442,0.05106607628059971,0.1374302940511917,0.0,0.09858710228453818,0.08443550865493368,0.0,0.010628001397461154,0.019831670445251113,0.019573732783612744,0.12385958543678095,0.0,0.009867127934882746,0.0,0.07513083845329971,0.0,0.06656192569161927,0.01192474596732623,0.0,0.0,0.0,0.0,0.0,0.0964320804840784,0.1061055787438302,0.07931739692965377,0.05520636768550513,0.08055434064450855,0.04485567322961381,0.0685277410912882,0.02345374666447265,0.10667989725321576,0.0612075282918686,0.10067340443693483,0.0,0.0,0.4112179149438144,0.0
50400385_pool0,0.015234370702287706,0.017186122950519578,0.0,0.0,0.01263521152913083,0.007372423572016545,0.0,0.0,0.004774354555156754,0.05263698461075159,0.0,0.002368004907490925,0.07532635249325866,0.06406349436479594,0.0169947929762076,0.00870490433497611,0.042320436973165856,0.14861931991930485,0.0,0.10795263088163304,0.11169379217426009,0.0,0.0012080359210359778,0.018592191042422917,0.008066428094041449,0.14213404432701884,0.0,0.0012050173487733113,0.0,0.059875845873949514,0.0,0.06383748360090426,0.00323382941486813,0.0,0.0,0.0,0.0,0.0,0.09317810144738317,0.08225287289703141,0.09519646399805343,0.0,0.09866176725521958,0.04286279531885151,0.07265791208695505,0.007582549545847349,0.13001667201399403,0.0,0.09176298220761736,0.005627933264292195,0.0,0.38918206514232145,0.0
51624179_pool0,0.0077202601548387855,0.03739736549051404,0.0,0.0,0.020112996343411103,0.017102899268126928,0.0,0.0,0.005130349661028948,0.04781009340069727,0.0,0.0025538384568854623,0.07218453838298002,0.07106682477125142,0.04843355294442674,0.009704510574399203,0.04605285320787712,0.12275446109935753,0.0,0.1094631716768573,0.08155084778889447,0.0,0.025257025823792783,0.03168867756932751,0.008935863457471065,0.09461193476622556,0.0,0.0029893699613799452,0.0,0.04080710514976177,0.0,0.07278709593973771,0.027083321349520587,0.0,0.0,0.0,0.0,0.0,0.09287158274433509,0.08509427004279578,0.10531763787984011,0.015678677268258275,0.0829431622980363,0.052933851833984906,0.06737601435025815,0.002811483191659861,0.11670046240476382,0.0,0.07629884238014187,0.0,0.0,0.34826534141132826,0.0
50105437_pool0,0.009574684689759515,0.01403757557567092,0.0,0.002059339752838486,0.020799041974477846,0.02976375678668695,0.0,0.0,0.0162015696016781,0.03863346054891329,0.0,0.009617349206302722,0.04638220827498853,0.0749959390755115,0.011936084570962692,0.010037712654206903,0.03672179970769276,0.1368063738975892,0.003351173324565398,0.09610305601507026,0.11288004538885266,0.0,0.006304693322096675,0.015541164820076595,0.01004803148288551,0.08549798077113271,0.0,0.0,0.0,0.0,0.0,0.07607499030659633,0.033550980179256853,0.0,0.0,0.0,0.0,0.0,0.07724028272639023,0.016812686695342145,0.07045089727255831,0.0,0.11658509033123671,0.029580132319831098,0.0675960995442967,0.0,0.1114950243318912,0.0,0.06605994254097536,0.020285754482396615,0.0,0.26281442631711815,0.0
50108886_pool0,0.014401958096080572,0.019869321543524502,0.0,0.0,0.018161556252475675,0.00550741270369775,0.0,0.0,0.005010755424746218,0.07935862017042526,0.0,0.0021439143491851307,0.07237539799949727,0.07154681352259218,0.01628890875695914,0.010037712654206903,0.042125711385151095,0.14562541403525922,0.0,0.09247898467802297,0.08718627542752341,0.0,0.01357175461160067,0.019831670445251113,0.009225675245280939,0.19803434046573787,0.0,0.014934413346721355,0.0,0.07665633771123471,0.0,0.06918578207857928,0.02890235039538391,0.0,0.0,0.0,0.0,0.0,0.10812672996778341,0.22766196838526084,0.08230297140805434,0.03834352404571395,0.07892033296536649,0.03700457126350979,0.06478462918294052,0.012203575500213412,0.10625357358499678,0.0,0.10015955438933836,0.0,0.0,0.41474583528056935,0.0
67185070_pool0,0.007901913334952639,0.018818471364711983,0.0,0.0,0.013460000774308145,0.01776282962391947,0.0,0.0,0.004906549435580338,0.039236456688538444,0.0,0.0023847164530096804,0.06190411575675904,0.07627044252347344,0.027335689957874727,0.009912761874279016,0.03403698225212513,0.12196945104825381,0.0,0.1013588041796369,0.08963845816900458,0.0,0.010293376852402735,0.0193549475980095,0.0007728314341596598,0.06190246080876332,0.0,0.0032674508880199404,0.0,0.015254992579350193,0.0,0.0744956810970367,0.016977604428057683,0.0,0.0,0.0,0.0,0.0,0.08072879832666653,0.026775760292581934,0.06960860316580351,0.01664351894630494,0.0853576663797459,0.036392922625644836,0.06593635592397058,0.0,0.1126778250723419,0.0,0.07423563883961554,0.00033105489789954086,0.0,0.36329799541744406,0.0
