,regulon
0,"[FAM181B,CHEK2,RGMA,BAZ1A,PARP10,ALK,LZTS2,SMC4,CLCN5,FRMD3,ARHGAP6,MYLIP,GRIK1,ARHGEF40,SIGLEC5,SLC25A35,ZNF765,MMRN2,SPATC1,LSMEM2,FAM53B-AS1,EIF4EBP1,SLC12A9,EXPH5,CPNE2,RASSF8,ACSL5,MAPKAPK3,PSD2,NASP,ATP1B3,SIX5,UNC5D,GRM8,IDI2-AS1,GPC6,BACH1,CAPN2,IFI16,ZBTB7B,OVCH1-AS1,NDUFA4L2,DLC1,SLC25A19,FRZB,FRRS1,RNF220,LINC01505,ARHGAP15,C19orf81,ZNF599,CARHSP1,RPL13,NFKBIA,MYD88,PLA2G6,TRIM47,CARD18,TGM2,PACSIN3]"
1,"[RASGEF1B,LDLR,C1R,ADAM12,SP100,CDH23,COL4A1,SLC7A2,EMILIN1,HLA-DRB5,PCAT1,HLA-DRB1,THBS2,UNC5B,C1orf198,MYL9,TMBIM1,EMP1,CLIC4,PLCE1,SAMD4A,MEGF11,MGST1,RALGDS,ZDHHC9,PLAC8,CDKN1A,COL4A2,AKAP13,TRIM56,COLEC12,SOCS3,LIMK2,MFSD2A,SPATA13,TGFB3,SRGAP2C,C19orf81,PLA2G4A,AQP1,XAF1,BTG3,CALN1,STEAP3,SMIM5,VASN,PTH1R,RAB3IL1,ETV6,DHCR24,BCL6,F3,TGFB2,IL15RA,ST6GAL1,RGS16,GAB3,CNN3,PRR16,CD58,ADAMTS12,APLNR,KLHL13,ATP11A,TTTY14,SIX5,RND3,IER3,FCGR3A,LTBR,SLC19A3,ACTA2,FRMD3,PLEKHG2,C1QC,CHST3,FZD5,ADCY5,PDPN,FRZB,DNM3OS,NFKBIZ,ZFP36,DOCK8,HPN-AS1,PDE1C,ITGB1,TGFBI,CHI3L1,LST1,SYTL4,LPAR1,RRBP1,FLT1,ATP8B4,FAM189A2,ARHGAP15,TIPARP,EMP3,ADAMTS9-AS2,ISM1,LIMS2,ITPRIP,MVP,DDB2,MYL12A,CASP7,MTHFD2,PLEKHH1,PLSCR1,LAT2,DDR1,B4GALT1,LINC00578,MND1,SCD,CYTL1,TGM2,DOCK4,PACSIN2]"
2,"[BCAN,EDNRB,ASCL1,CLDN10,GPAM,VWC2,MCM7,ID2,PRR18,ACBD7,APOLD1,ADCY5,NKX6-2,TGFA,ABCB1,PHLDB2]"
3,"[SLC7A14,KCNC2,PALM2-AKAP2,TMEM151A,TMEFF2,SH3GL3,CNTNAP4,GNAI1,RAB3C,SLC9A3R2,CDK6,GALNTL6,LINC01322,SRCIN1,HBA2,ENC1,ANO4,XKR4,SYNJ2,NHLH2,PTPRO,PTPRT,SPOCK3,TTLL7,GRB10,C12orf76,TRPM2,GALNT13,A1BG,ZNF488,ANKRD30BL,INF2,TMSB10,ERMN,PROX1,TYROBP,MYT1,AMOTL2,SLC2A3,ITGB2,RNASE1,DLX1,ETS2,MIF,SV2C,TGFA,RAB33A,NETO1,VWC2,SEC14L5,HS6ST3,STMN4,PDGFRA,EDIL3,CLSTN2,PTP4A2,CEBPA,ZNF738,ARHGEF2,C19orf81,DEPTOR,HLA-DPA1,FCHO1,KCNE3,SYNPR,SHISA8,BVES,BATF3,EGFL7,KCNS3,ISLR,TM6SF1,OPALIN,TMSB4X,TMEM26,SORCS3,GPR37,HPSE,TP63,NEURL1B,ST14,COL20A1,TIE1,ARRDC2,SGK1,NMU,ITGBL1,COL19A1,AKR1C2,DYSF]"
4,"[MAP3K14,MT1X,PPP1R18,PXDC1,CEBPD,IRF7,TNIP2,FAM89A,SLC9A3R2,CHSY1,PLEKHF1,NOTCH3,GLIPR2,BIRC3,SOCS3,B2M,FOSL2,EFNA1,GPSM3,SLC19A3,OSMR,LSM2,GFAP,HLA-B,ELK3,LIMK2,RALGDS,TMBIM1,HELB,LRRK1,ADAMTS7,PLEKHA4,RPS11,ZNF331,S100A6,RNF122,BTG2,SH3BP1,TFRC,UGCG,EMP3,CD151,MT2A,RHOB,IL13RA1,PALMD,DDX58,TRIP10,JUNB,ZCCHC24,ETV6,MFHAS1,NPNT,PRUNE2,TAGAP,C1RL,PSRC1,PMP2,ROM1,HPN,IER3,PIM3,IL15RA,VASN,TRIM22,STK10,ITPRIPL2,RBM47,GYPC,NXN,RCAN3,NUPR1,GAS6-AS1,GAS2L3,HGF,HILPDA,AQP9,ELL2,H3F3B,IFITM3,FPR1,CD55,SAMD4A,CCBE1,CEBPB,PLK3,TMCC3,CD44,CDH5,SP100,SPSB1,IGFBP5,TNFRSF1A,PLD2,TLR2,BARD1,LAT2,RPS23,PROM1,PDE10A,TLR1,PRDX4,ISG15,CIITA,RASAL1,SYNGR2,PIK3CG,RPLP2,TNRC6C-AS1,SEMA4C,TAGLN2,STAT3,FLT1,YBX3,NPHS1,RBMS1,THBS2,LPAR1,MLANA,ZNF488,LMO2,HPN-AS1,IDI1,TEAD3,CALN1,SPATA13,CDKN1A,LGALS3,PIM1,CRISPLD2,GHR,ADORA2B,TEP1,TMEM164,ADM,IRF9,NLGN4Y,RARRES2,TIE1,ST6GAL1,EPHA1-AS1,NDUFA4L2,CXCL12,PCA3,PTPRE,CSF1R,B4GALT1,SLFN11,ADGRG6,FZD5,MIR34AHG,MVP,KLF6,ADCY5,EBI3,C1orf198,PTP4A2,SCARA3,LIMS1,SKAP2,GPR37,NFKB2,FAM78A,NES,OLR1,IL21R,CD58,KCNJ5,SPP1,PELI1,OSMR-AS1,LST1,CD63,ARID3A,FXYD5,ALOX5AP,ARHGAP27,CDH23,WDFY4,RNF152,SYNE2,GNA14,TNFRSF10B,FBLN2,DSC2,EEPD1,ZFP36,KCNK6,COL8A1,RASL12,RGS10,TRIL,SH3BP2,MBOAT1,EDA2R,NLRC5,FAM107A,NFAM1,RPL29,SREBF1,ID3,ADAMTS12,ARID5A,NOTCH4,RHBDF2,FCGR3A,LDLRAP1,GAB2,ZNF524,PDGFB,TMEM132C,SBNO2,SULF1,TUBA1A,ADA,AEBP1,MAOB,GADD45B,EDN1,LRRC8C,ANOS1,PRR16,LYL1,AATK,FN1,TNFRSF10D,ADGRD1,TNNT1,SLC12A7,FOXP2,LGALS9,SRGN,ADGRG1,MAP3K11,TGIF2,HMOX1,APLNR,AHCYL1,MX2,MFNG,EIF1AY,PLCXD3,MAP7D3,PLBD1,CCND1,ADAMTS6,CD81,RRBP1,NDRG1,IL18R1,PLAGL1,ADSSL1,CBLN2,MFAP3L,SLC16A3,VWA1,FGF13,ACKR3,AVEN,PHF19,TGM2,POU2F2,TMCC2,PDE9A,NLRP1,ZNF462,PON3,STK32A]"
5,"[SIPA1L2,MOB3C,C1RL,C11orf96,PIM3,IFNLR1,GHR,MAP3K14,PLEKHF1,SLC44A3,MFHAS1,PLSCR1,PROS1,SPOCK1,ZFP36,SOD3,ATP10A,IL13RA1,NOD1,OLR1,BTG2,JUNB,SOCS3,TMEM164,ETV6,RHOB,GADD45B,UGCG,TNRC6C-AS1,F3,SULF1,ALOX5AP,ZNF331,LIMS1,MRVI1,LINC01500,LINC01023,OSMR,OTUD7B,PPP1R3B,XBP1,RHOU,EFNA1,ZNF488,ADAMTSL2,KCNQ3,GNA14-AS1,THBS1,TGFBR2,TMEM255B,SUSD6,CLDN11,RPS20,OSMR-AS1,NXN,RASAL1,ZIC4,TLR2,GLI2,TAGAP,RBPMS,PFKFB3,PRDX4,WIPF1,CEBPD,RCAN3,SYNE3,PLA2G7,GAS2L3,ROR2,MYO1E,SH2B3,CALN1,NRP1,RGS6,FLT1,MXRA8,C4orf19,SPI1,ISG20,SLC1A5,FOSL2,ALDH1L1,FXYD5,FILIP1L,EPHA1-AS1,MT3,PLAG1,ARHGDIB,MYO5B,SP100,TXNIP,VSIG4,WNT5A]"
6,"[NETO1,SYNDIG1,ARRB2,SYNPR,LGI3,EGFL7,KCNMB4,SYNJ2,TM6SF1,SFTPC,CDR2L,TNFRSF11A,CARNS1,CDH9,ENC1,CORO1A,SH3GL3,SH3KBP1,AGPAT4,FMNL1,CALB2,GAD2,GALNTL6,GRB10,SV2C,MYT1,IPCEF1,SLIT2,LGR5,FGF13,FRAS1,HS6ST3,DSCAM,PALM2-AKAP2,ELMO1,CHST15,GRIK2,PRKY,ANKRD30BL,PROX1,CDK6,CACNG4,CDH13,S100A9,ZNF488,SFRP1,LIMS2,BOK,COL19A1]"
7,"[PCOLCE,IGFBP5,LINC00862,TPM2,MAP4K1,NFATC4,GPER1,HOMER3,CXCR4]"
8,"[PHLDA1,KCTD12,HHIP-AS1,ARHGEF2,RPL37,RPL27A,RPS19,SVIP,RPS7,RPL39,DLX1,FAM78A,C19orf81,ARRB2,RPS6,RPL26,SFTPC,GPSM3,TMSB4X,SMAP2,RPS21,CNR1,RPS5,IFNGR1,RPL13,CLDND1,RPLP2,RPL32,GALNT13,MOBP,ABCG1,CD55,RPL13A,EGR1,RPL8,EEF1A1,OTOF,RPS18,RPS8,LMO2,BATF3,NET1,RPL9,GRIK2,LMCD1,CA10,RPS14,BVES,SLCO2B1,GPRC5C,PPP1R3B,ATF5,ITGB1,SRGAP2,FCHO1,SGK1,IGSF21,ISG15,NEURL1B,HAPLN2,SKAP2,GNAI1,PDE4B,PPM1M,GRB10,AMOTL2,PTGS2,TF,ZIC2,GAB3,TMSB10,PPP1R18,DAB2,LZTS2,ZNF621,RASSF2,ARHGDIB,RARRES2,SOX21,RNASE1,LRRC3B,RBMS1,ASPN,KLHL1,KIF26B,BTBD3,PMP22,PLSCR1,TSC22D4,FGFR2,TFEB,EFHD1,SLC25A37]"
9,"[TIAF1,PTPRJ,AAMDC,SLC7A11,RAPGEF1,PLEKHA2,YAP1,ORMDL2,PRKD3,RFFL,TBC1D22A,TBC1D16,LRIG3,PTPRM,LINC00511,LINC00601,ARHGAP31-AS1,CREM,HVCN1,SDK1,STARD13,LYVE1,NKD1,GPSM2,PATL2,ELF1]"
