,regulon
0,"[GEM,EGR1,FOS,TNFAIP6,DUSP1,JUNB,NPAS4,RELB,NR4A1,BTG2,MYO1E,LMCD1,ABCB1,NR4A2,ENPEP,PTGS2,ISG15,FGL2,ATF3,PLA2G4A,SLC2A3,NFATC1,EYA4,ELMO1,ELOVL5,FOSL2,ST8SIA4,NAMPT,ABCG2,GADD45G,RGCC,ELL2,NEDD9,ATP10A,MAFF,S100A8,PHLDB2,C1orf198,WDR49,C11orf96,RASL12,SHC4,LIPG,PRRG4,FERMT3,ZNF331,NDUFB7,JUN,SERPINE1,ITPRIP,C1QA,NPTX2,KLF6,FGD6,HIST1H4E,SMAD6,RAB13,RAB20,PTGS1,HPN-AS1,MAML3,GPCPD1,TRIB1,OSGIN1,ADAMTS1,RIPK2,LDLR,YBX3,RYR3,LPAR5,TCF7L2,SMIM5,PLS3,DUSP6,SOX21,ZNF516,LIMK2,PRDM1,MAGT1,TMEM256,THBS2,RHBDF2,CD63,ARHGAP24,HAGLR,HMGCR,CHI3L1,BCL6,GLA,ETV1,APOC2,ASCL1,RGS12,NR4A3,MRC1,LRRC8C,NUMB,F3,IGFBP6,RPS19,TACR3,KLF4,HSPA6]"
1,"[CLU,CNDP2,CEBPA,MOB3C,SEMA4C,EFNA1,TNFRSF1A,PSTPIP1,RAB3IL1]"
2,"[HES5,DHCR24,SPARC,SLC39A1,ARHGAP4,PAQR4,PSRC1,TMEM151A,WFS1,DUSP7,SOX8,SLC48A1,EPOR,DDIT4,MAP6D1,ARRDC2,CTSB,C19orf54,CNDP2,SLC35B2,PLEKHF1,CD33,BHLHE41,ZBTB7B,SLC6A8,CDC42EP2,PRKCD,ADORA3,TMSB4X,CLEC9A,CTSZ,CXCL12,IGFBP6,IRF5,ST14,LZTS2,IER3,ZNF524,FLNC,TAX1BP3,IGFBP3,MSMO1,RGS19,JOSD2,PAQR8,H3F3B,CEBPB,ZNF488,CD83,CEBPA,TLL2,SEMA3F,ENC1,HLA-DRB1,SLC2A1,AMOTL2,RHOB,PHLDA3,CD68,NDUFS7,EFNA1,CADM4,CD151,FXYD1,FANCE,HLA-A,GPIHBP1,EHBP1L1,MAN2A2,ISLR,GAL3ST4,CD81,CFL2,ADGRG1,RPS24,SLC38A2,NEU4,NDP,ID2,IKZF1,SC5D,ITPRIPL2,FRZB,PDGFB,GSDMD,DHCR7,FGD2,CNP,ISG15,PPIB,IGFBP5,GPR17,IPO13,GM2A,SLC9A3R2,GADD45B,SLC25A48,ANKRD65,LINC00499,ALDH16A1,HDAC11,RNF166,GNAI2,LARP6,ADAMTS8,TPT1,RPL22L1,NGFR,FOSL2,CEP72,TIE1,ABCA2,INF2,FAM107A,CORO1A,ADAMTS1,EGFL7,BTBD3,RPS7,SYT17]"
3,"[JUN,RHOB,DDIT4,BTN2A2,HLA-DQB1,PIM1,SERTAD4-AS1,RPS14,RPL8,SLC38A2,GPR85,CDK2AP2,XBP1,SLC26A3,ZNF524,CD59,SERTAD1,CRNDE,HLA-DQA1,CXCL12,VEGFA,G0S2,RPL32,CDC42EP2,ANKRD37,SLC48A1,SERF2,CEBPA,IGFBP6,HSP90AA1,HSPA5,TMEM251,KLRK1,ID2,SLC12A7,BMP2,ENC1,VEZF1,PRR34-AS1,CFL2,AMER2,CARD9,SLC9A3R2,CDKN1A,RPL38,DUSP7,C19orf81,ARHGAP4,DUSP23,HES5,KYNU,DOHH,FSCN1,RNF166,PTMA,PDLIM4,RPL10,PPM1M,LGI3,HLA-DPB1,SLC10A1,FABP7,SPARC,REEP4,PDGFB,ADGRG1,CEBPB,SLC6A8,GATM,TEX14,RPL18A,BDH2,KCNJ2,HES6,ITGBL1,SFTPC,CERS2,ATF5,MT1X,RPL34,NFKBIA,RPL26,FAM111A,KCTD4,RPS16,CYTL1,LINC01159,TBX6,HPSE,FOSL2,MITF,INHBB,SERPINE2,JUP,RPS12]"
4,"[ITGA10,MGAM,NFKBIA,CD14,IGFBP4,DDIT4,CEBPB,CA8,ATOH8,SFTPC,AKAP3,PERP,TLR1,WFS1,IFIT2,SHROOM1,SMIM3,SLC12A7,C2orf88,TFEC,G0S2,HSP90AA1,BHLHE41,SERTAD4-AS1,CCK,NINJ1,HIST1H2BD,REEP4,MOB3C,TSHR,IGFBP5,ADAMTS8,EMILIN1,STEAP3,GSTM2,HES6,TAGLN2,PHF19,WSCD1,RUNX1,RPL10,IER3,RPL17,CXCR4,EFNA1,EBI3,SHISA8,SH3BP4,ARF4-AS1,RPL26,STOM,SLC22A3,EMC10,MGP,DHRS9,SHROOM4,TNFAIP3,RPL29,COL8A1,SLC6A12,B2M,JAG1]"
5,"[RHOC,NPY,GFAP,NKX2-2,SHISA8,KDR,TAC1,GAD1,VWA1,APLN,ROR1-AS1,ARHGEF40,DLX1,WIF1,MRVI1,PTGDS,C1QL1,SLC6A1,HTRA1,NKX6-2,NPSR1-AS1]"
6,"[ZFP36,IFITM3,SLC1A3,NDRG2,SLCO1C1,ACBD7,SALL1,S100A16,GJB6,GLUL,EMX2OS,FGL1,HLA-DRA,HHEX,MT1H,TNFSF13,ID1,F3,EMP1,PON2,CCL2,S100B,PTGDS,MEPE,ETNPPL,RTKN,FCGR3A,TMEM176B,EZR,PMP2,APCDD1,LGALS3,MLC1,AQP4,GAD2,GFAP,SPP1,MT1E,EVI2A,IGFBP7,NKX6-2,ZIC2,XAF1,SOX2,RAB13,SDC4,SOD3,EMX2,SLC38A3,MAF,PLEKHB1,SLC7A2,SOCS3,CXCR4,CST3,OPLAH,FCGR1B,ACSS1,CLEC7A,GJA1,ACSBG1,FAM111A,FGFR3,MAL,ID3,ZFP36L1,ALDH1L1,ZIC5,SLC6A1,PIEZO1,TSPO,PLPP3,LYL1,TMEM123,CD14,SKAP1,MT1X,NACC2,FLI1,HES1,FCGR1A,ICOSLG,ENTPD2,PAX6,HMX1,COL1A2,SLCO1A2,EFNA1,FAM189A2]"
7,"[CLIC1,SH2D6,IRF5,PLK3,PDGFB,SMOC2,ERF,SERPINA1]"
8,"[ITGA8,ELFN1,ADAMTS12,SPATA22,CCDC80,NXPH2,SPON1,KCNIP1,PDE9A,CARD11,CHRM2,ANXA1,NPSR1,LMNTD1,CHN2,LHFPL3-AS1,SEMA3E,LINC01416,PCOLCE,ERG,LPIN3]"
9,"[CCK,BCL6,SLC35B2,IER2,BSG,FOSL2,SLC2A3,MYL12A,RRAS,NOTCH4,IFIT2,SSNA1,LAMP1,GRN,TMEM229A,MFGE8,SPRED1,RPLP0,NINJ1,SKIL,CNP,CNDP2,VEGFA,NAMPT,HES5,SERF2,GSTP1,SLC39A1,MGP,IDI1,ANKRD37,NENF,POLD4,CASKIN2,RPS15,REEP4,MARCKSL1,ETV1,FIS1,SFR1,ITM2A,TNFAIP6,RPLP2,LMO2,FMNL1,TUBA1A,PRDX1,TFRC,MCM7,CD59,ATP1B3,SDF2L1,ETS2,ATOX1,EHBP1L1,RAB33A,B3GNT9,S100A6,RPS11,MYLIP,GNA15,SPRY4,PPP1R3C,CD81,CEBPB,ARSI,RPL22L1,HYAL2,PYCR2,TMEM51,PSME1,IGFBP2,C5AR1,NDUFS7,ASCL1,CDK2AP2,ADAMTS1,RASL12,SCD,NR4A2,HSP90AA1,C4orf48,FGF20,COL9A3,RASSF2,APOD,ARHGAP4,LTC4S,RPS27,COL5A2,NPAS4,EYA4,RIPK2,RPL17,RPS16,EMC10,RPS3A,RPS19,ATP1B2,TPD52L1,C1orf61,SMIM3,LIPG,PROX1-AS1,HLA-B,CXCR4,CLN8,FSCN1,ATF5,IGFBP6,DUSP1,EPOR,RAB3C,SERTAD3,TMCC3,ELMO1,HSPB8,HES4,CLEC5A,GABRG1,PHYHD1,FXYD1,WNT5A,NEU4,MAP7D3,JOSD2,CD44,LEF1,MYO1C,ERF,RPS9,MFNG,GPX2,SH3RF1,LYPD6,FABP7,TPT1,SORL1,CD40,RPL8,LRP5,GRAMD1A,CASP1,ZNF331,IL1B,CCND1,ESAM,ANOS1,EGR1,TMEM255B,TMEM173,LZTS2,NXPH1,ISLR,TBX19,ENPEP,SH3TC2,FGF13,BTBD3,BVES-AS1,ETFB,GPD1,JAK3,ARHGDIB,BVES,VOPP1,CREM,PDE4B,ATF3,MT3,GREM1,CARD11,BIN1,NFKBIA,TIAF1,NETO1,PBXIP1,C1R,ARHGEF2,FMO2,AQP4,FKBP5,RNF19A,GRM8,GRIK1,XYLT1,SORCS3,HOMER1,FHL3,MX1,CD63,DTD2,FOXN2,NR4A3,ACSL1,PFKFB3,TRPS1,TMEM164,ABR,MFSD2A,SREBF2,BAG3]"
