,regulon
0,"[FOS,ERF,EGR1,BTG2,HSPA6,MFSD2A,HSPH1,THBS1,NFATC2,DUSP1,DNAJB1,HSPA1A,BAG3,ITPRIP,ATF3,HIST1H2BG,NOSTRIN,ELOVL5,HSPA1B,GEM,C11orf96,RFX2,SLC15A3,PDGFRB,CDKN1A,FCGR3A,TIMP1,SERPINE1,COL4A1,DUSP6,TAL1,GCH1,S100A10,HSPB1,LINC01480,NR4A3,HMOX1,SDC2,BTG3,MAGT1,ETV5,LINC00706,JUN,TSPO,TCIRG1,SLC7A5,TRIB1,PERP,SPATA22,NR4A2,CCND1,RBP1,BCL6,RNF122,HLA-DQB1,LINC00877,HLA-DRB5,MFNG,ANXA1,NCF4,LGALS3,FGF11,LINC01001,TIPARP,LRAT,CEBPB,EZR,SHC4,SKIL,TPT1,FLNA,NPAS4,SOCS3,GPCPD1,ETS2,NR4A1,CD163,JUNB,ANKRD37,IER2,DGKD,CALB2,ATP1B3,KLF4,POU2AF1]"
1,"[TUBA1A,CARD11,ATF5,NR2F2,CXorf21,SLC2A3,RASSF2,DDR2]"
2,"[DLX1,IGF1,EMILIN1,SPRY4,PTGS2,SAMD4A,RASSF2,HDAC9,EEF1A1,SAMHD1,NR2F2,TMEFF1,FOXN3,NPTX2,CD9,NOTCH4,ANKRD55,PLPP4,NRG1,TXNIP,TSPAN4,CRIM1,SGK1,RAB31,BCL6,MYLIP,KLF6,ZBTB37,EMP1,TMCC3,CD36,ANXA1,BIN1,PIM1,REL,KLF4,RYBP,ROBO3,CCK,TNNT1,CXCR4]"
3,"[NUPR1,ROM1,S100B,APOE,CSRP1,CST3,OLIG1,LRRC32,PLCB2,SASH3,PRR18,CD22,PACSIN3,MMP14,AHNAK,LAMB2,HCLS1,CTDSP1,MFSD2A,PLEKHB1,TNFSF13,LCN12,BEST1,GPR37L1,SETD9,FGF1,S100A1,MT1M,EMX2,SHC4,NDRG2,CEBPA,HLA-DRA,MAFF,CLDN11,FABP7,OLIG2,METRN,PAQR4,APOC2,TMEM229A,UHRF1,MFGE8,NKX2-2,TRIP6,TIE1,GATM,STAT6,XAF1,IGFBP6,FAM107A,BTN3A1,SPARC,LRP2,LMO1,C1QB,NAGA,PIK3R5,ARID5A,SLC15A3,IRF5,SOX4,NIPAL4,RORB,RARRES2,TRAF4,P2RY6,INF2,TSC22D4,RGS19,CD82,ZIC2,PLP1,ABCC9,PMP22,ABCC3,HLA-A,WDFY4,EGFL7,TXNIP,SRGN,TBL1X,LPL,CAPG,PLPP2,MX2,SLC48A1,VWA1,MYOF,FXYD1,AQP4,ZFP36L2,TFEC,SIRPB2,RAB13,S100A6,APOC1,FGF20,RAB7B,HES1,SH3BGR,DTX3L,RNF43,EMX2OS,PCK2]"
4,"[MCL1,CFL2,EGFL7,PTGS2,MARCKSL1,DUSP7,RPL28,EEF1A1,HLA-A,RPL18A,RPS20,HSP90AA1,LMO2,PBXIP1,NOTCH1,RPL23A,ID2,H3F3B,SOCS3,RGS16,RPL32,ETV1,RPS15A,RPL29,HSPA5,GLUL,ENHO,RPS11,TRIP10,PPM1M,RPS19,FTH1,RPL23,HES6,TUBB2B,GAS1,VWA1,SLC9A3R2,PTMA,FLNA,ENC1,EDN1,DHCR7,MT1X,NLRP1,COL9A3,ADM,CHCHD7,TMEM256,ZNF524,DNAJB1,ORAI1,RPL34,BHLHE41,LAMP1,HAP1,RGS3,CDKN1A,S100A6,DDIT4,RPL10,CD81,IFI27L2,B2M,PRDX1,RHOB,CCND1,PIM3,SLC35B2,TMEM176A,GNG5,TAC3,SLC6A8,ACKR1,PLCB3,G0S2,FOSL2,CEBPB,CORO1A,STXBP2,CNDP2,TMEM251,DOHH,XBP1,RPS23,NDUFS7,OPLAH,KIT,HERPUD1,FGFR3,VAT1,MAFB,ZNF208,ALKBH7,MPST,TRAM1L1,ZNF488,IGFBP4,COL9A2,RPL37,EMX2OS,FAM107A,SAMSN1,PLIN4,RORB,UCP2,CDC42EP4,HES4,SFRP1,FLNC,PHLDA3,PAQR4,ASCL1,RPL38,WNT5A,SMAD6,BSG,ID4,GRN,CRYAB,MID1IP1,EZR,KLF4,LZTS2,NINJ1,COL16A1,KYNU,SLC16A8,OLIG2,ITGB8,AHCYL1,APLNR,EPOR,JUNB,PTOV1-AS1,FTL,SLC48A1,TRIM47,CSF3R,MMD2,CYTH4,SIX5,RPS21,PVALB,GPC3,LYL1,RPS12,ETS2,FDFT1,MOB3C,ITGAX,CDC42EP2,ISG15,LINC01504,BVES,GPRC5C,TRPV3,STEAP3,BTBD19,GPER1,SORCS2,SIGIRR,APLN,MEX3D,GAS2L3,TESC-AS1,CMTM3,SH3BP4,FAM181A,ENOSF1,IRF5,ZFHX4-AS1,ICAM1,RNH1,SVIP,BOK,PTPN6,SERPINE2,GLIS3,SDS,LGALS3,STAT6,PLXNB1,BCAM,CD86,BTNL9,LIMS2]"
5,"[APOC1,SEC14L5,MT2A,VANGL2,SPARC,P2RY13,VWA1,ICAM1,KIF19,TSC22D4,LGALS3,APOL3,PPM1M,S100A16,TMIGD3,HEY2,FGFR3,TRADD,TRIL,CA10,SOCS3,RASAL3,MT1F,PLXND1,SNX22,PIK3AP1,MEX3D,MT1E,FAM107A,TMEM125,COL5A2,FZD5,APOE,ALDH1L1-AS2,PCK2,MYH11,CEBPD,PBXIP1,GNA15,GRIN2C,HIGD1B,STAT6,SAPCD2,PACSIN3,MPST,UHRF1,PMP22,NPTX2,MT1G,EFS,HBB,SELENBP1,MAOB,TMEM123,LIMS2,TGIF2,INF2,PTER,VIM,LINC00863,GALNT6,MCAM,PLXNB1,PREX1,S100A9,IRF9,ADAMTS4,PDGFB,PAOX,HEPACAM,KLHL6,RGCC,CAPN9,ZFP36L1,BOK,RFX2,RGS19,MYO15B,BMPR1B,TAL1,HIST1H1C,SIGLEC8,IFITM3,LINC00899,NKX2-2,RASL12,MIR3681HG,MT1M,SPSB1,ACBD7,SIGIRR,ASPA,STAT5A,MIR210HG,TIE1,UCP2,LMO2,KCNJ16,GAREM2,SDC4,EMX2OS,PDLIM4,FAM167A,SNHG18,TRPV5,NEURL1B,PARP10,NKD1,PAX6,KLF15,EFCAB14-AS1,COL9A3,HMG20B,JAG1,SLC12A7,MT1X,ID1,PTGS1,DHRS9,CLDN10,ADAMTS14,MCM7,MLC1,GLI1,FKBP5,TGIF1,CSRP1,CLDN5,PECAM1,CEBPB,OSGIN1,LY86,SPATA13,TTYH2,FCGR2A,FXYD5,RAB20,MCM5,NOTCH1,ATP1A2,MOB3C,VAV1,SLC26A3,CAPN13,PTAFR,TMEM204,NRG1,GAB3,GNA14,LFNG,SEMA4C,COL9A2,SYNJ2,KREMEN1,RRAS,MYH3,ETFB,PARP4,PLAC8,S1PR1,SNTG2,MIR17HG,TMEM71,IRF5,PTGS2,LMO1,DUSP6,SPATA22,DIO2-AS1,KCNJ5,PLEKHB1,MICALL2,RHOU,SLC25A37,ZFP36,DHRS3,GJC2,SORCS2,COL16A1,TBXAS1,SLC31A2,ASIC4,NCF1,TMEM63A,TNFRSF1B,EMX2,LPAR1,ARHGEF40,LMF1-AS1,ACSS1,TAGAP,PCA3,FTL,NDRG2,RPL19,PLXNB3,RBPMS,PI16,EPAS1,SDS,EFNA1,ZNF521,RCAN3AS,TAC3,PTMA,ENG,EGFL7,TRPV3,ARHGAP8,AKAP13,RAB40B,KBTBD12,DTX2,SULF2,TTYH1,SLC4A5,RPS9,RNF217-AS1,ITGA7,RASGRP3,ETS1,DLEU7,SALL1,DPYD-AS1,PROX1-AS1,DHCR7,SRGAP2B,GNA14-AS1,MIR155HG,ASPN,REL,USP44,ANXA4,ZBED3,B4GALT1,GRM8,ZNF423,DOCK4-AS1,ATP1B3,RPL38,EVI5L,NR4A1,MBP,PIP5K1B,C8orf34,MARCKSL1,RALGDS,RPL17,INPP4B,RPL21,NFATC2]"
6,"[ROBO2,ADIPOR2,WWP2,SOAT1,MAP3K1,ARHGAP24,ABLIM1,GBE1,FAM110B,NFE2L2,SLC4A4,PLD5,CAV2,PDE10A,ERBIN,ANKRD30BL,HS6ST3,PHLPP1,GABRG3,GSAP,PLXDC2,TTLL7,LRRK2,ELOVL7,SLC16A10,RCBTB1,SLC16A1,TP53BP2,LRCH1,CDK19,TOX2,SGCZ,PLCB4,NRG1,HIP1,XKR4,KLHL32,MAN2A1,DTNA,PLAGL1,SAMD3,EGFR,ZNF804B,ZNRF2,USP6NL,VAV3,CCDC122,C12orf42,ZFHX4-AS1,VEZF1,RREB1,KLHL13,DOCK10,GREB1L,PDE4B,PDGFD,GAN,EML4,LINC00472,LYPD6,PTPRO]"
7,"[NR4A1,DUSP1,EGR1,FOS,KLF4,PSMB8,CARNS1,FHL3,LINC01480,MYD88,SH3BP1,MNDA,GLUL,ATF3,STAT6,HSPB8,CYBB,PTGS1,PTGS2,INPPL1,SYNGR2,LINC01023,ETV5,PCAT19,NR4A3,TXNIP,S100A16,GPX3,C11orf96,SERTAD1,SLC26A3,RGS10,ERF,VAMP5,EHBP1L1,SIGLEC8,COL9A3,AEBP1,CLDN5,NDP,LMO1,RASAL1,LCN12,IRF5,CSRP1,TSC22D4,TRIP10,NCKAP1L,CHADL,ITPRIP,IGFBP7,SAMD9L,IL15RA,PLEKHB1,LYL1,RHOC,CHST3,FAM178B,FGF11,CDKN1A,TREH,TNFRSF10D,GADD45B,POU2AF1,TUBA1A,PPP1R18,PDGFRB,GJC1,RNF43,ZBTB7B,APOBEC2,SEMA4C,PHLDB2,PAQR5,RASL12,ZCCHC24,SLCO1C1,PIK3R5,TNNT1,CTSH,TMCC3,TREM2,UST,PSME1,IGFBP6,LMNA,PAMR1,PMP22,LDB3,NDRG2,STAT3,CXCR4,MX1,PLPPR1,RPS4X,CTBP2,NFATC4,BAG3]"
8,"[TTYH1,PLXND1,LINC01515,ICOSLG,PROM1,PRIMA1,AQP4,SRGN,CD53,KEL,SYK,ADGRF5,BTBD17,MAG,OR7C1]"
9,"[TMCC3,ETV1,DUSP10,NHLH2,SPRED1,RND3,LSM2,SAMD4A,ELL2,GJC2,SH3RF1,ITGB5,TMEM26,LYL1,COL9A1,CHST3]"
