Cell,AEBP2(+),ARID3A(+),ARID5A(+),ATF2(+),ATF4(+),ATF5(+),ATF6(+),ATF7(+),BCL11A(+),BCL6(+),BCLAF1(+),BPTF(+),CHD2(+),CHURC1(+),CLOCK(+),CREB1(+),CREB3(+),CTCF(+),CUX1(+),DLX1(+),E2F6(+),ELF1(+),ELF2(+),ELK1(+),ELK4(+),EP300(+),ERF(+),ETS1(+),ETS2(+),ETV6(+),FLI1(+),FOSL2(+),FOXJ2(+),FOXJ3(+),FOXO3(+),FOXO4(+),GLI3(+),GTF2F1(+),GTF2I(+),HIVEP1(+),HLTF(+),HSF2(+),IKZF1(+),IKZF2(+),ILF2(+),IRF1(+),IRF2(+),IRF7(+),KLF13(+),KLF7(+),LHX6(+),MAFB(+),MAFK(+),MAZ(+),MECP2(+),MEIS1(+),MESP1(+),MGA(+),MLXIPL(+),MSX1(+),MXI1(+),NFATC3(+),NFE2L1(+),NFE2L2(+),NFIA(+),NFIB(+),NFIC(+),NKX6-2(+),NR1D1(+),NR2C2(+),NR2F6(+),NR3C1(+),NR3C2(+),NRF1(+),PBX1(+),POU2F1(+),POU2F2(+),POU4F1(+),POU6F1(+),PPARD(+),PPARG(+),PURA(+),RFX3(+),RFX7(+),RUNX2(+),RXRB(+),SETDB1(+),SMAD1(+),SMAD3(+),SMARCC1(+),SMARCC2(+),SOX10(+),SOX15(+),SOX9(+),SP3(+),SRF(+),STAT1(+),STAT2(+),STAT4(+),TAF1(+),TCF12(+),TCF4(+),TCF7L2(+),THAP11(+),THRB(+),UBP1(+),YBX1(+),YY1(+),ZBTB11(+),ZBTB20(+),ZBTB25(+),ZBTB7A(+),ZEB1(+),ZFP69B(+),ZNF264(+),ZNF37A(+),ZNF407(+),ZNF536(+),ZNF580(+),ZNF785(+),ZNF83(+)
66754397_pool0,0.021928370092408788,0.02105400105951833,0.06771761670529246,0.17661937104193254,0.0,0.0,0.06711260503660134,0.2880823306895234,0.00016124796215681803,0.07243313531941534,0.04447073110608653,0.028850427545359023,0.10457028297006751,0.015299458553102356,0.07713044654094198,0.0414846423245436,0.0,0.12959502721080854,0.04789521365557723,0.0,0.18987054064347755,0.0906995279900358,0.0681851998300806,9.151058120691106e-05,0.004783939652094084,0.10202171278641338,0.04438250416399232,0.0,0.002391135896616707,0.0038760742263757135,0.0,0.002726008958809676,0.0,0.1616353243670504,0.24508614786990782,0.028288526054773635,0.0,0.0,0.07617999563128987,0.16389801830289297,0.05993718432664492,0.0,0.0,0.30219851139669396,0.0005120632902818652,0.06241666579805198,0.0,0.030572684478706837,0.0,0.14480266372491135,0.0,0.0,0.0,0.0006793100574300059,0.07701178492439016,0.028975572040820505,0.0029729662762799152,0.021526688053387432,0.0,0.0,0.3383298581147102,0.007288784281026047,0.0,0.07408663104234449,0.19537571151180536,0.07340242163877486,0.011763844581685416,0.0,0.0,0.03879310294467308,0.0,0.006143861741723228,0.017589009036327055,0.056126204370679444,0.18707961135094,0.0603666982139737,0.0,0.0,0.00134153514995372,0.1907914344576135,0.0,0.00698491330715532,0.23322780761885145,0.056169414499790675,0.0,0.0,0.007860630250260073,0.1357654622308263,0.0,0.0,0.018670189112724316,0.0,0.0,0.1272416383705539,0.12797358812874432,0.0,0.014411084482076232,0.0065674300264318315,0.0,0.04298323537839325,0.18541433353045614,0.38330558213185295,0.2692528797247426,0.0,0.4441445424934934,0.011580526316623152,0.009121614826215662,0.022785084799139474,0.014495697189189196,0.572673918514371,0.023522245099912638,0.0,0.17015326704428468,0.0,0.0,0.0982573497753869,0.2340780208093386,0.0,0.0,0.0,0.0014263445857316248
46000440_pool0,0.02910155106172561,0.010844930075959946,0.04302388426816184,0.1471446660970587,0.0,0.0,0.09911311998675724,0.17878095049159767,0.0006827843397577762,0.055898877106366096,0.08722538441115087,0.03773174035602259,0.08627872203275495,0.010403631816109603,0.07650394578406726,0.05238786117881491,0.0,0.1287949491221776,0.04769634075708093,0.0,0.29453204812262224,0.055963391464296096,0.0678660424249384,0.000387490117298014,0.003012417508382172,0.08630596992947226,0.022861457681787992,0.0,0.007828555845956249,0.07556990901889642,0.0,0.08292984329873779,0.008113621067358022,0.17751072739599116,0.1888430128935538,0.0,0.0,0.0,0.022715631088419817,0.25224470827883677,0.05973817160376987,0.0,0.0008444122662913214,0.19365976677177033,0.0005467342422280331,0.06029737046427366,0.0,0.0002671549486569277,0.0020844742226648425,0.08831464750005642,0.0,0.0,0.0,0.0015768269064529478,0.11810982019193762,0.012373909768321924,0.002343890340076485,0.05239514639409394,0.0,0.0,0.2860723440446453,0.0,0.0,0.07182186592256366,0.1596189547582122,0.04433787950305981,0.009698757813041848,0.0,0.0,0.03565884310184414,0.0,0.007758369442369006,0.0,0.08852521048900941,0.22863325847756802,0.0896975918058906,0.0,0.0,0.010390940433927335,0.16712290552338613,0.0,0.0037813196958354283,0.18826975732299936,0.0338102167288185,0.0,0.0,0.00027296933441148475,0.11684563084784874,0.007078785054268182,0.06304975801671489,0.010554673630078646,0.0,0.0,0.11303719680365905,0.1669969039017139,0.0,0.012915587257779304,0.007288484543979283,0.0,0.05083240634599761,0.15411288317112315,0.3277334707493154,0.2173591533108888,0.0,0.2983040921419801,0.029444947059789683,0.010608834634837779,0.03185061711568827,0.03036998931409752,0.49512234941806244,0.025697361604101753,0.0,0.27896496190231784,0.0,0.009728830896999049,0.09283866540920095,0.2282390887183374,0.0,0.0,0.0,0.004470679115991481
46000440_pool1,0.026281071566850337,0.010138419973291546,0.0353653736981073,0.14623615244766713,0.0,0.0,0.09676430947644092,0.15778337646606794,0.00020407945210472282,0.054724966247299035,0.08597812001405944,0.035676219890474974,0.0843572826110577,0.005214055474897283,0.07410014228611225,0.057842954333350884,0.0,0.1293884861122296,0.043277028351381794,0.0,0.2920630929766456,0.05082846780086907,0.06515151720253344,0.0001158180793399968,0.0031069494385615294,0.08527236464102879,0.021372111904472815,0.0,0.008896686866301098,0.051795876325053995,0.0,0.07418232730896257,0.009046221190042851,0.1767566619841463,0.17780341952674894,0.0,0.0,0.0,0.011774980931395937,0.2628871483098075,0.05762349544538755,0.0,0.0006258170240781191,0.1757735683334686,0.0005320657625585006,0.05954536244261038,0.0,0.0,0.002538679189978628,0.07546851502495967,0.0,0.0,0.0,0.001389672260288727,0.11540592917045879,0.008661736837825347,0.0016309376123792639,0.05077049069195149,0.0,0.0,0.27659362698062834,0.0,0.0,0.05075996375839975,0.1477754204590484,0.03751872596493948,0.007777712510307172,0.0,0.0,0.03569340347880683,0.0,0.007668453241763477,0.0,0.08592058307186494,0.23359991331184632,0.08859378771545005,0.0,0.0,0.010225618738600572,0.1691433897006982,0.0,0.0036606519721197606,0.1790787751203857,0.039732557482021334,0.0,0.0,0.0,0.10428443408965374,0.00462894404368754,0.08400381153640717,0.010567206195162339,0.0,0.0,0.10608264572023365,0.17013997854890453,0.0,0.012830566605332288,0.007425651770333435,0.0,0.045494459534706634,0.155575716342818,0.3205998990977073,0.212674426213988,0.0,0.30730141263377564,0.028401722846964492,0.0,0.031309325994660964,0.02958316348437864,0.492687857152462,0.02660932053860686,0.0,0.27432648788599723,0.0,0.010984163915966667,0.089508397392605,0.219301841088893,0.0,0.0,0.0,0.00784868351357086
46000440_pool2,0.029294852868308935,0.009361258860356304,0.050043392338341146,0.1379333555300528,0.0,0.0,0.095572017909896,0.15884109130797042,0.0,0.055954038969116486,0.0812331361072942,0.03725315272390664,0.08008955583841329,0.00829842631920272,0.07216316207817061,0.05103421573672893,0.0,0.13598742086642943,0.042326747375732464,0.0,0.2970827154551585,0.05176064706193878,0.06879887120728094,0.0,0.003251898398169876,0.08258929267585553,0.019733831549426116,0.0,0.005316075880341797,0.03730580669071426,0.0,0.06958828663611906,0.010445121374070098,0.17126345815919833,0.1652224290443739,0.0,0.0,0.0,0.0,0.26448144765001097,0.05281084998028517,0.0,0.0008602780500003443,0.17345222709507993,0.0005117861280280942,0.05899844751776436,0.0,0.0,0.0018942455851376123,0.0796723553194301,0.0,0.0,0.0,0.0013947893360181608,0.11089180963427829,0.010105359644129572,0.0011509759721647947,0.04569344162275634,0.0,0.0,0.2807174325768179,0.0,0.00019819461954079595,0.04967916363265219,0.14569549635345203,0.037930487687133786,0.014413615416408333,0.0,0.0,0.037139479536299605,0.0,0.007982434559673023,0.0,0.08592782466432466,0.22683356844002014,0.08722964922986975,0.0,0.0,0.010922119980800284,0.19512104340899658,0.0,0.004109748612028059,0.18391902334129678,0.036481078745479484,0.0,0.0,0.00018561914739980963,0.0832470352178128,0.017165667495341295,0.12854425534172734,0.01049006032815115,0.0,0.0,0.10595709214579505,0.16511847241863356,0.0,0.012730054442048786,0.00744294979386035,0.0,0.04677742460044967,0.14021820126300003,0.31543565824077713,0.20519536119647033,0.0,0.28105774030091074,0.02447774203288151,0.0,0.028231011954028225,0.031097863567128865,0.49059664514025614,0.02839787194541259,0.0,0.26405057070483234,0.0,0.00023537494105642858,0.084753396497261,0.21736573107291035,0.0,0.0,0.0,0.005127018142553091
46000440_pool3,0.029147567251175916,0.009113980324422365,0.03266198065215875,0.13990070907393296,0.0,0.0,0.09252946204689595,0.12933833133993455,0.0,0.055186421798410476,0.07824189001800436,0.03587921633732525,0.07573416725776715,0.0025458299032362322,0.07005133477840447,0.05237786859470026,0.0,0.1300770992315616,0.04138420574613715,0.0,0.3008949739108853,0.05506832765459523,0.0643943813030983,0.0,0.002993511122346301,0.0808130242526669,0.019212560527365804,0.0,0.005302279778468513,0.05083085164599502,0.0,0.070301804423476,0.009092851196177094,0.16689064100771236,0.16548581009666374,0.0,0.0,0.0,0.003866411649115084,0.254571242613947,0.06138534475074337,0.0,0.001008358697951223,0.17498971991069479,0.0007356487346464882,0.05940863371139888,0.0,0.0,0.0013912464457916695,0.0794981579278825,0.0,0.0,0.0,0.001402464180569263,0.09774210431712158,0.014642459892514276,0.0005358795012103296,0.04609960554829195,0.0,0.0,0.2732028322314675,0.0,0.00010940342998651938,0.04382773911242441,0.14291233032996664,0.037286436713484764,0.013127831537972407,0.0,0.0,0.036799570116238835,0.0,0.007413469738972358,0.0,0.08622904209117188,0.21751094421082245,0.08587435359999974,0.0,0.0,0.011132527733140812,0.1711638738780103,0.0,0.00502778336413259,0.17823078350265448,0.03747026968017851,0.0,0.0,0.0033148413496325068,0.0859614173560092,0.006461234394313858,0.10786573704784577,0.013254622862657875,0.0,0.0,0.10761602100472727,0.16074689721360716,0.0,0.014064615765534543,0.007184991436473689,0.0,0.042839304634081955,0.14015162491940286,0.3128685859704127,0.2059309707792313,0.0,0.27899429990010854,0.024977212296725462,0.0,0.02579988333289932,0.031249840044766063,0.4776613748701545,0.02639216893525353,0.0,0.2539838364510295,0.0,0.0,0.07968920351971828,0.21608263982809442,0.0,0.0,0.0,0.004864614945148048
46000440_pool4,0.0301241114040685,0.010209070983558385,0.036274767980907945,0.15147911602248257,0.0,0.0,0.10157404130309017,0.18405907205724037,0.0006449918486272721,0.05779394086826241,0.08730363757770185,0.03356249619985163,0.08651670029633736,0.008812488126586956,0.07560418108962405,0.052786912113612396,0.0,0.13700742280234526,0.04192093887303419,0.0,0.29527331589986416,0.054378177818064616,0.07305356001161774,0.00036604232482764424,0.002596477015593002,0.08542538575732231,0.02152104648220433,0.0,0.012921793538719459,0.06806578698976781,0.0,0.0859263994081073,0.007507430987612883,0.1812037175099589,0.18649135754718127,0.0,0.0,0.0,0.0100825131112597,0.2543658903380241,0.05755718128507955,0.0,0.0012297179840485215,0.1886908878767193,0.0006659868796899751,0.060502463561090916,0.0,0.0,0.0038606930865496994,0.09078334203138116,0.0,0.0,0.0,0.0015493835347940008,0.11053815052467088,0.010002243729393555,0.0023578698053254503,0.0030462294415170895,0.0,0.0,0.27481885352751406,0.0,0.0,0.059209328993888435,0.1597622846846973,0.04077296245917509,0.011099073704793828,0.008363104928028909,0.0,0.03663938171659561,0.0,0.007606428727838937,0.0,0.07792616560522689,0.22321106199252844,0.08275469440780645,0.025252576446318543,0.0,0.009385049372351963,0.20118249594093288,0.0,0.0044251275471468,0.18595861200111571,0.03397034776064075,0.0,0.0,0.00022929424090564716,0.12253862973214306,0.0,0.0644942278962718,0.011733841062980106,0.0,0.0,0.10938331616916756,0.16859506327153323,0.0,0.013190907542780976,0.007585697002737113,0.0,0.04778536164839262,0.157634313268104,0.3294474134863027,0.2156526553674955,0.0,0.30820982871250613,0.01960305056472742,0.02305190703364284,0.029405261434727166,0.030055707097903017,0.4908111718315768,0.02616994789139956,0.0,0.2738401777973327,0.0,0.006433581722209048,0.08693997890975691,0.2288259070824213,0.0,0.0,0.0,0.003981595487821396
46000440_pool5,0.03051397918065201,0.008725399767954745,0.04168505278430883,0.15472155021671263,0.0,0.0,0.10074830254569125,0.14583101774259813,7.306548285230816e-05,0.05531808970582923,0.08257321631642497,0.03473747609645248,0.08503287549118858,0.008004676714983153,0.07530913570256902,0.05249325398325836,0.0,0.1320705490643935,0.04418464113664237,0.0,0.2890702609900639,0.054750036489943844,0.07406501276385995,4.146573210938157e-05,0.003220387754776757,0.0861924113718349,0.018393420349842458,0.0,0.003777637338639643,0.04256106038887773,0.0,0.06899849862993117,0.009815616291257837,0.17946933161723547,0.18063738148062794,0.0,0.0,0.0,0.014762662660257593,0.2708753055902174,0.06367764580681505,0.0,0.000812680698873276,0.18140768818865508,0.0005080627958265381,0.06016064173306215,0.0,0.0,0.001454832029866347,0.09158115029375073,0.0,0.0,0.0,0.0014479015366792131,0.1116690085116646,0.012270793853585909,0.0014911429598896127,0.022135933941690847,0.0,0.0,0.2767491437851968,0.0,0.0,0.0656494149786549,0.15130441350779153,0.04196790396805044,0.010324565083290311,0.0,0.0,0.03813359986633763,0.0,0.007732966813234656,0.0,0.08111906046661646,0.22192614803186653,0.08890265710647648,0.0,0.0,0.010615665391394958,0.18040037297429418,0.0,0.003979778480691389,0.1824278629482051,0.03397000499542399,0.0,0.0,0.0018889477941274743,0.11108099862072597,0.0,0.05233727228135997,0.011051814321862297,0.0,0.0,0.10949108571750685,0.16848104242213555,0.0,0.012884488379627124,0.0074455911950745335,0.0,0.04894219710780666,0.16283616014874008,0.32655559135448675,0.21060786038316368,0.0,0.3100829714390728,0.02327915689128987,0.00728737706224838,0.029325040870180542,0.031010736058852992,0.49714498894840137,0.027984189463311663,0.0,0.26911471072761667,0.0,0.0,0.08612226421935422,0.22640782714271693,0.0,0.0,0.0,0.005143757236812553
46000440_pool6,0.03115634377011114,0.011586765683761767,0.026851487437451842,0.14868940506700232,0.0,0.0,0.09997045825402674,0.14829595501825885,0.0004106784036181459,0.05456230142928088,0.08199389590384162,0.037093751963726974,0.08237087329565149,0.006168741688610871,0.07271157921698525,0.05583594259678041,0.0,0.13394584255357342,0.04408344660180003,0.0,0.30160857164130933,0.05625430918163472,0.073049743722564,0.00023306601151135159,0.0031573664679905196,0.08319836386633546,0.02442527074796893,0.0,0.0021822883824486146,0.027420245708984815,0.0,0.0641541189775677,0.00897627618084149,0.17189359351658953,0.1782175308844708,0.0,0.0,0.0,0.008455718710208124,0.25866642754804015,0.06351927436713194,0.0,0.0006522599969264904,0.17656357681982343,0.0006028274326124184,0.05947699807700463,0.0,0.0,0.0011230506887910392,0.08254365560417878,0.0,0.0,0.0,0.0013858348380131756,0.11260542595841853,0.018560864652482887,0.0018546090563627056,0.03533626152159823,0.0,0.0,0.2770190496350273,0.0,0.0,0.05094833828138199,0.14912160962450857,0.04305338198643325,0.013998909280096438,0.0,0.0,0.036088072237372426,0.0,0.007545129598124205,0.0,0.08055709904650284,0.22875191938614706,0.08707577628391086,0.0,0.0,0.010859056493788391,0.18761638789326596,0.0,0.004223965094360304,0.17655803453789667,0.03675781074879381,0.0,0.0,0.0014740344058220176,0.11513157284559529,0.0005786180054609425,0.06437288444885961,0.012933791431509613,0.0,0.0,0.10726038252170805,0.1658624396644009,0.0,0.012667757392379306,0.007203316557153425,0.0,0.046341255460352,0.15264144487578007,0.32192182449321144,0.20612261693511402,0.0,0.30833462531623357,0.023578644662259177,0.0,0.03050639038531866,0.03137783096462431,0.49484487009853656,0.026409580025074427,0.0,0.26394464463018164,0.0,0.015534746109724286,0.0867758225572192,0.2173450219910042,0.0,0.0,0.0,0.00513747402904442
46000440_pool7,0.027407581317539717,0.013812272507167227,0.04990281718379635,0.14392882722583608,0.0,0.0,0.09453777169746928,0.12048345410695101,0.0006475113480359724,0.05709304055677442,0.0746119964051629,0.03823220180380468,0.07535383776690004,0.005728117282281522,0.0709553513409711,0.053908241867636694,0.0,0.12991081440788563,0.04218607414273355,0.0,0.2981734865401538,0.05328086988843403,0.06661925727645736,0.0003674721776590022,0.0031258558245974,0.07350361820761042,0.029116709946511745,0.0,0.00598619980051179,0.050954658500024654,0.0,0.06707378573411707,0.010701586407808427,0.17060057404864717,0.1675098298690162,0.0,0.0,0.0,0.0,0.273060378957732,0.053658513933123896,0.0,0.0016139856492742683,0.1709347007068442,0.0005612553068530013,0.05940863371139888,0.0,0.0,0.0014475582532575719,0.09333890290257511,0.0,0.0,0.0,0.0014537350952959337,0.09669898030386326,0.005258911651536818,0.001286110802904791,0.053816720133468575,0.0,0.0,0.2742950647433244,0.0077080506334744475,0.00025686022692487156,0.05583838938156182,0.1458498278805937,0.03630659143285672,0.016722017000388056,0.0,0.0,0.037681326334718074,0.0,0.008114488401421495,0.0,0.0787129131820002,0.207686673232827,0.07977296607479113,0.0,0.0,0.011000771079047553,0.17087523328125145,0.0,0.005303340375976925,0.17005881458091954,0.030606095382251553,0.0,0.0,0.0008516643233638323,0.11179356348849241,0.011475923774975359,0.11026372953477895,0.012221803090077994,0.0,0.0,0.10551934765359634,0.16052819697492227,0.0,0.014389013570015262,0.007490321411227022,0.0,0.043818311077094364,0.1338929961242836,0.304575376895286,0.20038053230752412,0.0,0.26802871350183904,0.022896393737646823,0.006841211119661746,0.0298311836641473,0.03112201433078986,0.464642892203224,0.025624493090056752,0.0,0.2585590445392259,0.0,0.0,0.07508505824933247,0.20957709352223997,0.0,0.0,0.0,0.0061523095718258505
89001223_pool0,0.027037149084035823,0.0,0.04220755561768228,0.18034661324933804,0.0,0.0,0.0651251285956281,0.2740971368449555,0.0004358733977051487,0.06550518478543269,0.0575014649653615,0.0335910619158411,0.09752276049764297,0.015079146349937683,0.07008466424115098,0.04927258738920362,0.0,0.11601921484682519,0.03481633002932302,0.0,0.1734813211755829,0.06072552058274502,0.058316677568628975,0.0002473645398249314,0.003703087001400068,0.08708046637797619,0.0,0.0,0.00510560035206519,0.04519727173063016,0.0,0.06584935324371372,0.003963550521410528,0.16339693942205963,0.2408527380342294,0.0,0.0,0.0,0.02480627811970427,0.1382413110305577,0.07982219448918434,0.0,0.0,0.2871139221786706,0.0001840227449450453,0.06303194508850375,0.0,0.07021819287285719,0.0012752816632935747,0.13825808459995886,0.0,0.0,0.0,0.0010180941416112615,0.07790478537601983,0.03788299947889138,0.0025908608928082023,0.005077049069195149,0.0,0.0,0.3182154959611212,0.0,0.0,0.06458809621210422,0.19752631552351643,0.052229491332497366,0.0,0.0,0.0,0.03660011531374108,0.0,0.007535405195175464,0.0,0.06619887606864373,0.20626747268999726,0.07546142118427514,0.0,0.0,0.0006239245268220567,0.1319087527188039,0.0,0.004489858610488046,0.21276613283852477,0.05475288166823992,0.0,0.0,0.0048695404840951,0.14499699298315116,0.0,0.0,0.015995404575000333,0.0,0.0,0.12405616446759678,0.12653675235424464,0.0,0.02477973108537302,0.00844751091798832,0.0,0.0472896577246422,0.1701677555318608,0.3445624693745646,0.2589927064574846,0.0,0.36605099737388913,0.02333179254074531,0.0025778476682783388,0.02681500326317147,0.013248109277857377,0.5450634846737297,0.03083729314652426,0.0,0.1577937957970041,0.0,0.0,0.07919311219875776,0.22593792946075583,0.0,0.0,0.0,0.0
