Cell,ARX(+),ATF4(+),ATF7(+),BCLAF1(+),BPTF(+),BRF1(+),CEBPG(+),CHD1(+),CLOCK(+),CREB3(+),CREBL2(+),E2F3(+),E2F6(+),EMX2(+),EP300(+),ETS2(+),FOXG1(+),FOXK1(+),FOXK2(+),FOXO3(+),FOXP1(+),HMBOX1(+),HMGA1(+),HSF1(+),ILF2(+),IRF7(+),JUND(+),KLF6(+),MAF(+),MAFG(+),MAZ(+),MBD2(+),MECP2(+),MGA(+),MXD4(+),MZF1(+),NFE2L1(+),NFIB(+),NFYC(+),NKX6-2(+),NR2C2(+),NR2F1(+),NR3C1(+),NRF1(+),PBX1(+),POLR3A(+),POU2F1(+),PURA(+),RB1(+),RFX3(+),RXRA(+),RXRB(+),SETDB1(+),SIRT6(+),SOX1(+),SOX2(+),SOX6(+),SP3(+),SREBF2(+),STAT3(+),STAT5B(+),TCF12(+),TEF(+),THRA(+),THRB(+),UBP1(+),USF2(+),YBX1(+),YY1(+),ZBTB11(+),ZBTB17(+),ZBTB25(+),ZNF148(+),ZNF207(+),ZNF25(+),ZNF335(+),ZNF519(+),ZNF580(+)
66754397_pool0,0.0,0.0,0.0,0.07711345346482357,0.031821275070323576,0.0,0.0,0.056752338281961405,0.06464765401002846,0.0,0.08750006564255179,0.19245823918606125,0.06751504529800449,0.0,0.02321696404233247,0.06676081827735104,0.04117954132730607,0.027846068891826295,0.0450734575881157,0.08365907244156923,0.3546306514780795,0.10075657456167544,0.0,0.0,0.015823466662580915,0.0,0.08005972853167835,0.053431015376123735,0.0,0.0036830321001491096,0.016434848224102478,0.15739321168689047,0.0792933289831743,0.0,0.0,0.0,0.004051655660242604,0.5530671771858476,0.0,0.0,0.11430534359094827,0.052188726466464885,0.3624613622459717,0.1288943856604332,0.3771489172870029,0.0,0.5563210284564682,0.0750849000160319,0.29404938263759245,0.4811616990856761,0.013931366895069757,0.0,0.0,0.0,0.0,0.0,0.0,0.1622729199810181,0.00747493241335227,0.0,0.029742017676010077,0.13017541282099812,0.06477927190938065,0.0,0.5826252459090556,0.10831419358818421,0.014729737640818892,0.0,0.07845083658381584,0.07728831098312967,0.0,0.012171864544231316,0.3240842821604089,0.0710341489235602,0.004319836899475859,0.0,0.11571865394975034,0.03540591961251805
66754397_pool1,0.0,0.0,0.0,0.08296251756329928,0.04413888392431491,0.0,0.0,0.05789575313360715,0.0647657566298959,0.0,0.10328623111741139,0.18953863089393289,0.07141966384469185,0.0,0.0364561952468657,0.06315511417529746,0.04255735947970957,0.025676659880370125,0.040542263439045864,0.09351992319587911,0.35765021720507395,0.09785970183984923,0.0,0.0,0.016553367052978996,0.0,0.08543482315068764,0.045402319665066575,0.0,0.002980046720037661,0.017019130195872298,0.16243872923623548,0.08573919779109881,0.0,0.0,0.0,0.0035802073734291446,0.5446383057296703,0.0,0.0,0.11945560511756555,0.05508430094651934,0.36639041552501533,0.1317754193489006,0.3804677400227892,0.0,0.5736788951426594,0.08109882901612676,0.2919596525872418,0.46945012014657295,0.01576708852564754,0.0,0.0,0.0,0.0,0.0,0.0,0.1683704490460152,0.007905818241690872,0.0,0.04384141756487334,0.12844697511014924,0.07141097778734395,0.0,0.5881724012081248,0.11205439356543151,0.014515981553682998,0.0,0.07880587458004708,0.0796899399957968,0.0,0.015689616192760998,0.33009295752477297,0.07336802374567963,0.005960298129246189,0.0,0.14078481648132046,0.03377347454841629
66754397_pool2,0.0,0.0,0.0,0.08480078069067208,0.045849496188650384,0.0,0.0,0.05107901734227427,0.0638431781956773,0.0,0.1115430771880366,0.18003822511675124,0.07281950022896726,0.0,0.031106428856833273,0.06255249269831249,0.046766286269228664,0.029602000964849006,0.025120304405369595,0.10209040131439356,0.3528033604129718,0.1111814835117233,0.0,0.0,0.021933587043053093,0.0,0.09539153073542166,0.040918926913000885,0.0,0.0037135966818930854,0.01920257106002096,0.1522638528399114,0.09046434338954916,0.0,0.0,0.0,0.00315529288238363,0.5365969081405629,0.0,0.0,0.12506744150308258,0.05304848952938258,0.36540616515925284,0.12968066502328635,0.38383146266729795,0.0,0.5731100687627123,0.09031729848408496,0.27096865713544854,0.4615396872349086,0.01526415109261253,0.0,0.0,0.0,0.0,0.0,0.0,0.16723302553863711,0.008673919066120554,0.0,0.04664726828902524,0.12845672728495852,0.07958047053555961,0.0,0.5807217026252203,0.10743409334080233,0.015429303016899999,0.0,0.08187334168566815,0.08523548582538826,0.0,0.013857411010033797,0.33017651180279317,0.07670524652226883,0.00471626633967077,0.007534949157319055,0.13100430804544014,0.0355510258404382
66754397_pool3,0.0,0.0,0.0,0.08717140351589447,0.06464185536619076,0.0,0.0,0.05628231704614333,0.06380194251029479,0.0,0.12631710106309033,0.18357234670169217,0.0733631833650614,0.0,0.03505479010806395,0.061580644865888504,0.04962720734485257,0.021849192685715817,0.016852862449172005,0.10243651430358314,0.3495077578731958,0.10383769441267324,0.0,0.0,0.023571751678398006,0.0,0.10221542727053931,0.026237848912151817,0.0,0.0015740759598147649,0.021441256624873728,0.14281553719192605,0.08560111608897204,0.0,0.0,0.0,0.004153462691275158,0.5467523529132283,0.0,0.0,0.12030213040049184,0.06015724484452499,0.353940404582258,0.13060400507071496,0.4038422302324719,0.0,0.5570346419782867,0.09790074294185128,0.26336932299941496,0.45436678049157203,0.01518871047765728,0.0,0.0,0.0,0.0,0.0,0.0,0.16863903875390437,0.010622272376869015,0.0,0.04342053995625056,0.14407683547773997,0.07881157710043343,0.0,0.570415981081796,0.10779281849615756,0.01638148922323262,0.0,0.08108177528967142,0.08829538644137724,0.0,0.013236737750746085,0.33012297342099267,0.07810336969966808,0.005754694036288362,0.0076457572331619815,0.10298002068101335,0.03653049287889925
89001223_pool0,0.0,0.0,0.0,0.0700197505495641,0.014831173600215321,0.0,0.0,0.04276386047859728,0.058671040829020416,0.0,0.06946433782643396,0.2303153442283587,0.07857085759603082,0.0,0.015345885392777047,0.06527745216975486,0.022556378133507266,0.028466356312421243,0.06676906868965038,0.07339543207250405,0.35329236988091267,0.09586468735220623,0.0,0.0,0.012783760941272202,0.0,0.05009905932482166,0.06573334909714645,0.0,0.0,0.008427918074424227,0.1656638458329391,0.07047610421305896,0.0,0.0,0.0,0.0033364908201528576,0.5559595375528449,0.0,0.0,0.10887867440729149,0.048198517567982234,0.34662721617344655,0.12624641268577794,0.35892381060544104,0.0,0.6024785604472502,0.042973895971960455,0.28841724877441366,0.45337301611091296,0.0017099872723190315,0.0,0.0,0.0,0.0,0.0,0.0,0.14899024592750681,0.009273412392504695,0.0,0.015923202859562,0.10924384675568244,0.0,0.0,0.5792241725600717,0.12373147951544633,0.005266172692166121,0.0,0.06723513237311941,0.061101785827437576,0.0,0.02014727454584916,0.3192525572113347,0.07523910979170845,0.00797874611073532,0.0,0.0718392768096293,0.025792632012807716
89001223_pool1,0.0,0.0,0.0,0.07530191235492241,0.018200919436625274,0.0,0.0,0.04512412970075674,0.0591991860727471,0.0,0.07177042702240573,0.22546595796780652,0.08269519087983457,0.0,0.01847862531023745,0.06368959285821377,0.023752949260737243,0.019429233261204423,0.06303189544090951,0.07867955850285843,0.35613123727490786,0.10011749762340415,0.0,0.0,0.012802365687523874,0.0,0.052569508681065004,0.058287874510483874,0.0,0.0001986697813358441,0.009419619777916388,0.1635059724958155,0.07493890375384678,0.0,0.0,0.0,0.0028514522359587157,0.561786055608561,0.0,0.0,0.11253222824537402,0.051047848669107075,0.34677313503137314,0.12689183889438194,0.38491412696124794,0.0,0.6085521116699674,0.04871196658707956,0.28363061208483764,0.4441658660985728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15083051545884768,0.010266323214328433,0.0,0.02567353412598983,0.11125038824601603,0.002595015343550857,0.0,0.5849598703768621,0.1255121916601279,0.006082332297594081,0.0,0.06841449977199003,0.07439443547796676,0.0,0.01484680994499925,0.32299675343285833,0.08128508284528194,0.008034970940225178,0.0,0.07616685863975142,0.027533906747849588
89001223_pool2,0.0,0.0,0.0,0.07350297290484738,0.031235644940739604,0.0,0.0,0.048549319605007774,0.058581158231219295,0.0,0.07849058052929855,0.23180186124056637,0.08066872821812154,0.0,0.021663092499111542,0.06258520806720112,0.023341281567599195,0.02594174340630544,0.056820398155982436,0.08624310482152218,0.35445792392334335,0.10240713342033142,0.0,0.0,0.011365948645665624,0.0,0.04972536754680204,0.04572975537302968,0.0,4.5846872615964026e-05,0.008831497982130777,0.16028424650320533,0.07807741468638253,0.0,0.0,0.0,0.0024286417574582663,0.5656628640420086,0.0,0.0,0.11503120203695935,0.04911058420782719,0.34468388998535604,0.1287342305877075,0.40549221129470076,0.0,0.6129508162943859,0.0490788985509276,0.27378684249335206,0.44352406597515065,0.0009555811227665176,0.0,0.0,0.0,0.0,0.0,0.0,0.15414732612646864,0.010191386548530414,0.0,0.03360006242171893,0.13281916377802913,0.0074967109924802535,0.0,0.5806867964701934,0.12498299871436915,0.0035949887381945844,0.0,0.06798180824847119,0.07717400615390585,0.0,0.016905855353943594,0.3221347432736094,0.08384917753407481,0.00719130989790235,0.0,0.08840625448129738,0.03166943424357403
89001223_pool3,0.0,0.0,0.0,0.07343415489263917,0.05170850211317425,0.0,0.0,0.048358576620228425,0.05863287913282393,0.0,0.06732147907600412,0.24211765694246548,0.08103793653733384,0.0,0.01847862531023745,0.059636608435357334,0.01828262048123436,0.03343826466549254,0.06082140851940283,0.0843285812269883,0.346697467930879,0.10250629415728375,0.0,0.0,0.00759045351632391,0.0,0.04811518175418553,0.03405288808377159,0.0,0.0,0.007708018718365465,0.15166024854241308,0.0733648813420069,0.0,0.0,0.0,0.0008984854336107915,0.6110674409701535,0.0,0.0,0.10778403882228926,0.04689664801243652,0.3446323569272836,0.131763245888808,0.43894419863780876,0.0,0.6182169446614048,0.05228458234710456,0.2704777468794137,0.47307220502896535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15046701316320915,0.010060247383383883,0.0,0.03682679075449361,0.1645811346604905,0.0,0.0,0.5648909240866326,0.11473785629806527,0.004780363403220907,0.0,0.06351291499330827,0.07849794549794742,0.0,0.019483526328378777,0.3257804403048404,0.07926861028019822,0.005458515332248749,0.0,0.09120313479427411,0.035369643055538004
89001223_pool4,0.0,0.0,0.0,0.07355997302180221,0.008024246452588599,0.0,0.0,0.040067619138241604,0.058183815592292056,0.0,0.08881077082832901,0.23312751658621608,0.07582861953911796,0.0,0.017570584754451828,0.06552037507532318,0.023075457139663438,0.02826490554571272,0.06532129940608901,0.07291542811496933,0.35084957983194626,0.09461725764830921,0.0,0.0,0.013675921812849637,0.0,0.047100314791370744,0.06710571176239528,0.0,0.0017116165776626569,0.008881197865933261,0.16411515043458458,0.0635191952402145,0.0,0.0,0.0,0.003090150599893457,0.5683619025545571,0.0,0.0,0.10787918935680707,0.044960464407163545,0.33559985295521094,0.12723714088465876,0.37810449850358085,0.0,0.595930500527992,0.04605676548410875,0.2841965052602503,0.45705515864086754,0.0008801405078112662,0.0,0.0,0.0,0.0,0.0,0.0,0.1467124824280181,0.009048602395110643,0.0,0.009048868585389858,0.10895815348707852,0.0,0.0,0.5769001884867951,0.12551991094093898,0.003944771426235138,0.0,0.0685641846008355,0.06548517936967768,0.0,0.02053317119327786,0.3198390913272116,0.07319160348121043,0.007010776522990669,0.0,0.06908469120928863,0.029093798697991266
89001223_pool5,0.0,0.0,0.0,0.07423579432548678,0.02780526664244501,0.0,0.0,0.04474555513234359,0.059840018074503856,0.0,0.07089291032672053,0.22285412747297226,0.08385044618016368,0.0,0.020794128727490792,0.061090056473535444,0.020202380490280246,0.023677367797634036,0.0660600410153865,0.07893937479327917,0.360092478412829,0.09543082688697908,0.0,0.0,0.009833398628158845,0.0,0.04037395377133975,0.058329963500065786,0.0,0.0,0.007004942029662303,0.16759248809172175,0.0717040093061389,0.0,0.0,0.0,0.002424396102700406,0.5483401734768307,0.0,0.0,0.11386587224566819,0.047461968328730626,0.343061449959839,0.12904199863015292,0.3820666166236131,0.0,0.6179379112509829,0.0474681848434439,0.2774229963227186,0.4354140137768567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15405933757543278,0.010266323214328433,0.0,0.02363929235097971,0.11285871755133482,0.0,0.0,0.5868553839611378,0.12716549030748484,0.00019432371557808565,0.0,0.06600967802703053,0.06408927750330097,0.0,0.018998209762386774,0.3217006730227715,0.08250105856492461,0.007150061137694842,0.0,0.08683625572659087,0.030218371964372475
