Cell,AHCTF1(+),ARNT2(+),ARNTL(+),ASCL1(+),ATF4(+),ATF6(+),BCLAF1(+),BHLHE40(+),BPTF(+),CEBPB(+),CEBPG(+),CHD2(+),CREB1(+),CUX1(+),CUX2(+),DBP(+),ELF2(+),ELK1(+),EP300(+),ETS2(+),ETV1(+),FOXG1(+),FOXJ3(+),FOXP1(+),HIF1A(+),IKZF2(+),JUND(+),KLF12(+),KLF9(+),MAFG(+),MAZ(+),MEF2C(+),MXD4(+),MXI1(+),NFE2L1(+),NFIA(+),NFIC(+),NFYC(+),NPAS2(+),NR1D2(+),NR2C1(+),NR2F1(+),NR3C1(+),PBX1(+),POLR3A(+),POU2F1(+),PURA(+),RARB(+),RXRA(+),RXRB(+),SATB1(+),SMAD3(+),SMAD4(+),SMARCC2(+),SP3(+),STAT6(+),TEF(+),TERF2(+),THRA(+),THRB(+),USF2(+),YY1(+),ZBTB11(+),ZBTB20(+),ZBTB44(+),ZBTB7A(+),ZEB1(+),ZNF580(+),ZNF770(+)
66754397_pool0,0.0,0.033852378958086814,0.01132248973596266,0.0,0.000631223233277653,0.06479178150300904,0.040572994484026334,0.0,0.0,0.0,0.009089894380901069,0.07672484511504037,0.007775714988001363,0.13990270951512368,0.0,0.0,0.17582926830707968,0.0,0.0691578376636606,0.0,0.0,0.0,0.16505151785065586,0.22644783751209932,0.0,0.3245863037859453,0.02480758481623164,0.0,0.23567818200800736,0.0,0.0,0.0,0.0,0.6886586215329005,0.00016175837878457659,0.2566323734202125,0.013393736968286964,0.0,0.0,0.030023834780047703,0.0,0.0,0.09625894316324825,0.2340329563549003,0.0,0.1122305937792268,0.025408801780601283,0.0,0.0,0.0,0.0,0.0,0.0,4.39118211188317e-05,0.10213665704244375,0.0,0.0019233178040853568,0.0,0.0,0.0013799641578900587,0.0,0.02319071763715932,0.004315325973854569,0.3156986773007701,0.11439436736877436,0.002919392122347528,0.0,0.0,0.0009455223598659138
66754397_pool1,0.0,0.040228541276903805,0.0,0.0,0.0015146372740550862,0.05810865891336908,0.04129093576866677,0.0,0.0,0.0,0.0,0.0709340075192798,0.009505707158118692,0.10516508479527044,0.0,0.0,0.17785707195271505,0.0,0.06278319950573139,0.0,0.0,0.0,0.1620349104747953,0.20609797274113514,0.0,0.3293239157152083,0.030546908193524163,0.0,0.2584017106300315,0.0,0.0,0.0,0.0,0.7169022052860529,0.0003634671526037206,0.25711545559815574,0.01455828951505163,0.0,0.0,0.03139766837852588,0.0,0.0,0.09756913780856595,0.21469295895009535,0.0,0.10606628537808993,0.03190852270793361,0.0,0.0,0.0,0.0,0.0,0.0,0.00020490288032386954,0.101389197438838,0.0,0.002990388606733839,0.0,0.0,0.0,0.0,0.023572814308411304,0.004302864104611478,0.31215784092513627,0.15473204233466087,0.0026103753349323274,0.0,0.0,0.0018929720468567068
66754397_pool2,0.0,0.028053612372408058,0.0024630091308749944,0.0,0.001593318862387294,0.07464015629096932,0.0411247403144245,0.0,0.0,0.0,0.0019773471542869204,0.07296479783334471,0.008609518881836174,0.11562411517455805,0.0,0.0,0.16363094095237826,0.0,0.05910371717989196,0.0,0.0,0.0,0.1656979337169117,0.20906927529721117,0.0,0.31217180416031604,0.031052525031354264,0.0,0.23786245327045702,0.0,0.0,0.0,0.0,0.7586675005390053,0.000265978542296787,0.26044088965758055,0.014529432937738332,0.0,0.0,0.033669107307562146,0.0,0.0,0.10073729750615992,0.24461452066360587,0.0,0.11009271803824441,0.028342167444810742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10058842439748761,0.0,0.0006234582323648998,0.0,0.0,0.000300187008372188,0.0,0.024105651275022084,0.0038851737149513624,0.31476296621806404,0.15371509634207886,0.0030410036027910844,0.0,0.0,0.001083052772198192
66754397_pool3,0.0,0.0369560560551686,0.0,0.0,0.0010252231589525037,0.06130905283717982,0.04166662836742281,0.0,0.0,0.0,0.0,0.07132739563243395,0.010314372069283838,0.07060209839097334,0.0,0.0,0.16966167324310802,0.0,0.05893321328375915,0.0,0.0,0.0,0.16677529349400472,0.2244542575607348,0.0,0.3020762035375561,0.024824360212239178,0.0,0.24319863906615033,0.0,0.0,0.0,0.0,0.7186689914758388,0.0,0.2626680333201586,0.015377585890162991,0.0,0.0,0.027813601451944545,0.0,0.0,0.09376326056531352,0.23645779785085663,0.0,0.10762250243818543,0.025368031355791555,0.0,0.0,0.0,0.0,0.0,0.0,0.00140196707590016,0.11064106215079406,0.0,0.003375494399817732,0.0007395214544829553,0.0,0.0,0.0,0.02841714674176437,0.006051185339595621,0.3104855862857918,0.17043845819455553,0.001625402206669129,0.0,0.0,0.0010931159731005539
66754397_pool4,0.0,0.035441423198788395,0.0,0.0,0.0023138401493380837,0.06564348039611136,0.04127080503046232,0.0,0.0,0.0,0.0,0.07035599382184107,0.004726844591469571,0.1327257432756649,0.0,0.0,0.17686248037541,0.0,0.06800395373215631,0.0,0.0,0.0,0.1644051019844,0.2210301619429409,0.0,0.31926604601982034,0.03007497062592602,0.0,0.2168200961158737,0.0,0.0,0.0,0.0,0.6976106229856736,0.00025403664856101286,0.2610700825165087,0.01516462116367009,0.0,0.0,0.03172740189667138,0.0,0.0,0.0943983360406437,0.23522640301975345,0.0,0.11249779128927566,0.029945445851977504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1027168884779713,0.0,0.0010820114579706628,0.0006966506455274217,0.0,0.0,0.0002808439739973854,0.02884454928017433,0.006592413479610499,0.3138162534748333,0.16415045129185132,0.0026238408862890544,0.0,0.0,0.0011769759806202359
66754397_pool5,0.0,0.033885052733796064,0.0,0.0,0.0017093154393578143,0.07609915175127752,0.04030857997702302,0.0,0.0,0.0,0.0,0.07346294464864878,0.005142136324543618,0.10996685304751133,0.0,0.0,0.17592567028303657,0.0,0.06074347405678788,0.0,0.0,0.0,0.16699076544942335,0.21890865919866076,0.0,0.34158602032819824,0.02193344247341229,0.0,0.22270772484453252,0.0,0.0,0.0,0.0,0.7156941270035166,2.496941417480041e-05,0.2683561592393538,0.01121523798009563,0.0,0.0,0.029036303343877023,0.0,0.0,0.09916970492336404,0.22411114498545204,0.0,0.10984621193647373,0.02441611227157799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10663097114466202,0.0,0.0033434760287067208,0.0,0.0,0.0,0.0005148806189952067,0.024999490462551153,0.00979023780770019,0.3194372117663426,0.16810114814681368,0.0012299047853114823,0.0,0.0,0.0018076032371682432
66754397_pool6,0.0,0.03313202355016119,0.0,0.0,0.0049743290493581725,0.07985778321972484,0.041583565078817546,0.0,0.0,0.0,0.0,0.06193279512638,0.008645502597112008,0.11342130352943716,0.0,0.0,0.16843777795754863,0.0,0.05387471077487621,0.0,0.0,0.0,0.1641896300289814,0.2256926313912229,0.0,0.31667646337348815,0.037603432261327625,0.0,0.2455350386197121,0.0,0.0,9.375693406316362e-05,0.0,0.7353735790290757,0.0,0.2692745533665627,0.01270295336507954,0.0,0.0,0.028856948606260098,0.0,0.0,0.09347918704296851,0.233396656408891,0.0,0.10247524887164738,0.030340280035928785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10040566248568704,0.0,0.003407546476115444,0.0,0.0,0.0,0.0,0.027595787799372287,0.0037636224308189264,0.31486532468024686,0.14850240550522173,0.0025557780580501874,0.0,0.0,0.0018612736419808397
66754397_pool7,0.0,0.036981503498438865,0.0,0.0,0.0008006872976129702,0.0790967422319903,0.042053352350006463,0.0,0.0,0.0,0.0,0.06521612457559228,0.010488246047190524,0.0919381071202807,0.0,0.0,0.17312611220273835,0.0,0.06309614560046632,0.0,0.0,0.0,0.16699076544942335,0.24356230232918963,0.0,0.32541536683063993,0.02681776074167778,0.0,0.22916141846624288,0.0,0.0,0.0,0.0,0.6903224388109223,0.0,0.27028292387645575,0.014042316472187734,0.0,0.0,0.03081587637110701,0.0,0.0,0.09768491829859621,0.22701548660888476,0.0,0.11334894391703658,0.020984274516319994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09987020038761792,0.0,0.002878682714754426,0.0,0.0,0.0,0.0,0.029669946155434238,0.0006324744261342226,0.321579899183546,0.157265938832508,0.001415657915054591,0.0,0.0,0.0009432301844480571
66754397_pool8,0.0,0.026742355428741323,0.0,0.0,0.0006019491123140518,0.05249997596317216,0.03810583502520001,0.0,0.0,0.0,0.0,0.07919214821826709,0.008810372540782789,0.12659704263803098,0.0,0.0,0.16798866035727714,0.0,0.06417689015979651,0.0,0.0,0.0,0.1644051019844,0.21931848622953776,0.0,0.2577517123126306,0.030116319560214565,0.0,0.23700130956793256,0.0,0.0,0.0,0.0,0.714304919664995,0.0001465596049390459,0.261849855669061,0.013537072861261075,0.0,0.0,0.030166757587823622,0.0,0.0,0.09869676079464404,0.22603152031565873,0.0,0.10258193165056062,0.026124877019893685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09660225392858027,0.0,0.004270709984036347,0.0,0.0,0.0,0.0,0.027420710504440487,0.00795393129375661,0.3160002245480622,0.15481237204435866,0.0010771180773473305,0.0,0.0,0.0018512104410784778
66754397_pool9,0.0,0.029808650887775807,0.0,0.0,0.0011986049766847006,0.06179920848772865,0.04138611742378661,0.0,0.0,0.0,0.0,0.0719879553104432,0.008381068206682411,0.10783921141594105,0.0,0.0,0.17584659591384558,0.0,0.0703548943910262,0.0,0.0,0.0,0.16677529349400472,0.22239583452866088,0.0,0.32253842468267535,0.02938526529111709,0.0,0.3017939887341977,0.0,0.0,0.0,0.0,0.7073282097816757,4.125381472358329e-05,0.2631275215146235,0.013497521426415174,0.005499325202271319,0.0,0.02557412662055404,0.0,0.0,0.09897352032895596,0.24866049532273315,0.0,0.10096654117899209,0.02718024979589288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0993250749432057,0.0,0.003598906183776559,0.0,0.0,0.0,0.0,0.025302064671007988,0.0031634068183537035,0.30840994761688345,0.13989806286718742,0.0019170481607173227,0.0,0.0,0.001551522726599482
