,regulon
0,"[ZNF330,TP53RK,HNRNPH3,NUP50,AP1G1,IVNS1ABP,CDKN3,TMEM39B,KLHL42,PRDM2,TDRD6,SLC4A7,TIMM23,PABPC1,INAFM1,ARHGEF12,TRAPPC10,ENOX1,FNDC3B,UBE2R2,LINC00689,LIG1,XPC,ZNF816]"
1,"[YRDC,CCDC86,PDLIM4,CENPH,FRMD8,PIRT,KLHL25,ARID3A,EGR1,PADI2,LIN37,SAMD11,NOTCH3,PFKP,C14orf178,WDR86]"
2,"[BCL6,TLCD2,MGAT5,C4orf19,PLSCR1,LDLR,NATD1,PFKFB3,IL1R1,FNDC4,HUNK,LMO1,ALDH18A1,ATP12A]"
3,"[USP33,GPD2,LCLAT1,PKN2,APC,ZDHHC2,ARID2,SMARCAD1,CTNNB1,DMXL2,DICER1,RICTOR,EPC2,ZFYVE9,CEPT1,ZCCHC7,GNAQ,ATF2]"
4,"[EBNA1BP2,SSR2,SUMO1,NUTF2,MIS18A,PTMA,SFN,MATR3,EID2,TRAPPC5,INAFM1,RSL24D1,SNRNP27,VBP1,STRAP,TRMT10C,MANBAL,SNRPA,EIF3L,EIF4E3,PRSS27,PSIP1,RHBDF2,SYN3,TSSC4,EPN1,C1QBP,CD2BP2,TIMM10,SLC25A3,MRFAP1L1,YARS,TAF5,CSNK1G2]"
5,"[DNAL4,OR2H2,HCCS,TOMM7,RANBP1,TRMT10C,RPL12,RPS11,RPLP2,CXCL16,MRPL57,HLF,TPT1,CTU2,TCEAL8,UQCRB,UBE2S]"
6,"[NUP98,YTHDC2,CAB39,ALG13,RAB21,C16orf72,UHRF1BP1L,ZBTB11,TJP1,TMEM128,TOP2B,RAB5A,PDCD2,TACC1,PALD1,HOOK3,CCDC138,SRP68,SAR1A,CTNNAL1,MED17,GAB2,TMEM144,UBXN4,PDRG1,RALGAPA1,ENDOD1,CTC1,RAPGEF1,DIP2C,WDR36,PPARD,TWISTNB,SERAC1,DDX21,PDGFRL,PPP3CA,MAPK1IP1L,ANXA5,ARL8B,SAMD8,NOL11,TAOK1,XRCC6,ADAM9,CUL3,RNF145,FOXO1,USP9X,CTNNA1,SLC35F5,HNRNPM,LARS2,DCAF5,EDEM1,MARCH2,SRI,ZC3H7A,ID4,FEM1C,SEC23IP,PDE12,LIMCH1,HIVEP2,NBEAL1,TAX1BP1,SNRNP200,TNPO2,FAM162A,SPAG9,GNB4,DCUN1D3,SEMA6A,NAP1L1,USP6NL,USP14,MON2,PLEKHH2,PAG1,ARIH1,ZNF592,EIF3D,WAC,CSTF1,DLEU2,AGTPBP1,CCDC88C,YTHDF3,SLC12A2,RNF10,LGALS9,SMC5,CPSF4L,ZNF200,SPRY2,DNAJA4,DENND5A,KPNB1,PRKCA,ATF6,CNOT7,LAMA2,FGFR2,CHSY1,CAPZA2,TIPRL,SACM1L,DDX3Y,STK25,AZIN2,SNRPB,GOLPH3,ZNF711,SMCHD1,PINX1,TRIM44,AZI2,SETBP1,PLEKHF2,FNDC3B,MAPK8IP3,IFNGR1,GNG12,ANKRD40,PHC3,EGR1,CFAP46,CACHD1,ARID4B,DLD,HSPA4,PCNX1,BLCAP,FAM221A,LRBA,MKRN2,YLPM1,TCF12,SFPQ,ZDHHC5,IMMT,MAP3K13,CCDC88A,UGP2,GFM1,ZFY,SNW1,RANBP2,NTM,ZBTB21,LRRFIP1,SF3B3,ERGIC2,LSG1,FYN,SEC16A,PIGA,SGIP1,MPC1,SLAIN1,GLIS3,COQ10B,VEZT,TOPORS,PLXDC2,PEX5,MSI2,OGDHL,MECP2,IRF2BP2,TMEM135,DHX40,NRBP1,PGAP1,SETX,LYSMD3,DESI1,MTF2,SS18,BTBD2,RANBP17,C9orf72,REXO2,TMED3,CTNNB1,CDC73,RNFT1,PRNP,RABGEF1,FDX1,CHMP4B,BRPF3,SYTL3,ZEB1,DLGAP1-AS2,COG3,CCDC144A,SLC45A1,ARHGAP21,HS3ST3A1,NSUN6,FAM49B,NOL4,NUP54,CYFIP1,OTUD5,IREB2,KPNA1,ATG2B,KAT7,RCAN1,UBAP1,OTUD6B,DDX19A,SETD5,COPS5,MYBBP1A,GBE1,FAM133B,NUBPL,GRM1,KANSL3,NFYA,LTBP1,CINP,RAB11FIP2,CENPE,VPS13B,RNF138,SLC44A1,ROCK2,KLHDC1,SEC23B,CDS1,CMPK1,CCNG1,ARPC3,PPP4R2,SLC35A4,FBXO34,NTRK2,SPOP,ETF1,WDR37,STXBP3,PDE8A,ARMCX6,GMNC,ZNF395,IGSF23,SMS,RAP1B,GRM3,FGF2,LRRC8C,TIMM8A,STARD3NL,CAND1,MAGT1,KPNA4,RNMT,FBXL7,PHF20,AP2B1,TMF1,SRBD1,DNAJC27,CDC37L1,TNKS2,PRPF40A,RAPGEF6,EXO5,EIF3A,AMN1,ZHX2,PCM1,SMARCA1,PLOD2,PNPLA8,GNA12,CALM2,CSNK1A1,ATP7A,LINC00612,DERL2,IPO11,PDZD8,COPB1,RNF149,CCDC9,RBM34,FAT1,HIP1R,RADIL,PPP6C,NDUFB2,FXR2,FBN1,SPECC1,MCL1,FBXO38,PPARGC1A,SH3PXD2B,ZNF460,RAB3GAP2,PCBP2,AHCTF1,MLF1,ALDH6A1,MAP3K7,SYNCRIP,TOB1,ZNF644,UBA3,SCD5,AFTPH,ARMCX3,FSIP1,LINC01433,TRA2A,ACER3,DHX36,OPA1,UBE2G1,SIK2,ZNF438,UBE2H,SLC35D1,NCK2,WDR43,CNTROB,HNRNPU,TMX2,GYG1,ZNF516,HNRNPLL,TRA2B,SNX13,IBA57,CRISPLD2,XRCC2,RASGRF2,CFAP99,PLAA,GSPT1,PRPF38A,CDR2,SMU1,REL,YTHDC1,UTP18,AKIRIN1,PCGF5,ALDH1B1,NRCAM,RIOK3,TBL1XR1,MFSD8,SLX4IP,CREM,PPP1R12A,ACER2,KPNA6,TOR1AIP2,GNPDA1,BRAF,TMEM229A,FAM155A,SRGAP3,FBXO11,ARF4,GPBP1,AJUBA,SMAP1,NAT10,FAM76B,CACNB2,SCAF8,GZF1,TP53BP2,LAMC1,FAM210A,ARHGEF7,UNG,PDE7B,FBXO21,RNGTT,RNASEH2B,AHI1,ZNF638,TPP2,SMARCAD1,HIST1H2BE,SH3GLB1,LARP4B,SPTY2D1,TSNAX,ATP6V1H,ARMC2,FBXO4,EIF3H,UBE2D3,CALU,NFIL3,CPEB4,NGLY1,EXOC5,BANP,SENP2,SNX19,RGL1,BACH2,NXT2,ARL4C,MAPK8,PPP2CB,SNHG8,TBCA,CASP9,CLINT1,OXSR1,RWDD1,RPS29,SUSD6,ESRRG,RNF216,TRAPPC10,PSMD6,DAZAP2,CSRNP2,ATP9B,IL17D,PLEKHA3,PPP3CB]"
7,"[BCL2,IGF1R,UBE2E1,ZNF285,PHF14,BTBD8,DPY19L1,SHMT1,FIGN,AUH,PCDHGA11,MKLN1,ZNF774,ATF7]"
8,"[ANO3,KCNQ5,ATP1A1,MYO1D,KCNV1,VSTM2L,PCSK2,PLEKHA1,MFSD6,GABRA4,MELTF,LRRK1,ADGRA1,SATB1,NDN,LYNX1,MCF2L,GABRG2,CENPV,CLSTN3,PPIA,SLC29A1,VIPR1,FGF12,BCAT1,CBLN2,YWHAH,YPEL4,H1FX,MAFK,BCL11A,SORBS2,SLC44A5,IFITM10,ATCAY,OPCML,CACNB3,NRIP3,NPTX1,KCNJ3,NEFM,PRRT1,SLC8A1,JPH3,KIAA0513,SULT4A1,OPRM1,DOHH,ST3GAL6,MAL2,FOXP2,NANOS3,PLK2,SLIT2,MAPK3,DMTN,GABRB3,BRSK1,TMOD1,TMEFF2,GABARAPL1,TRPM2,NCALD,PSD,SV2B,CDK6,CDK16,CACNG8,SBDS,DYSF,CACNA1D,GAP43,RASGEF1A,CARTPT,MAP1B,KIAA1211L,CSMD2,FAXC,STX1B,RSPO2,RTN4RL1,TRO,CCSER1,PACSIN1,PXDN,GJB2,CALM1,CCNE1,PRICKLE4,C3orf14,ARL4A,GALNTL6,DNAH14]"
9,"[NEAT1,GBP2,RASGEF1B,CDKN1A,ARHGEF3,C1R,MAN1C1,CIITA,MATN2,CDH23,ACTN1,P2RY6,PLEKHA5,SLC39A14,ARHGAP39,CADPS,SPRED3,HSPA1L,MAP3K6,SBNO2,C1RL,CNTNAP3,TLCD2,PTCHD1,TENM4,GYG2,GHR,BACE2,CD58,SNAI1,BAALC-AS1,AHNAK2,SYNM,ARPC1B,CSF3R,OVCH1-AS1,GCKR,FAM20C,TMBIM1,ITGA3,PIM1,PTP4A3,DNAJA4,COL27A1,UBC,HSPA1B,LIMK2,A4GALT,IQGAP2,HDAC7,DYRK3,IRF7,ANXA1,ANXA2,BCR,BGN,ZNF492,PKNOX2,DHRS13,CD59,ALPK1,LITAF,PTH1R,SYNE2,C3,CHI3L2,IL1R1,DBI]"
