,regulon
0,"[TUBB2B,RARRES2,ARX,SOX2,SLC22A3,FAM107B,PRR18,POU3F4,NDRG2,PLP1,DLX6-AS1,PHF21B,CSRP1,YES1]"
1,"[C16orf91,BUD31,ZNF304,RELT,EFNA3,CXorf40A,ALYREF,IDI1,EMD,ATG101,LSM10,TNFSF9,CASKIN2,S1PR2,SSNA1,KCNF1,UBE2L6,HMGA1,TPBGL,FOXJ2,TSEN34,CCDC184,AARD,LAMB3,ACR,GUK1,TRIM47,WDR1,CYCS,DDIT3,NOC4L,PACERR,STX4,RASL10A,CIB1,SDHAF1,ANKRD9,PRAF2,DHCR7,IER3,ATF4,ARL4D,MAFK,APH1A,TAF10,CHGB,MAP1LC3A,MFSD5,RHO,GNMT,ZNF511,BHLHE40,TLE3,SUV39H1,USP2,NPM3,SERTAD3,TCHH,FRMPD2,TMEM251,NAT8L,CREB3,MIEN1]"
2,"[AMPD3,RCL1,ZFAT,SYCE1,MTO1,IKZF4,FBXW4,RFX1,C14orf93,ATP8B2,ATF7]"
3,"[FAM160B1,MAGOHB,RAB18,CNST,PHYHIPL,GTF2A1,MARCH6,SMARCA5,ACSL3,SLC39A10,VSTM2A,ONECUT2,MGAT4A,NCKAP1,PLK2,BCLAF1,CNBP,ADNP2,CRLS1,EPB41L2,CASP3,ZDHHC2,DHX15,CUL1,FAM169A,SMARCE1,ZNF322,SUZ12,WDR47,TPP2,ZNF395,COPS2,ZMYND11,TXNDC16,SMAD4,CDS1,SETD7,LMBRD2,CHD1,FAM199X,GNPNAT1,ELK4,ATXN1L,NRIP1,ARL4A,WAPL,NCOR1,HNRNPH3,UBE2W,PPM1K,SLK,HIPK1,CHAMP1,RAB14,HNRNPR,KLHL2,YY1,UGCG,TM9SF3,TAF5L,VAPA,FH,AMD1,TSC22D2,DHX9,GLS,ADAR,BTG3,PRRC1,GMPS,GTF2I,NUP50,TOP2B,CDC42EP3,HDAC2,AMPH,TANC1,LIN54,PHIP,WASL,STK24,TSPAN3,PPP3R1,ADNP,CNOT2,DDX6,NAMPT,NAP1L1,ANXA2,ZNF639,AHCTF1,ZDBF2,ADO,TMEM87B,SMNDC1,C5orf30,HNRNPF,TSC22D1,ADIPOR1,CPSF6,GOLIM4,EIF4H,CTNNB1,ZCCHC2,LONRF1,CDKN2AIP,DICER1,CKAP5,CDC42,FBXO30,RBM12,SEC24B,DNAJC21,SCRN1,PIK3R1,MIR31HG,NFIL3,SENP5,SETD3,HELZ,LPGAT1,PPP3CB,OTUD4,PTPN4,SPAG9,EPB41,USP12,SHOC2,CASC2,CAP1,EPHA6,FAM133B,KLHL42,LMO7,PCGF5,RBBP6,FBXO32,CDK17,IST1,FMR1,SEC23A,KIF1B,TRAM1,RGS2,PTPN13,TCERG1,UBE2N,RAB11FIP2,KLHL9,EPHA4]"
4,"[ANKRD6,FBXO27,BOC,ZNF195,IFT74,AKAP9,MBTD1,RAB27A,JPH4,LRRCC1,RARG,LINC01237,CEP112,ZNF160,LINC00884,BPTF]"
5,"[CCNF,SLC43A2,CEP131,C20orf203,MIB2,LEMD2,BRF1]"
6,"[TRIP13,MSMO1,HMGCS1,CYP51A1,INSIG1,CCNA1,KLHL12,ADORA2A,HMGB2,TKTL2,LINC00992]"
7,"[AHCTF1,RYK,XRN2,CRIM1,ZDBF2,ITGAV,SATB2,N4BP1,SPIN4,ZFR,FBXO11,PDK1,AFF1,C5orf66,CRYBG3,SMC5,IKZF3,ZC3H18,HECA,CXADR,TNRC18,TWF1,KLHL8,HIPK3,SLC35F5,FOXO3,ARHGAP6,CAST,ANO1,NFKB1,NR5A1,DICER1,ELOVL7,ASXL1,PM20D2,TMEM237,SP3,INTS6,CFAP161,PIM1,ANKH,CCDC6,STYX,KIF5B,NECTIN3,EFCAB2,RNF139,SRSF6,CSNK1A1,EP300,CHIC2,GPR158,RBM17,G2E3,NCOA5,SH3GLB1,HNRNPU,OSBPL8,GAS6,PPP1R3C,NCOA2,CPD,PLEKHA3,GNAI1,MDM2,FBXL5,ZNF281,SEC24B,GADD45G,TM9SF3,ATM,C5orf30,HERC3,DIAPH1,MTMR2,PIK3CA,SCAF11,APP,REPS1,PSMD1,BRAF]"
8,"[POLR1D,FKBP3,SNX13,AP1AR,FAM102B,FXR1,TRIQK,USP24,MEST,CLASP2,FAM8A1,GNA13,HNRNPH3,PHF14,ARHGEF6,RP2,ACBD5,ARHGEF4,ZNF451,TSHZ1,KIF5B,ATM,LTV1,MIER1,CBWD1,CTBS,TTC39B,PIK3CA,HSPA4L,LGALS8,AFF1,WDR19,MIOS,DPYSL3,DDX6,ERI1,PAQR3,ZNF701,EMC2,HLTF,LRRC58,FECH,RAB3IP,PHKA1,USP46,LCORL,PAIP1,MAPK1IP1L,SLC12A6,DENND4C,FNBP1L,PTN,CHM,PCLO,FIP1L1,ZNF207,RHOBTB3,MGAT1,ANKRD40,SNAP91,CLOCK,DICER1,LBR,CACUL1,SMIM14,CKAP2,DDX25,MED13L,FAXC,COL25A1,MAPK3,PDS5A,FAM20B,ZDHHC2,SPG21,CDIP1,PHACTR2,G2E3,SNX27,MAP3K4,FAM169A,GPR137B,PIK3CD,RNF146,ZEB1,SIRT1,PDS5B,ABCG4,HERC4,CRBN,RBM38,NEK7,GRIA2,CEBPG,SYPL1,LIFR,FOXO3,APC,SEC31A,GLRB]"
9,"[LY6E,EMD,DLL3,NLE1,GUK1,SCN1B,PPIF,MCRIP1,NMB,CREB3,PMVK,ENO1-AS1,SULT2B1,EPN1,TMEM198,PRR7,CA11,SEPHS2,SLC35B2,ALDOC,GTF3C6,COMMD8,TCEAL6,STX4,ZNF593,SCO2,PINK1,NEUROD6,FBL,COMTD1,ZNRD1]"
