,regulon
0,"[RBM4,SYCP2L,GAPVD1,ULK4,ZNF233,MED4,NUP155,PLAA]"
1,"[ZEB1,CLDN12,MAPK8,NFKB1,KLF7,CCSER1,PPP3CA,CCNY,AGO3]"
2,"[STAT2,TSC1,KMT2A,TMCO3,STAMBP,RAB40C,PTDSS2,USP10,FGD6,ZNF280C,UBN2,FBXL4,MON2,SLC26A4,IQCH-AS1,NEO1,ARHGAP17,SEC63,FUCA2,EDA,CDYL,SESN1,CYTH1,MEGF9,PACRGL,CDYL2,IDE,POGZ,WBP1L,TBC1D20,PARP6,PTTG1IP,MCTP2,MOSPD1,MTAP,HSPB11,ANKDD1A,FAM66E,MFSD2B]"
3,"[SHOC2,STT3B,TBPL1,FBXO33,IL6ST,PAPOLA,WASL,RAB3IP,CPD,ZDHHC2,PLEKHF2,PURB,ATP2C1,CMBL,RAB11FIP2,ZNF518B,ZMAT3,VPS37A,SRSF1,ABHD13,PRKACB,TAPT1,TSC22D1,CEBPG,NEK7,OSBPL8,UGCG,TAB3,PSIP1,SEMA5A,ZNF706,PYGO1,CREB1]"
4,"[SLC6A8,HES5,THEM6,CTSZ,SLC12A5,STX4,EPN1,SIGMAR1,MAP1LC3A,GABARAPL1,PELI3,EFNB3,C16orf91,TP53I11,H3F3B,LRRC14,SLC24A5,NECAP1,GABBR1,OTUB1,CHRM1,AAMP,HRAS,KLF9,WSB2,SYT13,PPP1R3G,ST7-AS1,TP53INP2,VPS4A,PAMR1,MOAP1,SRP68,NFE2L3,RXRB,TMEM191B,DSTN,PRKAR1A,CD2BP2,DDR1,ATP6AP2,SERINC3,STK25,DLX2,MARCH9,FLNA,STMN3,TRIM41,ARHGEF17,SBF1,ITM2C,ISLR2,NACAD,STRAP,ISCU,SULT4A1,ALDH1B1,EMD,CDIPT,COPS7A,CERS1,NAT8L,NLRP3,APBB1,WDR1,LCTL,GPR137,PNMA3,IRAK1,CIC,ATP13A1,ATP6V0E2,JUND,RAB11A,PPP1R37,STMN4,SYT5,MIEF1,GUK1,ARPC5,HAR1A,PTGES2,SLC25A1,PACSIN3,ADAP1,KLF16,UBE2I,ATP6AP1,CNIH2,LINC01123,PEX11G,CDK4,PTGS2,GUCD1,CCDC184,C2CD4C,SET,AXL,SH3BP1,CENPB,FAM171A2,ATF4,CDKN2D,FAM89B,HNRNPUL2,MORF4L2,CTRL,FAM43A,HNRNPK,BAP1,SPINT2,PIANP,FEZ1,SARAF,LCN15,SGTA,APH1A,PHLDA2,NPTN,MARCH2,MFN2,PTPRN,PSME3,CASC16,UBXN6,NONO,GPANK1,ELP5,C11orf95,ARPC5L,PRPF8,RAN,ABHD11,SNU13,CADM4,KCNIP3,TRAPPC2L,RELT,ZBTB22,ENO1,FAAP20,ATP1A3,CD59,EGLN2,MEF2D,THAP3,CCDC96,FAM3A,BCAR1,IER5L,SRP14,CEBPB,RHBDL1,MARCKSL1,NUDT16L1,AP2A1,DVL1,PLEKHJ1,CIRBP,BAIAP3,POP4,NDUFA11,SYP,TWISTNB,PLEKHB2,ATP6V0D1,RNH1,ATXN1L,RPL23,KLHDC3,ZNF319,TXN2,HID1,NDRG4,TMEM198,FAM122B,SIVA1,PIM3,SHMT2,MAP7D1,LAPTM5,TARBP2,SERPINE2,SSU72,SIRPA,DOLK,HPCAL4,FNDC4,NUDT18,SNN,DNAJA3,SRPRA,ZBTB18,TMEM63B,BTF3,AURKC,HAX1,GNB2,CCDC115,GPRIN1,SEPHS2,DPYSL4,DXO,HMCES,SNHG15,DLG4,TMEM151A,FSCN1,CDV3,TMEM126A,PRR7,SNAP25,F3,UQCRFS1,OSGIN1,MASP1,LTC4S]"
5,"[DIP2C,CYTH1,ABL1,SLC20A2,ATP11A,GRID1,LINC00354,ARHGAP26,AGO3,CDYL,SMARCC1,CTNND2,MGMT,EIF4G3,SLCO5A1,KAT6A,OPCML,FMNL2,C20orf194,GRK3,SETD2,PRRC2C,DLGAP1,BAZ1B,SCML2,ITGA9-AS1,ZNF280C,SCMH1,PLCE1,PACRG,GNA12,ZNRF3,GMEB1,FOXO1,RNF38,TENM4,EPB41L2,DCP1A,LRRC28,KIAA0753,KIAA0355,SLC37A3,LRCH1,NCK2,QSER1,SIAH3,SEC16B,SCAF8,ZNF439,TPP2,EIF5B,EIF4E3,SPIRE1,CTNNA2,ARHGAP22,MARCH1,DEGS2,IL18R1,NRK]"
6,"[DRG2,ZSCAN9,OTOF,DMD,MME,XPA]"
7,"[MTMR10,OTUD4,MACROD2,SLK,NCOA7,PHF20L1,KLHL42,WDR47,KLF3-AS1,PKIG,TTTY14,SOCS5,HEY2,BZW1,SMC6,HECTD1,RAF1,PIK3R1,VAPA,RAB18,ZNF84,KDM5B,SMCHD1,FMN2,ROBO2,STK17B,BCLAF1,NCKAP1,KLHL15,LYST,C2orf49,DHX9,KIAA0232,COPS2,MARCH6,ACTR2,WRNIP1,SMARCE1,MFN1,HIPK3,HERPUD2,DNM1L,CEP170,HDAC2,SYT10,HERC4,SNRK,NETO1,FNIP1,GPR155,RCAN2,AP3S1,LCORL,SCRN1,CNST,UAP1,ASB7,CLASP2,LYRM1,ENAH,FAM20B,UBN2,WASF3,DENND1B,HYLS1,LRP12,SPIRE1,CUL2,FAM102B,ARID4A,CREBRF,ATXN1L,HMGN3,CASP3,RBBP7,MYO9A,UBQLN1,HERC1,ADGRB3,KIF2A,CLOCK,VAPB,SEC23A,ARF6,SERGEF,IL6ST,THRB,SPEN,USP25,FAM214A,EIF3A,NAMPT,LPGAT1,RAPH1,TAOK1,GNAO1,PIP5K1B,FAM49B,KBTBD2,FBXL17,PDLIM5,BTBD10,CDC42,CTNNB1,ZCCHC2,FAM3C,ANKH,DYNC1H1,OSBPL8,C16orf87,HTATSF1,UBE2W,UHRF2,AGFG1,SNX27,PDS5B,STT3B,ELAVL2,MLLT10,OR2L13,CGNL1,ORC4,WASL,TRAM1,TAX1BP1,CNOT2,POPDC3,RAB2A,AHCTF1,AGTPBP1,EPHA4,CNKSR2,SLC4A7,PUM1,ZDHHC2,CDKL5,CDK17,TPP2,CNOT6L,RHOBTB3,SESTD1,ADAM9,QKI,USP34,AZI2,ZFYVE16,RIMKLB,KIF21A,ABI2,CNTN4,LAMC1,TTLL7,SCAF4,RB1CC1,MAN1A2,CCSER1,PRKACB,ABI1,HS6ST3,C21orf91,HIPK1,PPP4R1,CUL1,ROCK2,STXBP5,THNSL1,C2orf27A,ARHGAP12,NCOA2,RAB28,TMEM65,UNC80,PPA2,SEC24B,NRIP3,DOCK7,NADK2,JAG1,CEP112,NR3C1,RYR2,FAM204A,MPP6,STEAP2,RGS17,ZMYND11,PLOD2,C1orf21,EVI5,KMT2C,SMNDC1,RAB7A,PEG10,AKT3,TMEM87B,RTKN2,DDHD1,ARHGAP20,SCMH1,ZMYM2,MYEF2,ADNP2,SUPT3H,CDS1,FBXO11,NIPBL,SENP6,KRAS,NAP1L1,ZFP91,MKRN1,ZNF451,SNAP91,KDM7A,RABGAP1L,TLK1,CFAP69,SSBP2,LIN54,SMAP1,DMXL2,PHIP,KCNIP4,EPB41L5,ADAM10,TRIP12,CYLD,TSC22D1,SH3GLB1,SCYL2,CDK8,ANKRD12,MAP2,ADD3,DENND4A,PHLPP2,KPNA4,ANKRD44,ST7,GRM5,ASAH2B,MAPK8,FCHO2,ZFR,SEMA6D,SSX2IP,USP9X,SMARCA2,MARCH3,FER,APC,FRYL,RB1,ZNF280C,RICTOR,GOLGA4,LPIN2,IVNS1ABP,TAPT1,NBEA,SH3GL2,SGCZ,EXOC6B,CPSF6,DCP2,DPY19L1,FAM169A,MIER3,HSF2,GRIA2,KTN1,OXCT1,PKP4,VPS13A,TBCA,DICER1,PARP8,USP15]"
8,"[STK25,TMEM9B,ACLY,METTL1,HPCAL1,HAR1A,PYCR2,ALG2,LRRC56,ARL4D,ILF3,APEX1,AARSD1]"
9,"[EIF2B3,KANTR,CDR2,TNS3,MCF2L,ZFP90,ZNF624,C19orf12,SLC16A10,ZBTB7A,MTMR8,RSAD2,FLNB,RFPL1S,NFRKB,TCTN2,AGAP1,IFT140,DDX46,GFPT2,HSDL2,CLASRP,IGFBP3,MDFIC,PRPF40B,SLC35E3,ZNF362,PODXL,SUFU,EZH1,XXYLT1,RAB37,PDE4A,TPRA1,EEF2K,ZNF331,MTA3,PARD6G,TMEM45A,SAMM50,EXTL3,ZNF236,VPS33A,ABCA7,ERV3-1,ZNF131,KCNMB3,CGREF1,VAC14,PAK1IP1,ONECUT2,ENTPD3,BPTF,SRBD1,TRIM25,SACS,MYLK-AS1,LINGO1,NBPF1,IRS1,SDCCAG8,SLC16A7,RNF130,DNAJC21,YPEL1,FAM162B,JADE2,C1orf198,GPC3,PTPRR,WDR66,NKAP,PARP16,TXNDC12,MAPRE1,CLNS1A,PRR5,TMEM260,IDH1,WDFY1,BCL2L1,BORCS5,ZNF324,BID,ZC3H7B,MARCH8,RAD9A,DDX19B,ZNF41,ZNF548,VPS37C,OSBPL1A,CLCC1,CPNE9,SEMA5B,TBX1,MB21D2,SASH1,FAM126A,SLC19A1,ZNF182,SYS1,BTBD2,DYNC2LI1,GRPEL2-AS1,FBRSL1,SMTN]"
