,regulon
0,"[SEMA4C,RNF11,TSNAX,AGPAT5,NLRP3,NBEAL1,IFRD1,LINC01426,CNOT6L,PMS1,C10orf88,TM9SF4,ZNF28,MTMR1,REV1,FGGY,RCAN1,MYRIP,ZNF593,PRDM4,BLVRB,SKAP2,ABHD5,ARID3A,ELOVL6,CHEK1,NDRG2,TBR1,TLN2,MPPE1,FRMD3,TGFB2,ZNF746,DCAF5,WDR45,STAT6,GPAM,NLGN4Y,DENND4B]"
1,"[BORCS7,HDAC4,RALGPS2,SGPL1,ZNF75A,RNF4,CEP57L1,VPS13C,SCLT1,ARHGAP12,RBKS,ARNT]"
2,"[KCNJ6,PHPT1,CEP126,ZNF84,NOP2,SAR1A,SLC12A5,ARMCX2,NAGPA,CIZ1,OBSL1,QTRT1,ARL6,POLR1B,LAMA2,FZR1,LHFPL3,MPPED1,STAB1,MRPL44,ARRDC1-AS1,ATP6V0B,FKBP9,SNN,MRPL28,STK11IP,RASD1,LONRF3,RNF103,MAGOHB,LMO3,SNX16,XIST,ARNT2,PIAS4,TRAF2,PPP2R5B,PLD3,REEP2,SNRPD1,ADAM22,ARHGAP20,SIK3,G6PC3,CYC1,MTUS2,BAIAP2,LMNB1,HTATSF1,LZTS2,TMEM159,CNN3,GRIN1,RALGDS,SUGT1,ZNF598,GRHPR,IQCJ-SCHIP1,DEDD2,RNF14,LYRM7,ENC1,AASDHPPT,UBE2E3,SIGLEC10,BEX1,TSC2,SLC38A7,PLA2G6,TTC21B,GCLC,RPS6,SH3BP2,LRP3,ELAVL2,RBFA,WRNIP1,DDB1,HDHD2,KHDRBS1,GALC,PDZD8,BEX4,UPRT,TAF12,RIMKLB,PGRMC2,ACBD6,NFYB,TCERG1L,ATG2B,TP53,MOSPD2,ZBTB10,TERF1,C1orf52,ZNF266,KLF3,ZNF473,C14orf93,TRIM3,GPATCH2L,CAPN1,R3HDM4,AGPAT1,IFI30,HIST1H3E,TUG1,PAIP1,PHOSPHO1,GPX3,POLR3A,ANKRD12,ZFYVE27,PRPF3,DCXR,PTAFR,PRR3,CCDC71,PRKACB,MYO9A,SDHAF2,LRRFIP1,BAZ1B,RPS6KA5,ZNF850,PDXDC1,KDM4C,CYFIP1,CUL3,PIK3R4,SLC25A17,PPP1R11,STOM,PRKAG1,SHOC2,CYB5RL,KIAA1217,DBR1,ALG8,MPHOSPH6,CD27-AS1,TRAF7,RCBTB1,TBC1D12,SMARCD1,RASSF2,MAGED2,ZNF26,ZC3H13,B3GALT4,DNAJC8,DYNC1I2,TMEM70,HK2,GIMAP5,ZNF213-AS1,TCOF1,FGF14,TPRG1L,SPNS1,SMNDC1,PIGM,CENPU,LYNX1,ZNF777,PSMB3,USP31,ERP29,MAP2K5,ZMYM3,PPFIA2,MED16,ABCA2,OPALIN,SLITRK4,TRAPPC2L]"
3,"[PTTG1IP,RBFOX3,NRG1,OLFM1,UBE2I,CNTNAP5,TONSL,LYSMD4,MAFG,ZBED4,CORO7,IER5L,ARHGAP42,CNTN4,NEFL]"
4,"[DCLK1,C9orf106,CENPA,DGAT1,MBP,COMMD4,GRIN2B,DIDO1,OPCML,FAM169A,PLEKHA3,MCTP2,PHF19,SCGB2B2,UBE2I,TCEAL8,HIC2,MGLL,MSL2,RBM47,CEBPB,NR1D2,TAF3,FAM89B,ATF1,FLNA,FOXK1,DIS3,VSNL1,RNMT,TREM1,CXXC5,GRIA2,KLHL12,ZNF540,MIER2,CYTH4,TMLHE-AS1,TRRAP,AQP9,CTNND1,TRMO,USHBP1,PIP5K1C,LMF2,MAEA,ALKBH8,RAB40B,PEAK1]"
5,"[ACSBG1,DMD,NKAIN3,ACAP1,STAG3,CREB5,KANK1,ARHGEF10,SLC22A23,CASP9,OLIG1,GNA13,PFKFB3,ATF3,FAM81A,ZIC1,GPR155,RILPL2,HEPACAM,AKAP13,CREM,ZNF331,PLP1,CORO2B,ZNF639,PLSCR1,BTBD3,PCNX1,NXPH1,RALGPS2,AHI1,FUT8,AZI2,SDCBP,SAMD3,KCNMB4,CTNNA2,PTPN13,FIGN]"
6,"[RABGAP1,ANKRD12,RBM15B,SLC36A1,CTSL,NAPA,B3GALT6,BCL2L12,EIF3K,UVRAG,GFM1,CCNT1,ATF4,SLC15A3,CCAR1,MAPK1]"
7,"[SUPT3H,CBWD5,PELI1,ABHD11,RFX3,GPCPD1,MBNL3,AASS,SLC22A23,TLR2,IFNAR1,CBWD6,GLS,CEPT1,ZNF330,CHIC2,WASL,ZNF331,PEX2,CCDC146,NABP1,IRS2,THOC1,USP3,BIRC2,SMAD4,GIGYF2,CWC22,IFNGR1,SDCBP,ROCK1,SATB1,AKT3,CEP85L,ZCCHC2,SPRY1,LEO1,PSMD14,IFT43,GALNT11,STX11,EPS8,GLYR1,STXBP6,PGAP1,GDI2,PACRGL,NIPBL,MFSD14C,ARL4A,ADGRG1,NRDC,FAM117A,FNDC3A,CEP120,RPS2,UBAP1,TSPAN31,PRKAG1,ADPGK,ARHGAP12,GAK,PCBP1,RNMT,LIPE-AS1,BBS7,PRDM2,PEF1,PPP1R15A,CAPN3,DVL2,SKIL,MT2A]"
8,"[GALNT9,MARCO,ZBTB14,REXO4,LMTK3,KCNT1,LINC01605,SPTBN5,PTPN22,OBSCN,NUTF2,SAMM50,UGDH,CHD3,SRSF8,ASIC2,LIN54,PRR16,ZNF563,LRP10,OCLN,SH3RF3,AASDH,TRIM35,CYB5B,PAM,TIRAP,ACBD4,GRIN2B]"
9,"[SPTBN2,UXS1,LYPLA2,PNMA1,CHD5,TSHZ2,BCL11B,PHF23,GRIN2B,ST8SIA3,PEG10,RAMP1,MTCH1,SH2B3]"
10,"[SSRP1,SLC1A2,RIOK3,TUBB,MDM2,INTS6,BEX2,ORC6,PRPSAP2,CENPU,TJP2,ADI1,RPGR,NAXD,PLXNC1,ABT1,MXRA7,TBC1D8,C12orf45,ZNF385D,KIAA0930,ZNF589]"
11,"[PDIK1L,TP53BP2,YTHDF2,HEATR5A,CPNE1,POT1,SLC37A1,SPG11,NCKAP1L,DDT,COPS2,RPAP3,BLM,TPTE2,TMEM33,TBC1D14,BEX2,RHBDD1,BECN1,NUB1,FBXL4,QRSL1,EIF2A,NBEAL1,ZNF93,TBC1D9,DDOST,PUDP,KCTD12,ALG5,C2orf27A,ACAP2,TBL1XR1,ZSCAN16-AS1,TMEM38B,ACTL6A,BCLAF1,SASS6,ARID3A,PFN1,MIRLET7BHG,OTUD6B,GNPNAT1,CPSF2,PRRC2C,CREBRF,PDLIM5,DDX39B,CRYZL1,UNC80,TPRKB,CRIP2,C1GALT1,UGGT2,RIPK2,NUCKS1,RIMS1,USF1,LRR1,MBTPS2,AP1S2,TMCC1,BDP1,PRIMPOL,SFT2D1,LINC01572,KANSL1L,SYN3,CENPJ,TEFM,ZNF75A,ARNT,SLC25A53,HORMAD1,ARHGEF12,PRKCSH,RREB1,DRAM2,C9orf72,SUMF1,PLCD1,LSM8,SH3BP5L,LMAN1,MAP3K4,ZCCHC7,CHURC1,ZFP62,AP1G1,KCNK6,RUFY3,TRIM8,FBXL17,SLC9A9,AFF1,CCDC174,TBC1D31,POU2F1,FABP5,UBE2G1,ZNF585A,BIN3,STARD3,PLCL2,DDX60,FBXO28,MAPRE1,CDKN2B-AS1,KAT5,TFDP1,DSC2,RHOBTB1,TUBA1B,RPL21,ATP6V1H,LRP10,KRIT1,GTF2H2C,SPDYA,GFOD2,FNDC3A,SLK,MARCH6,RSL1D1,SHPRH,SENP1,APEX2,TTPAL,TYSND1,YTHDC1,CFLAR,GABPA,CDKN1B,KATNBL1,TRPM4,BCL2L11,PSMA6,FAM122B,EFCAB2,IGF1R,TAB2,ERCC6L2,SGTA,APBA1,ACSL4,UBR1,COX20,ZNF391,SUMO1,MRPL41,ABRACL,EIF3G,JADE1,PTPDC1,CISD2,SHC1,ARL4A,TMEM267,WDR5B,C5orf34,UTP23,MAP3K13,ZDHHC17,TOMM70,NEK1,MAN1A1,HIPK3,RBFOX3,SLC36A4,SNRNP27,ZC3H12C,HBS1L,DNAJA1,CDK8,PTER,ACBD5,SEC14L1,B3GAT3,RNF34,PIGC,MBNL3,KDM4C,SYPL1,RGL1,INTS4,XRCC4,PAM16,DDX18,ADI1,NAF1,ASB7,RPL34-AS1,GTPBP10,MAP4K2,B3GNT5,MIS18BP1,SEC24C,PDCD4,AGPAT5,CYP4V2,SPINT1,RYR2,ATOH8,PTGR2,DGAT1,WDR83OS,CHCHD5,CEP112,MRC1]"
12,"[SERTAD3,ERBB4,FAM177A1,RASGRF2,CHL1,CCSER1,WASF1,RASGEF1B,KCNQ5,ZHX1,DNAJC2,DUSP8,BHLHE40,AHI1,DFFA,SGCZ,RBMS1,JUND,SPTBN1,NR1D2,NELFB,DLGAP1,DNM1L,LMF2,NFKB1,GRM5,NIN,GSPT1,KCTD20,DPP10,PTPN13,TLK1,SPRYD4,ZSWIM6,DENND5B,BRAF,CLTC,C16orf87,KLHL5,LRRC1,NAA15,PSMD14,KMT2E,GPD2,SEMA3C,FAM133B,KIF13B,FAM200B,TIFA,KIAA1958,FBXO25,RGL1,SLC16A7,CHMP2B,CACNA2D1,TOX]"
13,"[BAZ2A,KLHL23,PDIA6,TMEM8A,C22orf34,KIAA0513,CYFIP1,ZNF546,FGFR1,TM9SF2,ZFYVE27,C2orf74,DEPDC5,PNKP,NUP214,DHX36,UBE2I,SNRPB,KAT7,TEX10,GGA1,ITGB1BP1,ALG13,ERCC5,LINC01578,AFF4,PTGES2,SRSF5,TIMM23,LUC7L2,MARK2,SP1,FBXO11,RAB15,TTC39B,EIF2S3,RAB11A,AP1AR,SRPRA,GPR108,RPS6KC1,RPS14,UBE2E3,SLC25A46,ATRX,USE1,EIF4G3,ABCC4,TSR2]"
14,"[TMEM19,RUNX1T1,PRKD3,MBNL1,LEPR,GFPT1,RRP1,LRRC58,ZFX,ZNF717,BNIP3L,DOK6,SLC20A2,ERP29,PRRC1,DNAJC1,MTUS1,USP9X,NEK1,TICAM2,TUBGCP5,ZNF292,METAP1D,LIFR,NAA40,ADCK1,MICU1,DENND5B,UBAP2L,DOCK3,HELZ2,SLC39A10,PHF3,ASPH]"
15,"[ITM2B,HPGDS,KLHL36,SMAGP,CAMKK2,PM20D2,TMEM44-AS1,GLS,ATP2C1,SNHG4,RASGRP1,OPN3,SCRN2,SELPLG,SYT6,OMA1,MEMO1,GRID2IP,DPEP2,FAM149A,HSPBAP1,CSGALNACT1,KHDRBS3,TLE1,ZNF518B,SLC40A1,ARHGAP24,GOLGA8O,TP53INP1,MIR31HG,CEBPA,KLF3-AS1,SCYL3,ZNF652,CXCL12,FER,TRANK1,MEF2C,MYO5B,GNB4,IRF2BP2,CTSZ,RASSF8,PTGS1,HTRA1,MEF2C-AS1,SURF6,PTPRB,BNC2,TPST2,G2E3,MEI4,SLMAP,PRKAR1B,RABGAP1L,SLTM,CD63]"
16,"[HELZ2,FAM160A2,NLGN4Y,CD44,CALCB,DENND6A,UPP1,FAS,TSHZ3,SFI1,ARRDC1-AS1,GGA3,BCL6,ZNF549,ZBTB46,SRM,ARF1,POMP,ADCY3,SYVN1,UTP14A,RBX1,HAUS1,LINC01001,MTHFD2,CUL1,LUC7L2,DPYD,HIVEP3,CEBPB,SRBD1,FANCM,PALM,UNKL,NDUFS3,EIF4ENIF1,NR4A2,PPP6R3,MFN1,MSL1,GLRX3,IFNGR2,BCS1L,GABBR2,PAQR3,C16orf87,BASP1,SERP1,RANBP2,PLSCR4,CARS,CAPZA2,SLC16A3]"
