,regulon
0,"[NKX2-2,TMEM51,LBH,OTUD3,SLC16A10,TRIL,PDP2,NRP2,SLC5A4,CREB3,ACSBG1]"
1,"[KCNH8,XPO7,LCORL,SMARCA2,OTUD4,ADGRB3,CACNA2D1,JAK1,RIMS2,ICA1L,GTDC1,CASC15,ACSL3,RBMS1,NRF1,CUX1,LRRFIP2,CHST9,PCNX1,SLC23A2,INPP4B,ME2,FBXO11,PLEKHA2,ATXN7,RUNX1T1,INPP1,TRIP12,SGMS1,BAZ2B,RORA,ZNF644,SERTAD2,TEAD1,CHD7,USP45,GPHN,RGMB,DLGAP1,ADGRL3,SETD5,RAP1A,DPP6,ZNF827,ESYT2,KLHL24,TET2,KANK1,PPFIA2,PPM1L,FARP2,ADD3,SOX11,ATXN2,GALNT13,KLHL32,C1orf21,SEMA6A,SOX5,RALGPS2,HECW2,MARCH1,SIK2,ZNF639,ZSWIM6,POGZ,ZFYVE9,KDM5B,LINC00884,CNTN4,APBB2,MAP2,ADD3-AS1,LINC01138,PIK3C2A,LINC01006,USP12,IVNS1ABP,UAP1,STXBP6,AGFG1,NR3C2,RAI14,QSER1,SNAP91,ARHGAP12,ANKRD11,ZFR,THRB,AZIN1,KIF1B,SPOPL,HERC4,JAK2,VAPA,KAT6B,NBEA,ADNP,GABPB1-AS1,DICER1,POU2F1,PUM2,ANKRD50,FAM13B,SOCS6,FBXW7,PTPRD,HS6ST3,UBE2E3,ZNF462,CYLD,SLC4A7,SNX9,ZNF516,NCOA7,RIMKLB,APC,STAU2,KLHL42,ZMYM2,ASH1L,SPRED2,FRYL,ARPP21,GTF2I,PCDH9,TBL1XR1,MEF2A,WDFY3,ZFYVE16,DNM3,VCAN,MAP3K1,TTTY14,PRDM2,SCAF11,CADM1,BACH1,KLF3,GREB1L,DPYSL5,UGT8,WTAP,FHL1,ERC2,NFIA,PLCB4,NLGN4Y,SLITRK4,BACH2,KLHL13]"
2,"[RRP1,ART3,SLA,ARNTL]"
3,"[ALG1,HSD17B10,UBB,CCT5,PTGES3]"
4,"[HIVEP1,IRS2,EPB41L5,SUSD6,RORA,GABBR1,CACNA1D,CCSER1,CADPS2,JADE1,SETD3,FRS2,ZMYND11,NUCKS1,MAPK4,FAM169A,DAAM1,CAMTA1,BRF1,ZCCHC2,SLC4A4,CFL2,RALA,ST3GAL6,STXBP5L,SCRN1,SYDE2,SPIRE1,HERC1,PSMD14,ABHD13,TSPAN12,LRRC37A3,NCOA3,CTNNA2,LINC01184,DNAJC13,ADIPOR1,JDP2,C21orf91,MAP3K3]"
5,"[TRMT6,WDR46,MED19,RAB11FIP4,RPS7,WDR83OS,IL10RB,RHOF,PRKAR1A,SUN2,TUBA1A,MIEN1,MRPL20,FLOT1,RPS19BP1,RPL15,PDCD11,INA,RPL8,PPP2CB,RPL32,RORB,SNRNP27,RPL26,LHX2,S100A13,ZNF622,C9orf64,CD2BP2,CSTF2T,ZNF143,ALKBH5,NDUFB7,PAQR4,POMP,STXBP1,ABHD17C,UBFD1,CHCHD2,RNF6,TAF13,RPL12,HPS1,ATP6V0D1,ZNF267,PITPNA,SLC25A4,NOC3L,RPL19,NPM1,ATP7A,DDIT3,MIF,FSD1L,CWC25,UBOX5,UBA52,RAB40C,PRKCSH,P2RX4,DDT,C2orf74,ACSF2,RPS27,DDB1,NELFE,ZNF599,UQCR11,MAPK12,CENPQ,TTC9B,TOR1A,DNAH7,IKBKG,UCK1,SURF1,DPH2,TPM3,DPP9,RHOT2,JRKL,ARHGDIG,RPS14,BCAP31,PSMD7,SLC2A8,SCOC,NDUFS3,TRO,CCDC85C,NABP2,ATF6B,RPL37,COX8A,CDV3,TMEM8A,MIR762HG,MAEL,PPP2R2C,CACYBP,PFKP,JOSD1,GTF3A,UBXN1,TXN2,MORF4L2,FIBP,IAH1,PPP4C,RPL21,ELOVL4,TUBB2A,NEURL1,UBB]"
6,"[NMD3,PPIE,TOPBP1,TLE3,UBA5]"
7,"[SLC12A2,USP7,CTBP2,ATOH8,SECISBP2L,SLAIN1,CSNK2A2,PHF3,FOXP1,NCOA2,MSH6,RICTOR,MAGI1,ZNF783,TBL2,ZBTB16,PIK3CA,NBEAL1,PCNP,MED13,ALDH7A1,LIG4,PLEKHM1,EPB41L4B,SYNE1,FIGNL1,STX7,CBFA2T2,RYK,ING1,TBC1D14,GNAI1,FAM214A,SDK1,CBWD2,STYX,DECR1,MTG1,MATR3,CENPC,SGK1,PTBP2,ZNF280C,SNX25,ZC3H18,CAPN7,L3MBTL4,CFDP1,LBR,PPP1CB,SLCO5A1,WWOX,API5,COL8A1,EPB41L2,RNF141,CDYL2,CADM1,RHOT1,SNX7,TPCN2,TARSL2,HSF2,SREK1,SLC22A15,PRKCH,GINM1,LCORL,ZNF511,KLHL23,DGKD,NSUN7,TAF4B,CPOX,ZNF100,CARNMT1,CABLES1,MAML1,RCBTB1,TMEM45A,FBXO32,CNIH3,SLC16A10,KCNQ3,NRXN1,ANKS3,ZSCAN1,AUH,DDIT4,ETV5,CGN,PHF14,ZNF124,NOS1AP,TOPBP1,KIAA1324L,FGFR2,TMEM117,ALDH18A1,ARMCX4,SNED1,THSD7A,KANSL1L,LDLRAD4,AGL,ASXL2,CHST9,OTUD7B,FOXN3,CLASP2,OCLN,SPRY1,SHB,DISP1,POGZ,RBFOX2,LUZP2,MTMR10,MEMO1,HERC3,KIDINS220,TGFBRAP1,THNSL1,EXOC1,POLRMT,PRDM5,NAE1,TCAIM,RBM17,ARID2,CACNB4,TXNDC11,PTTG1IP,ELMO1,PDE4D,MAST4,USP48,KMT5B,RAB2A,ZMYND11,ADD3-AS1,PTPRD,IGF1R,ZFP30,MRPL36]"
8,"[C1QTNF7,ALDH1L1,IFITM3,STAT3,RPS27L,HEY2,KCNMB4,EFNA1,C17orf67,IFI16,FAM20C,OSMR,ACTN2,PFKFB3,BAALC,FGF11,RGMA,ZNF141,ITGB4,TGFBR3,FGF2,TGIF1,ADAMTS9-AS1,RAB3IP,BCL6,NUP210L,TGFB3,CCDC85A,PARP9,HSPB1,ENO1,LMOD1,GADD45A,L3MBTL3,KCNH1,COL23A1,SHB,PIGO,PDPN,GLDC,TNFRSF11B,ZIC4,ARHGEF3,SLC39A14]"
9,"[TMEM164,SMARCD3,LYSMD2,CDC5L,NSA2,CCDC92,ARL8B,BLOC1S2,FAM149B1,THOP1,CDC42,HECW2,PRPF38A,CNST,ATP6AP2,API5,FAM219B,CMC2,TERF2,IREB2,CYTH2,ZBTB21,WDR60,TRAF3IP1,ZSWIM8,NDEL1,FKBP3,WRAP73,OAS3,RYR1,FBXO17,CDK2AP1,TCOF1,SEPSECS,PUS7,EID2B,CREB5,TFB1M,C6orf47,LURAP1L,TXNDC11,DNAJC9,LINC00476,PTPDC1,C12orf66,SH3KBP1,COMMD7,CACFD1,LRRN2,UROS,TLK1,NDFIP2,TRERF1,LTBP1,SNRNP35,ZNF138,ZNF512,CCDC82,FNBP1L,GOLPH3,ARL1,NUP35,SUN1,GSPT1,MFSD14A,CALU,TBRG1,MED27,ECE2,SHQ1,ENPP4,YWHAE,NSUN4,TAF1C,CPOX,INPP5K,UBE2B,MOB4,PRDM10,PSMD12,CRTC1,USP31,PPT2,CAP1,NEK11,PDIK1L,CMPK1,MARCH8,ARL13B,IFT57,IMPAD1,PPP1R8,PRDM5,MYADM,SPATA13,BTBD2,ID4,RMDN3,PPP3R1,PPP6C,WDR5,RNF180,KCNS3,EPHA6,AMOTL1,WDR43,RAB40C,ULK2,ARL6,CCDC127,NFRKB,ATF7IP,LINC00839,AGPAT4,SALL1,TTN-AS1,SCRN1,BCLAF1,SOCS7,AXIN2,LARS,PSKH1,HNRNPH3,SNX18,MTMR6,PYGO1,SLC25A24,WASF3,PCNP,SCO1,AUTS2,ZBTB37,PSMC2,GART,FLOT1,SRSF8,RAP2A,DDX6,ZMIZ1,UBE4A,SLC38A2,ACIN1,ARHGEF7,UBR4,CAPZA2,CENPQ,TPGS2,SMU1,ZNF3,FAM20B,TOMM70,IPO8,RAD21,FAM162A,BBS7,KHDRBS1,CNOT7,BBS4,DHX8,GDAP2,WIPF2,ANP32B,DMXL2,ATM,NAA16,ABCA3,ZXDC,SMIM14,DNAJC27,XPO7,SPPL2A,MED17,RAB39B,MPC1,ENTPD4,NECAP1,FIGN,NUFIP2,SMAP1,TMCC1,RBM5,TMOD1,VMA21,NDRG2,PIGT,RUBCN,CCT2,NT5DC1,MFSD14B,APPL2,TTC28-AS1,VPS37B,GLOD4,PPTC7,UBE2I,CPSF7,FAM117B,OTUD4,POLDIP2,PKP4,ARMC9,ADSS,PDPR,SHTN1,GLO1,NOL8,MRPL3,SHISA5,GRM5,WWC3,AASDHPPT,TBC1D24,GLUD1,DNMBP,MTMR1,ST6GALNAC3,ZBTB25,PPIG,RGMB,PDCD7,SMC5,PCMT1,ARHGEF4,AIFM1,MRPS30,KATNBL1,MAGED2,KANSL2,TASP1,SLC23A2,LEPROTL1,TCAIM,TMOD2,ADAR,NAP1L1,EXOC6,DNAJC5,MORF4L2,LAPTM4A,TLK2,MAP3K7,RBM17,AAR2,TOPBP1,ATP2A2,FBRS,GLT1D1,ORC5,SNX14,RIMKLA,LINGO1,ZNF30,DPP10-AS1,TRO,PNPLA8,KDM3A,GTF2I,NARF,LMO4,ATP8A1,TM9SF2,ERP44,CARD8,SLC39A8,SRSF3,EEF1E1,CHD9,CXADR,SPAG9,NIPA2,WNT7A,MYH9,UBE3C,ARHGAP26,AP3S2,TMEM9B,RRAGD,RP2,ELF2,SYNE2,RNF20,CHD8,FEM1B,BIRC2,ZSCAN23,CDK17,SUMO2,CCSAP,CLUAP1,BICC1,ATMIN,GSR,CDH2,RXRA,PTPN5,METTL8,MLEC,L3MBTL2,REV1,CYBRD1,F3,MAP3K14,LRRC37A3,SH3BGRL2,STPG2,ZNF219,BIN1,CACHD1,ALAD,TBC1D22A,TMEM147,LMBRD1,PARP1,RPA2,TFDP1,LUC7L,ERAP1,SMCO4,OTUD7B,ZNF175,METTL2B,WDR33,KLHL2,TAF1B,OSBPL3,MTMR3,GTPBP3,NFKB1,UGGT1,DBX2,UBE2E3,MANSC1,SLC7A1,CTDNEP1,RRP36,XPO6,ERGIC2,EMX2OS,INSIG1,CENPC,MEMO1,WDR3,IQGAP1,C1orf52,NAA50,CDH24,UBN2,TBL2,YEATS2,FOXG1,TAF4B,TMEM126A,ANK3,XPR1,MTMR8,EGLN2,CACNA2D1,UBA6,CLCN6,TMEM178A,FBXL6,LIN9,GFAP,PAWR,C3orf33,NUP54,LGI2,OGT,ARIH1,ZNF397,SLC25A46,CCDC25,KIAA1841,NUTF2,TMEM45A,YTHDF3,RMDN1,KLHL24,LEMD3,RADIL,COPS2,EMC7,TMEM184B,NR4A1,ATAD2B,ZNF507,ACOT8,MAML1,IST1,TRMT12,ANAPC10,DDX49,MSRA,ZNF717,JADE2,SEC31A,PFN1,ADAM10,NF1,MAP2K5,DHPS,UHMK1,SYNDIG1,KMT2E,ZMYND11,ZNF644,SPSB3,TEX10,SNX25,AFF1,CEP250,RUFY2,RBM10,SSH2,GLRB,TRA2A,OCIAD1,SGIP1,CCNG2,TMEM131,UBE2W,SACS,ARFGEF3,FLAD1,FAM91A1,PIK3R4,SIRT5,PACS1,SNX27,NXPE3,EGLN3,PKDCC,HERC3,CCDC88A,USP34,AKAP10,KIDINS220,IFT80,MAGED1,NUDT21,PBX3,ACAP2,NR2F1-AS1,TOB1,STAG2,PDK2,RTKN,RBFOX2,CNOT1,SOCS5,CCAR1]"
