,regulon,coef,pval,fdr,log_fdr,significance
1,ATF4(+),0.0004452619538801657,6.862492691833508e-06,3.659996102311204e-05,4.436519377104397,Up
3,BCLAF1(+),0.00957383051502756,1.8137843236022278e-06,1.1608219671054258e-05,4.935234382012084,Up
4,BPTF(+),-0.006961202449845109,0.02437714653918779,0.05200457928360062,1.2839584127106656,Not Significant
6,CEBPG(+),0.00039248431646917977,0.35237686666602286,0.4902634666657709,0.30957046819906814,Not Significant
7,CHD1(+),-0.00020436156860259645,0.7997562492624243,0.8979719289964062,0.04673723935998919,Not Significant
8,CLOCK(+),0.0003332624289459618,0.7171381425951662,0.8344880204743752,0.07857989347151442,Not Significant
9,CREB3(+),0.0030132070279565064,1.4380092602833582e-07,1.1504074082266866e-06,5.939148330245605,Up
10,CREBL2(+),0.007937008898189393,0.0011830068464412662,0.0037856219086120518,2.421862763642985,Up
11,E2F3(+),-0.00772019803644345,0.007953993104393922,0.01966954084248338,1.7062057779506805,Down
12,E2F6(+),-0.0010648210724079924,0.6643452683794353,0.7873721699311825,0.1038199396333136,Not Significant
13,EMX2(+),-0.0001328372879075549,0.957943192099723,0.9731486395933694,0.011820820137636731,Not Significant
14,EP300(+),-0.0021884608554094843,0.10829321216521715,0.18238856785720783,0.7390023867977812,Not Significant
15,ETS2(+),0.00299853360356418,0.027727856679693026,0.056040554560780664,1.2514975757150413,Not Significant
16,FOXG1(+),0.010012183384832072,3.686017839214807e-08,3.3700734529963947e-07,6.4723606332879,Up
17,FOXK1(+),-0.004131141099586153,0.072401977901675,0.12871462738075556,0.890372096220922,Not Significant
18,FOXK2(+),-0.003867089949129062,0.5552189849531435,0.6704531139056827,0.17363158781091112,Not Significant
19,FOXO3(+),-0.0017910485052865903,0.1624216356579397,0.25987461705270354,0.5852361376297683,Not Significant
20,FOXP1(+),-0.009221116486151577,0.0005277178272951636,0.001777575839310025,2.7501718612641683,Down
21,HMBOX1(+),0.0017643342554489701,0.10338111076238206,0.17882138077817436,0.7475805560163642,Not Significant
22,HMGA1(+),0.0057117084056933515,3.26737333356831e-08,3.3700734529963947e-07,6.4723606332879,Up
24,ILF2(+),0.010582169673155957,1.6131933240309975e-09,2.581109318449596e-08,7.588193601270147,Up
26,JUND(+),0.015812835850786806,2.0329503559810936e-05,9.293487341627857e-05,4.031821288263747,Up
27,KLF6(+),0.0016425324661366535,0.4792979916492429,0.6066592574309593,0.21705517081672906,Not Significant
28,MAF(+),-3.048488322058767e-05,0.9502463201339074,0.9731486395933694,0.011820820137636731,Not Significant
29,MAFG(+),0.0038215746380480748,2.0278509401089174e-17,6.489123008348536e-16,15.18781399324136,Up
30,MAZ(+),0.006803862786831944,3.3467947914467507e-10,7.139828888419735e-09,8.14631219630584,Up
31,MBD2(+),-0.0023594796303612136,0.05168900084479528,0.09729694276667347,1.0119008057791639,Not Significant
32,MECP2(+),-0.00099834002002981,0.4834315957652957,0.6066592574309593,0.21705517081672906,Not Significant
33,MGA(+),-0.0019760827030655616,0.0711531484606923,0.12871462738075556,0.890372096220922,Not Significant
36,NFE2L1(+),0.001644666618535671,5.3341751147500295e-09,6.827744146880037e-08,7.165722761382735,Up
37,NFIB(+),2.447876422499674e-05,0.9960906798680287,0.9960906798680287,0.001701123450120806,Not Significant
39,NKX6-2(+),-3.9789845543654795e-06,0.8255286191144645,0.9109281314366505,0.040515885762136716,Not Significant
40,NR2C2(+),-0.0013966592310394237,0.381184195548086,0.5082455940641147,0.2939263775338715,Not Significant
41,NR2F1(+),0.0033054324617941768,0.028020277280390332,0.056040554560780664,1.2514975757150413,Not Significant
42,NR3C1(+),-0.012502835900607141,0.00011438113609240541,0.00043061133587729095,3.365914541525644,Down
43,NRF1(+),-0.001961372286975401,0.16118701886052428,0.25987461705270354,0.5852361376297683,Not Significant
44,PBX1(+),-0.01591937041342523,0.0024994828170404396,0.0069550826213299185,2.1576977065382836,Down
46,POU2F1(+),-0.016279507621702244,1.490790541841546e-05,7.339276513681457e-05,4.134346749566514,Down
47,PURA(+),0.006461182700719151,0.001948578834317465,0.005668592972559898,2.2465247259544263,Up
48,RB1(+),-0.00018170507738779484,0.9461037451653976,0.9731486395933694,0.011820820137636731,Not Significant
49,RFX3(+),-0.013677752470842588,0.005990709322435102,0.01597522485982694,1.796553020199624,Down
50,RXRA(+),-0.00023605969826198154,0.7495664798132196,0.8566474055008223,0.06719789611064209,Not Significant
52,SETDB1(+),-0.0001072427108879496,0.531719133538896,0.6544235489709489,0.1841410812741932,Not Significant
53,SIRT6(+),0.00018909923546524802,0.20233501405152107,0.31584002193408167,0.5005328388500903,Not Significant
57,SP3(+),-0.0031760956002608344,0.008471482046435675,0.020080550035995674,1.6972243953952386,Down
58,SREBF2(+),0.0007601628917067417,0.3895835687487852,0.5088438448963725,0.29341547445051486,Not Significant
59,STAT3(+),0.0019703820898534933,0.02032250677798914,0.044849670130734653,1.3482407468434907,Up
60,STAT5B(+),-0.006896903364092101,0.00014052603804673834,0.0004996481352772919,3.3013357290683,Down
61,TCF12(+),0.0004838374876987682,0.886173317785798,0.9452515389715178,0.0244526068865652,Not Significant
62,TEF(+),0.013253349265470553,4.407552794242806e-06,2.5643943530139962e-05,4.5910151881358185,Up
63,THRA(+),0.009253407832650851,1.3298740047772617e-20,8.511193630574475e-19,18.07000952912572,Up
64,THRB(+),-0.009344556666484177,5.415332700322732e-05,0.0002310541952137699,3.6362861416588013,Down
65,UBP1(+),0.001853544072613114,0.24958293715462573,0.38031685661657255,0.4198544251187311,Not Significant
66,USF2(+),0.0010645263507068872,0.2894007048569993,0.411592113574399,0.38553295525055065,Not Significant
67,YBX1(+),0.0009757017239831175,0.3718429775476113,0.5063393736818537,0.29555829993314225,Not Significant
68,YY1(+),0.006157671362670752,2.61842188774887e-07,1.8619888979547518e-06,5.730022912812981,Up
69,ZBTB11(+),0.008581415023232099,0.0012767397711353145,0.003891016445364768,2.409936933648563,Up
71,ZBTB25(+),0.0021783809128827023,0.012439779307009218,0.028433781273163927,1.5461653817140049,Up
72,ZNF148(+),-0.002242266312273064,0.2755321436854906,0.40077402717889543,0.3971004313982508,Not Significant
73,ZNF207(+),-0.0009519453339806343,0.2594082762068509,0.38609603900554557,0.41330465381976966,Not Significant
