,regulon,coef,pval,fdr,log_fdr,significance
0,ARID3A(+),0.004006276893739995,0.47551227248228534,0.8296786612628285,0.08109007950608185,Not Significant
1,ARNT(+),-0.04867158277485502,0.007917158794573149,0.7938349776638214,0.10026976928408199,Not Significant
2,ARNT2(+),0.00033045510790640555,0.9585424193867378,0.977179367188843,0.010025711582587991,Not Significant
4,ATF1(+),0.017793106999883804,0.1516054702944926,0.7938349776638214,0.10026976928408199,Not Significant
5,ATF3(+),-0.053188629094917984,0.19212676526663477,0.7938349776638214,0.10026976928408199,Not Significant
6,ATF4(+),0.006399659531861142,0.5215475582418123,0.8296786612628285,0.08109007950608185,Not Significant
7,ATF6(+),-0.0057170653344180535,0.866529783333145,0.9348068332755701,0.02927812165098435,Not Significant
8,BATF(+),0.00440778440219694,0.07146086939753035,0.7938349776638214,0.10026976928408199,Not Significant
9,BCL11B(+),0.008205133773007071,0.2864440092497047,0.7938349776638214,0.10026976928408199,Not Significant
10,BCL6(+),0.009456272230871202,0.2050497787166354,0.7938349776638214,0.10026976928408199,Not Significant
11,BCLAF1(+),-0.007224358258572771,0.45038269594514657,0.8296786612628285,0.08109007950608185,Not Significant
12,BHLHE40(+),0.01934138532240061,0.23938569364885898,0.7938349776638214,0.10026976928408199,Not Significant
13,BPTF(+),0.007278430023366737,0.5236692760468736,0.8296786612628285,0.08109007950608185,Not Significant
14,BRCA1(+),0.006484454763959545,0.562699835523531,0.8366375195478433,0.07746266310320475,Not Significant
15,CEBPA(+),-0.009108848260475068,0.8742894372226901,0.9348068332755701,0.02927812165098435,Not Significant
16,CEBPB(+),0.007037532897695524,0.6270017719369008,0.8558651835537738,0.0675946402876178,Not Significant
17,CEBPD(+),-0.016808346955071066,0.49086883606044507,0.8296786612628285,0.08109007950608185,Not Significant
18,CEBPG(+),-0.0029266139259856556,0.5232241957367387,0.8296786612628285,0.08109007950608185,Not Significant
19,CLOCK(+),-0.017625139864574518,0.11963436278282198,0.7938349776638214,0.10026976928408199,Not Significant
20,CREB1(+),-0.0043522883443834065,0.8973991150617996,0.946170806097767,0.024030456146091297,Not Significant
21,CREB3L2(+),0.0016774836669670432,0.7565789773347258,0.9060266765613383,0.04285901500218767,Not Significant
24,DEAF1(+),-0.002594458845851111,0.7505819458446674,0.9060266765613383,0.04285901500218767,Not Significant
25,E2F3(+),0.0070011228208451,0.236755769175147,0.7938349776638214,0.10026976928408199,Not Significant
26,E2F4(+),-0.0012896072284715285,0.8240948547218241,0.918818401241574,0.03677031574338999,Not Significant
27,E2F6(+),0.00284294504872513,0.3752255263437306,0.7938349776638214,0.10026976928408199,Not Significant
28,E4F1(+),0.0006829747663407951,0.5419183699612942,0.8296786612628285,0.08109007950608185,Not Significant
29,EGR1(+),0.032493817808504036,0.2902519670338556,0.7938349776638214,0.10026976928408199,Not Significant
30,ELF1(+),0.017589678516939714,0.22180052777261963,0.7938349776638214,0.10026976928408199,Not Significant
