,regulon,coef,pval,fdr,log_fdr,significance
1,ARNT2(+),0.0008063744282606018,0.7530776993836477,0.9204282992466805,0.03601003709407471,Not Significant
4,ATF2(+),-0.0023911639013710173,0.3607251276260942,0.8039692291661482,0.09476057296682118,Not Significant
5,ATF4(+),-5.2350796357543736e-05,0.5670998950969941,0.8577385913342036,0.06664504972594483,Not Significant
6,ATF6(+),0.00022179922671520925,0.0005110852541987358,0.061841315758047036,1.2087212787860386,Not Significant
7,BACH2(+),-0.004549196134742754,0.0717330391771587,0.5789619217946101,0.2373499987912033,Not Significant
8,BCL6(+),0.0051867241266257275,0.07229599796335201,0.5789619217946101,0.2373499987912033,Not Significant
9,BCLAF1(+),0.0002226569478501636,0.5029524497019255,0.847005847538912,0.07211359138698388,Not Significant
11,BHLHE41(+),-3.867775932245834e-05,0.5460037694878936,0.847005847538912,0.07211359138698388,Not Significant
12,BPTF(+),-0.0017558270766575802,0.44102102435404245,0.847005847538912,0.07211359138698388,Not Significant
13,CCNT2(+),0.0020664845097610554,0.2543033608756952,0.6993342424081618,0.15531520631599607,Not Significant
14,CEBPD(+),0.0006012395112455826,0.8960956105094972,0.9613921978941473,0.01709940667717451,Not Significant
15,CEBPG(+),-0.00011547651493269164,0.2667164879822439,0.7015803270837285,0.1539225974623791,Not Significant
16,CHD1(+),-0.001175821103652829,0.6878924245602491,0.9204282992466805,0.03601003709407471,Not Significant
17,CLOCK(+),-0.0005024601945919356,0.9080033810974881,0.9613921978941473,0.01709940667717451,Not Significant
19,CTCF(+),-0.0020686953999144797,0.10111170982629532,0.5789619217946101,0.2373499987912033,Not Significant
20,CUX1(+),-0.00012267156080784686,0.9347767897115831,0.9750688927163926,0.010964698486519061,Not Significant
23,E2F3(+),-0.00743792639230728,0.0918897117366698,0.5789619217946101,0.2373499987912033,Not Significant
24,ELF1(+),-0.00022594231711559347,0.5974759266052045,0.892525766904071,0.04937923710627852,Not Significant
25,ELF2(+),0.01356243385761099,0.10152666728103957,0.5789619217946101,0.2373499987912033,Not Significant
26,ELK4(+),0.0003622969243491543,0.20355486604226325,0.6157534697778463,0.21059313222759024,Not Significant
27,EP300(+),0.0024145418860553377,0.1805129179476544,0.6157534697778463,0.21059313222759024,Not Significant
29,ETS1(+),0.0004869007994372774,0.29733492868695693,0.7495317993983706,0.1252099371849075,Not Significant
30,ETV1(+),-0.00021722503975558438,0.9703242308181802,0.9893970511562075,0.00462938836085676,Not Significant
31,ETV5(+),-0.002187941903894236,0.09588768507220863,0.5789619217946101,0.2373499987912033,Not Significant
32,ETV6(+),0.0034375808148628287,0.010985480440581803,0.28725664350221997,0.5417299184169083,Not Significant
33,FOXG1(+),0.0026332256720794944,0.30539398544231416,0.7541361681330615,0.12255023008575311,Not Significant
34,FOXK1(+),0.001281071393079484,0.1355118227588621,0.5856046626365111,0.2323954740445306,Not Significant
35,FOXN2(+),-0.0017253085459638694,0.47908293494553855,0.847005847538912,0.07211359138698388,Not Significant
36,FOXN3(+),-0.0029724264866054484,0.19591168769554917,0.6157534697778463,0.21059313222759024,Not Significant
37,FOXO1(+),0.0007630008162560338,0.199500958824911,0.6157534697778463,0.21059313222759024,Not Significant
38,FOXO3(+),-0.002098539416958585,0.11583908672414764,0.5789619217946101,0.2373499987912033,Not Significant
39,FOXP1(+),-6.559836207990799e-05,0.9730433808891628,0.9893970511562075,0.00462938836085676,Not Significant
40,GABPA(+),0.0016635124328600198,0.003014952744161566,0.18240464102177475,0.7389641158732533,Not Significant
42,GTF2IRD1(+),-0.0017839037507927369,0.2086664011478243,0.6158203546069937,0.21054596053284458,Not Significant
43,HCFC1(+),5.175720193068146e-05,0.6428678911590214,0.9204282992466805,0.03601003709407471,Not Significant
44,HIF1A(+),0.00027242768748922614,0.6950326501201924,0.9204282992466805,0.03601003709407471,Not Significant
45,HIVEP2(+),0.0013786496863280894,0.6396756261763873,0.9204282992466805,0.03601003709407471,Not Significant
46,HLF(+),0.00030949109230474307,0.12558534853448391,0.5789619217946101,0.2373499987912033,Not Significant
47,HLTF(+),-2.744355013895053e-06,0.8936736672370298,0.9613921978941473,0.01709940667717451,Not Significant
48,HMBOX1(+),0.005377942946998998,0.35481593541454703,0.8039692291661482,0.09476057296682118,Not Significant
49,HMGA1(+),2.105550704125758e-05,0.9033314031858846,0.9613921978941473,0.01709940667717451,Not Significant
50,HSF1(+),-5.374903394770321e-06,0.8936736672370298,0.9613921978941473,0.01709940667717451,Not Significant
52,IKZF2(+),0.014927708248002167,0.24981593379331246,0.6993342424081618,0.15531520631599607,Not Significant
53,ILF2(+),1.944961272190961e-05,0.9853792053777494,0.9900926419276088,0.004324167023082561,Not Significant
54,IRF1(+),0.002013888262309482,0.3720849325066471,0.8039692291661482,0.09476057296682118,Not Significant
55,IRF2(+),0.007761733281624149,0.15640629761854022,0.6157534697778463,0.21059313222759024,Not Significant
56,JUN(+),0.005504865451357128,0.011774471008374393,0.28725664350221997,0.5417299184169083,Not Significant
57,JUND(+),-0.00021653276247639877,0.44947340522932044,0.847005847538912,0.07211359138698388,Not Significant
58,KLF13(+),0.000323185510213393,0.1892481974938538,0.6157534697778463,0.21059313222759024,Not Significant
59,KLF3(+),-3.58653317660554e-06,0.8936736672370298,0.9613921978941473,0.01709940667717451,Not Significant
61,KLF9(+),0.004973441261491749,0.014567244087705383,0.2937727557687252,0.5319884827729067,Not Significant
63,MECP2(+),0.0015337813472089835,0.11836001161676012,0.5789619217946101,0.2373499987912033,Not Significant
64,MITF(+),-0.003612082937037862,0.4607695376941142,0.847005847538912,0.07211359138698388,Not Significant
65,MXD4(+),-0.001527923339275242,0.4575103504434198,0.847005847538912,0.07211359138698388,Not Significant
66,MXI1(+),0.004379202933470213,0.3907422953757943,0.8101481245465675,0.09143556903252545,Not Significant
67,MYRF(+),-0.0026969810396924878,0.16603552284771453,0.6157534697778463,0.21059313222759024,Not Significant
68,NFATC3(+),-0.00025431551738808774,0.5354145058208754,0.847005847538912,0.07211359138698388,Not Significant
69,NFE2L1(+),0.0002229841116781071,0.539015850476308,0.847005847538912,0.07211359138698388,Not Significant
70,NFE2L2(+),0.006982336418767679,0.06962477692886423,0.5789619217946101,0.2373499987912033,Not Significant
71,NFIA(+),0.0027482904030877928,0.11892881636452843,0.5789619217946101,0.2373499987912033,Not Significant
72,NFIC(+),-0.0004863233493120424,0.247899346823769,0.6993342424081618,0.15531520631599607,Not Significant
73,NFYB(+),0.00010750669806313068,0.07411193704081741,0.5789619217946101,0.2373499987912033,Not Significant
74,NFYC(+),9.713676986636735e-07,0.9900926419276088,0.9900926419276088,0.004324167023082561,Not Significant
75,NKX6-2(+),-0.00032577304005775845,0.5046645114341545,0.847005847538912,0.07211359138698388,Not Significant
76,NR1D2(+),-0.0005579867876566891,0.6829465859946218,0.9204282992466805,0.03601003709407471,Not Significant
77,NR2C2(+),-0.000675219387207001,0.45493667348936817,0.847005847538912,0.07211359138698388,Not Significant
78,NR2F1(+),0.0001857859583319299,0.5312930457624034,0.847005847538912,0.07211359138698388,Not Significant
