,regulon,coef,pval,fdr,log_fdr,significance
0,AHCTF1(+),0.0006357244804582623,1.3417682268556336e-07,2.5046340234638496e-06,5.6012557241687295,Up
1,ARNT2(+),-0.0026550230974154527,0.005072238936035908,0.020177723669030298,1.695127829860303,Down
2,ARNTL(+),-0.00047326180780982364,0.17524249152381804,0.3066743601666816,0.5133225321479378,Not Significant
3,ASCL1(+),0.00011079397116341201,0.09527642102300196,0.21341918309152438,0.6707665467842551,Not Significant
4,ATF4(+),0.0004372789520902918,0.031050588699758436,0.07903786214483965,1.1021648152733614,Not Significant
5,ATF6(+),0.000327977248015967,0.7061546515280334,0.7604742401071128,0.11891549241809757,Not Significant
6,BCLAF1(+),-0.0003481958667775211,0.45210085723780424,0.534536495576601,0.2720226379080667,Not Significant
8,BPTF(+),0.00034179386063104783,0.34796011826525264,0.47526260055741826,0.32306635993330046,Not Significant
9,CEBPB(+),-1.3313137724256425e-05,0.33579069633950875,0.4701069748753122,0.3278033052308316,Not Significant
10,CEBPG(+),-0.00026349990094753423,0.13308152277638743,0.25698500949923087,0.590092209282095,Not Significant
11,CHD2(+),0.002787823304443239,0.0056286815950106995,0.020177723669030298,1.695127829860303,Up
12,CREB1(+),0.00033112981542477517,0.014933688634660065,0.03982316969242684,1.39986417562089,Up
13,CUX1(+),-0.009574167735108541,0.0012603449779207039,0.0062099810999294725,2.206909721596178,Down
14,CUX2(+),-0.0020546202075340317,0.2497824407110126,0.41090785275942776,0.38625555896324615,Not Significant
16,ELF2(+),0.003922395818448,0.005765063905437228,0.020177723669030298,1.695127829860303,Up
17,ELK1(+),-4.04141405843703e-05,0.4339749141682012,0.5304210123389674,0.27537927992358613,Not Significant
18,EP300(+),0.00230459962988619,0.007316081880329433,0.024100034429320488,1.617982336991388,Up
19,ETS2(+),-9.109857712784309e-05,0.39949234346207496,0.5304210123389674,0.27537927992358613,Not Significant
21,FOXG1(+),-0.0005192264670716992,0.11070365628210004,0.23098615202163206,0.6364140559557537,Not Significant
22,FOXJ3(+),-7.144566141484626e-05,0.8472519995395629,0.8786317032262133,0.05619313035843069,Not Significant
23,FOXP1(+),-0.005533885785141493,0.007794014405046814,0.024248044815701197,1.6153232739683068,Down
25,IKZF2(+),0.006727156187619595,0.29499857510799865,0.43473474226441905,0.3617756513416942,Not Significant
26,JUND(+),0.0047778090723628675,1.0999850657955503e-06,1.026652728075847e-05,4.988576434479775,Up
