projid,library_ids,fastq_dirs,n_source_dirs,n_fastqs,batch,index
10100574,D19-10914_9,/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10100574/D19-10914_9,1,6,1,1
10100862,D19-4140|D19-4140,/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10100862/D19-4140/HL32WDMXX|/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10100862/D19-4140/10x-3862H,2,12,1,2
10101291,D17-8793,/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10101291/D17-8793,1,12,1,3
10101327,D17-8772,/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10101327/D17-8772,1,12,1,4
10101589,D19-7499|D19-7499,/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10101589/D19-7499/HLFG3DMXX|/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10101589/D19-7499/HL2CHDMXX,2,12,1,5
10102206,D17-8787,/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10102206/D17-8787,1,12,1,6
10202345,D19-5032|D19-5032,/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10202345/D19-5032/10x-3914H|/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10202345/D19-5032/HL3JJDMXX,2,12,1,7
10203224,D19-4160|D19-4160,/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10203224/D19-4160/10x-3862H|/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10203224/D19-4160/HL32WDMXX,2,12,1,8
10205244,D19-5028|D19-5028,/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10205244/D19-5028/10x-3914H|/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10205244/D19-5028/HL3JJDMXX,2,12,1,9
10222853,D17-8766,/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10222853/D17-8766,1,12,1,10
10246987,D19-7308|D19-7308,/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10246987/D19-7308/HL2CHDMXX|/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10246987/D19-7308/HLFG3DMXX,2,12,1,11
10248033,D17-8756,/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10248033/D17-8756,1,12,1,12
10249336,D19-5954|D19-5954,/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10249336/D19-5954/HL2FCDMXX|/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10249336/D19-5954/HKMG5DMXX,2,12,1,13
10253148,D19-5939|D19-5939,/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10253148/D19-5939/HL2FCDMXX|/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10253148/D19-5939/HKMG5DMXX,2,12,1,14
10260309,D17-8755,/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10260309/D17-8755,1,12,1,15
10261026,D17-8781,/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10261026/D17-8781,1,12,1,16
10263208,D19-4142|D19-4142,/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10263208/D19-4142/HL32WDMXX|/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10263208/D19-4142/10x-3862H,2,12,1,17
10271474,D19-5034|D19-5034,/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10271474/D19-5034/10x-3914H|/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10271474/D19-5034/HL3JJDMXX,2,12,1,18
10277308,D19-4135|D19-4135,/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10277308/D19-4135/HL32WDMXX|/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10277308/D19-4135/10x-3862H,2,12,1,19
10288185,D17-8767,/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10288185/D17-8767,1,12,1,20
10290265,D17-8760,/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10290265/D17-8760,1,12,1,21
10290427,D19-4770|D19-4770,/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10290427/D19-4770/10x-3877H|/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10290427/D19-4770/HL2TKDMXX,2,12,1,22
10291856,D19-2472,/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10291856/D19-2472,1,12,1,23
10292311,D19-5962|D19-5962,/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10292311/D19-5962/HKM22DMXX|/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10292311/D19-5962/HL2LTDMXX,2,12,1,24
10298957,D19-8352,/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10298957/D19-8352,1,6,1,25
10300914,D19-6003|D19-6003,/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10300914/D19-6003/HL2YTDMXX|/om/scratch/Mon/mabdel03/Tsai_Data/FASTQs/10300914/D19-6003/HKNF5DMXX,2,12,1,26
