projid,flowcell_ids,instrument,derived_batch
10100574,HLMCWDMXX,A00794,FC_HLMCWDMXX
10100862,HKK5VDMXX+HL32WDMXX,A00439+A00794,FC_HKK5VDMXX+HL32WDMXX
10101291,HLTHNBGX3,NS500496,FC_HLTHNBGX3
10101327,HLFGJBGX3,NS500496,FC_HLFGJBGX3
10101589,HL2CHDMXX+HLFG3DMXX,A00760+A00761,FC_HL2CHDMXX+HLFG3DMXX
10102206,HLTK3BGX3,NS500496,FC_HLTK3BGX3
10202345,HKJVVDMXX+HL3JJDMXX,A00445+A00794,FC_HKJVVDMXX+HL3JJDMXX
10203224,HKK5VDMXX+HL32WDMXX,A00439+A00794,FC_HKK5VDMXX+HL32WDMXX
10205244,HKJVVDMXX+HL3JJDMXX,A00445+A00794,FC_HKJVVDMXX+HL3JJDMXX
10222853,HKYMKBGX3,NB501288,FC_HKYMKBGX3
10246987,HL2CHDMXX+HLFG3DMXX,A00760+A00761,FC_HL2CHDMXX+HLFG3DMXX
10248033,HL2YFBGX3,NS500496,FC_HL2YFBGX3
10249336,HKMG5DMXX+HL2FCDMXX,A00439+A00440,FC_HKMG5DMXX+HL2FCDMXX
10253148,HKMG5DMXX+HL2FCDMXX,A00439+A00440,FC_HKMG5DMXX+HL2FCDMXX
10260309,HL2YFBGX3,NS500496,FC_HL2YFBGX3
10261026,HLTC2BGX3,NB501288,FC_HLTC2BGX3
10263208,HKK5VDMXX+HL32WDMXX,A00439+A00794,FC_HKK5VDMXX+HL32WDMXX
10271474,HKJVVDMXX+HL3JJDMXX,A00445+A00794,FC_HKJVVDMXX+HL3JJDMXX
10277308,HKK5VDMXX+HL32WDMXX,A00439+A00794,FC_HKK5VDMXX+HL32WDMXX
10288185,HKYMKBGX3,NB501288,FC_HKYMKBGX3
10290265,HL2KHBGX3,NB501288,FC_HL2KHBGX3
10290427,HKKFTDMXX+HL2TKDMXX,A00760+A00794,FC_HKKFTDMXX+HL2TKDMXX
10291856,H35J2BGXB,NS500496,FC_H35J2BGXB
10292311,HKM22DMXX+HL2LTDMXX,A00439+A00440,FC_HKM22DMXX+HL2LTDMXX
10298957,HL75NDMXX,A00761,FC_HL75NDMXX
10300914,HKNF5DMXX+HL2YTDMXX,A00440+A00760,FC_HKNF5DMXX+HL2YTDMXX
10310236,HCVNLDSX3,A01071,FC_HCVNLDSX3
10315029,HL2CHDMXX+HLFG3DMXX,A00760+A00761,FC_HL2CHDMXX+HLFG3DMXX
10345561,HKNF5DMXX+HL2YTDMXX,A00440+A00760,FC_HKNF5DMXX+HL2YTDMXX
10383017,HJVHVDMXX+HKYYMDMXX,A00439+A00794,FC_HJVHVDMXX+HKYYMDMXX
10394182,HL32CDMXX,A00760,FC_HL32CDMXX
10405008,HL2CHDMXX+HLFG3DMXX,A00760+A00761,FC_HL2CHDMXX+HLFG3DMXX
10435090,HL2LTDMXX,A00440,FC_HL2LTDMXX
10436131,HL2CHDMXX+HLFG3DMXX,A00760+A00761,FC_HL2CHDMXX+HLFG3DMXX
10438999,HL75NDMXX,A00761,FC_HL75NDMXX
10460587,HKJVVDMXX+HL3JJDMXX,A00445+A00794,FC_HKJVVDMXX+HL3JJDMXX
10473384,HL32CDMXX,A00760,FC_HL32CDMXX
10484873,HJVHVDMXX+HKYYMDMXX,A00439+A00794,FC_HJVHVDMXX+HKYYMDMXX
10485914,HT252DMXX+HTCFGDMXX,A01071,FC_HT252DMXX+HTCFGDMXX
10490993,HKMG5DMXX+HL2FCDMXX+HT252DMXX+HTCFGDMXX,A00439+A00440+A01071,FC_HT252DMXX+HTCFGDMXX
10502798,HKK5VDMXX+HL32WDMXX,A00439+A00794,FC_HKK5VDMXX+HL32WDMXX
10510090,HL2CHDMXX+HLFG3DMXX,A00760+A00761,FC_HL2CHDMXX+HLFG3DMXX
10514454,HL2KHBGX3,NB501288,FC_HL2KHBGX3
10516762,HL2LTDMXX,A00440,FC_HL2LTDMXX
10518782,HJVHVDMXX+HKYYMDMXX,A00439+A00794,FC_HJVHVDMXX+HKYYMDMXX
10536568,HKYMKBGX3,NB501288,FC_HKYMKBGX3
10551157,HL32CDMXX,A00760,FC_HL32CDMXX
10557081,HKJVVDMXX+HL3JJDMXX,A00445+A00794,FC_HKJVVDMXX+HL3JJDMXX
10577337,HL32CDMXX,A00760,FC_HL32CDMXX
10669174,HKMG5DMXX+HL2FCDMXX,A00439+A00440,FC_HKMG5DMXX+HL2FCDMXX
10684501,H373HBGXB,NB501288,FC_H373HBGXB
10866165,HKKFTDMXX+HL2TKDMXX,A00760+A00794,FC_HKKFTDMXX+HL2TKDMXX
10901987,HL2LTDMXX,A00440,FC_HL2LTDMXX
10929637,HKMG5DMXX+HL2FCDMXX,A00439+A00440,FC_HKMG5DMXX+HL2FCDMXX
11072071,HW2GHBGX3,NB501288,FC_HW2GHBGX3
